,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,0.73,
total-current-assets,508.529,287.919,321.485,165.439,167.326,122.513,89.215,86.681,90.947,86.206,107.395,101.8,74.964,96.751,114.718,131.31,150.519,174.075,188.222,109.643,,,,43.8,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,199.591,134.388,79.251,80.564,78.958,80.211,81.236,82.091,62.943,19.944,13.554,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,50.09,51.574,50.006,9.07,8.462,6.636,7.405,5.982,5.811,5.394,5.069,5.058,5.508,5.734,6.495,6.657,6.501,1.936,1.632,3.463,,,,1.13,
total-long-term-assets,281.858,214.983,155.014,117.52,117.074,116.563,119.173,124.397,122.291,53.002,45.227,28.851,26.734,24.442,24.308,25.366,25.153,20.769,29.993,19.135,,,,10.54,
total-assets,790.387,502.902,476.499,282.959,284.4,239.076,208.388,211.078,213.238,139.208,152.622,130.651,101.698,121.193,139.026,156.676,175.672,194.844,218.215,128.778,0.0,0.0,0.0,53.1,0.0
total-current-liabilities,68.936,40.092,41.6,36.312,42.857,32.656,35.245,33.387,34.801,19.655,19.712,14.753,13.314,12.267,10.577,10.877,8.457,9.439,9.653,7.623,,,,2.22,
long-term-debt,309.77,121.307,118.337,75.852,52.277,57.988,61.449,42.457,41.45,41.155,40.087,8.987,10.16,9.313,8.272,7.08,5.773,2.371,1.78,2.011,,,,1.15,
other-non-current-liabilities,7.8,,0.15,8.956,9.871,9.785,9.734,13.44,11.593,11.234,10.524,7.837,7.38,6.92,5.669,0.343,0.341,0.387,0.423,0.415,,,,0.42,
total-long-term-liabilities,317.57,121.307,118.487,84.808,62.148,67.773,71.183,55.897,53.043,52.389,50.611,16.824,17.54,16.233,13.941,7.423,6.114,2.758,2.203,2.426,,,,1.57,
total-liabilities,386.506,161.399,160.087,121.12,105.005,100.429,106.428,89.284,87.844,72.044,70.323,31.577,30.854,28.5,24.518,18.3,14.571,12.197,11.856,10.049,0.0,0.0,0.0,3.8,0.0
common-stock-net,0.01,0.009,0.009,0.008,0.007,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,,0.0,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-681.772,-603.065,-554.389,-516.712,-486.871,-455.148,-423.477,-398.598,-358.105,-330.703,-302.146,-275.218,-250.37,-225.399,-200.552,-174.962,-150.602,-128.075,-103.817,-85.18,,,,-37.68,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
total-share-holder-equity,403.881,341.503,316.412,161.839,179.395,138.647,101.96,121.794,125.394,67.164,82.299,99.074,70.844,92.693,114.508,138.376,161.101,182.647,206.359,118.729,0.0,0.0,0.0,49.29,0.0
total-liabilities-share-holders-equity,790.387,502.902,476.499,282.959,284.4,239.076,208.388,211.078,213.238,139.208,152.622,130.651,101.698,121.193,139.026,156.676,175.672,194.844,218.215,128.778,0.0,0.0,0.0,53.1,0.0
