,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,80.993,79.141,79.128,76.847,79.895,81.73,77.686,81.33,80.124,75.869,66.271,63.346,65.013,61.334,59.787,57.563,57.766,59.219,56.709,59.846,64.266,70.902,70.677,72.678,100.204,94.941,84.691,69.813,80.822,78.423,90.939,81.528,94.707,97.981,93.666,84.589,85.484,83.585,88.451,94.624,101.016,94.172,91.948,91.185,97.368,113.333,104.263,93.952,89.81,85.417,78.127,70.395,63.925,39.259,35.379,32.853,35.262,33.234,32.291
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.185,,,,,29.248,28.245,26.477,,,,,22.687,,,,16.98,,,,13.118,,,,7.453,,,
total-current-assets,237.803,232.829,224.338,244.639,245.01,237.426,263.143,251.801,213.408,198.604,186.844,194.373,185.249,177.988,173.967,212.252,245.491,235.214,235.034,218.995,270.345,292.679,259.568,265.106,281.773,296.397,312.623,300.632,404.872,396.389,414.775,531.133,359.729,346.1,332.322,311.76,313.372,307.182,311.302,299.494,303.316,287.067,267.6,274.65,281.526,301.215,298.719,280.777,277.864,258.312,244.91,233.968,247.096,198.06,184.064,207.275,237.931,161.504,163.956
net-property-plant-equipment,62.964,64.402,63.727,42.835,43.575,44.377,43.973,45.139,46.678,46.651,47.962,48.916,51.861,52.499,53.645,52.306,51.467,49.963,46.737,48.549,49.616,51.082,52.656,54.372,55.762,55.166,54.119,52.793,46.55,45.267,53.634,46.137,49.302,49.205,48.113,45.535,42.362,39.99,37.414,38.694,37.559,34.226,31.901,32.66,33.154,35.255,35.257,33.444,31.532,28.957,26.778,25.311,22.917,19.914,18.782,18.987,19.78,19.041,18.385
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.345,0.345,,0.345,2.095,2.095,2.095,2.095,4.427,4.427,4.427,4.082,4.082,4.082,4.082,4.082,4.082,4.082,4.082,4.082,4.082,4.082
goodwill-intangible-assets-total,124.79,126.805,127.941,124.298,122.384,122.245,66.715,64.026,63.48,63.073,62.095,61.026,61.585,61.387,59.167,58.867,58.933,59.191,59.453,60.717,61.02,61.64,62.083,62.611,65.226,79.615,79.542,81.678,80.952,80.405,216.834,81.94,218.734,221.885,222.662,217.954,219.683,218.437,221.641,232.803,234.512,236.163,233.538,236.127,242.707,541.95,543.747,550.243,574.852,575.243,572.081,574.229,591.52,241.084,240.319,240.323,232.597,234.549,237.476
other-long-term-assets,10.42,27.204,26.735,21.641,3.166,7.082,6.814,21.073,15.683,16.664,16.413,20.463,21.136,16.421,19.557,19.491,27.457,26.876,27.351,8.97,8.838,5.834,6.85,7.492,7.386,9.067,10.298,7.92,13.541,12.815,12.385,9.429,12.138,13.541,11.965,12.565,,,,7.734,,,,,,,,,,,,,,,3.19,3.194,4.388,5.205,5.234
total-long-term-assets,237.8,255.977,254.978,222.002,205.155,204.338,145.861,153.553,172.893,169.073,167.901,177.73,190.804,186.75,188.808,187.97,156.958,153.94,151.68,173.961,140.7,141.318,144.405,146.869,148.285,163.053,163.135,163.914,160.201,156.931,292.811,154.247,296.344,300.926,298.962,292.229,284.161,282.776,278.524,290.979,285.462,284.719,281.575,286.565,297.261,598.382,600.636,604.887,641.586,634.184,628.581,628.317,634.806,274.303,266.373,266.586,260.847,262.877,265.177
total-assets,475.603,488.806,479.316,466.641,450.165,441.764,409.004,405.354,386.301,367.677,354.745,372.103,376.053,364.738,362.775,400.222,402.449,389.154,386.714,392.956,411.045,433.997,403.973,411.975,430.058,459.45,475.758,464.546,565.073,553.32,707.586,685.38,656.073,647.026,631.284,603.989,597.533,589.958,589.826,590.473,588.778,571.786,549.175,561.215,578.787,899.597,899.355,885.664,919.45,892.496,873.491,862.285,881.902,472.363,450.437,473.861,498.778,424.381,429.133
