,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,105.813,103.906,103.909,100.868,99.231,103.732,101.868,96.137,92.239,81.523,76.23,69.297,74.125,73.72,71.914,46.594,49.46,46.027,33.19,31.554,31.847,31.542,30.975,31.457,30.705,26.36,26.125,26.903,26.4,25.17,16.993,18.107,17.056,17.382,15.399,9.785,9.345,9.735,10.147,10.502,10.445,9.624,10.834,12.957,13.856,15.533,15.216,13.732,12.665,14.124,16.161,15.724,21.883,14.468,12.165,13.763,14.934,15.961,15.291
other-current-assets,11.87,13.419,12.017,12.136,9.871,16.122,14.751,13.273,15.763,10.511,12.593,12.674,9.016,9.024,9.853,7.774,6.802,6.071,6.217,7.215,6.262,6.04,7.799,7.675,8.052,7.899,7.532,9.172,7.046,7.164,6.046,6.107,6.518,5.94,6.337,7.266,6.882,5.908,5.711,6.159,6.083,7.04,10.636,9.434,8.921,9.536,9.825,9.806,5.782,5.746,5.973,9.183,,,,4.581,,,
total-current-assets,477.079,429.839,413.707,397.134,379.119,358.858,372.231,352.272,315.381,295.981,294.379,315.408,337.067,311.916,310.308,264.128,259.886,285.324,296.322,283.384,268.368,275.896,250.842,233.778,247.859,213.221,197.086,180.756,166.518,155.601,291.805,283.591,280.66,271.305,268.137,264.625,266.367,262.446,259.961,250.744,245.941,235.403,225.412,224.987,216.876,208.37,232.757,252.184,258.368,244.492,131.733,127.817,117.602,103.157,87.807,81.295,88.071,77.037,74.25
net-property-plant-equipment,54.877,52.847,52.039,51.5,50.484,50.884,48.29,42.595,40.219,40.713,40.996,42.011,41.034,40.503,42.208,32.309,34.026,34.772,34.373,36.178,37.688,37.257,35.178,35.254,33.492,34.114,34.697,34.107,32.185,28.965,17.112,17.306,16.89,16.32,15.344,14.351,13.512,13.729,13.578,13.209,13.128,14.326,15.929,16.18,14.668,12.632,11.29,10.184,7.945,5.246,5.127,5.226,4.742,4.394,4.505,4.727,4.994,5.009,5.422
long-term-investments,21.494,21.041,19.469,17.082,17.448,16.707,16.444,15.435,15.986,17.424,19.174,20.585,18.756,19.711,21.037,14.484,13.557,10.208,10.443,10.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,463.679,469.8,475.012,479.573,486.485,492.3,501.406,505.858,509.007,513.202,512.343,518.007,498.991,507.645,518.772,237.571,240.769,243.939,203.495,205.387,207.165,190.904,191.916,192.945,193.873,194.811,195.872,196.957,198.917,200.276,32.7,32.774,32.861,32.957,33.076,33.215,33.814,28.252,28.766,29.215,29.829,30.344,31.124,31.688,31.79,32.343,31.896,32.543,,,,4.924,4.799,5.044,5.337,,5.248,5.542,5.835
other-long-term-assets,196.534,192.256,184.79,120.756,109.389,98.275,93.128,90.748,37.596,36.954,37.247,35.051,32.612,30.733,28.809,27.894,26.971,25.382,24.963,23.273,33.117,32.092,31.305,29.422,29.467,15.775,28.576,29.006,24.382,19.785,20.51,18.501,18.263,18.814,18.752,17.589,17.955,19.26,19.323,19.426,18.408,18.829,19.002,19.798,20.182,20.447,21.402,20.631,23.791,23.138,21.06,16.663,2.063,2.517,2.685,14.406,3.691,4.77,6.429
total-long-term-assets,767.191,767.139,763.353,684.108,673.256,667.617,668.724,664.09,608.4371,613.92,615.384,619.6951,594.348,601.512,613.464,314.619,316.836,315.698,274.604,276.83,278.945,261.355,259.563,258.723,258.125,258.907,260.271,261.063,255.484,249.026,82.123,80.258,77.85,78.148,77.275,78.599,73.37,71.048,71.734,71.516,77.095,79.203,81.705,83.555,76.634,75.695,74.963,76.239,36.546,33.18,26.187,26.813,20.902,19.593,18.993,19.133,15.584,17.555,20.538
total-assets,1244.27,1196.978,1177.06,1081.242,1052.375,1026.475,1040.955,1016.362,923.818,909.901,909.763,935.103,931.415,913.428,923.772,578.747,576.722,601.022,570.926,560.214,547.313,537.251,510.405,492.501,505.984,472.128,457.357,441.819,422.002,404.627,373.928,363.849,358.51,349.453,345.412,343.224,339.737,333.494,331.695,322.26,323.036,314.606,307.117,308.542,293.51,284.065,307.72,328.423,294.914,277.672,157.92,154.63,138.504,122.75,106.8,100.428,103.655,94.592,94.788
