,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,1.173,1.187,0.736,0.088,0.214,0.235,0.247,0.443,0.822,0.905,0.96,1.128,1.396,1.78,1.972,0.472,0.445,0.633,0.566,0.568,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,0.099,0.108,0.116,,0.148,0.146,0.143,0.086,,,,,,,,,,,,,,,,,,,,,
total-current-assets,63.799,65.944,76.871,89.867,66.001,96.504,78.684,108.372,117.897,53.093,51.354,60.262,60.649,34.105,24.322,37.146,39.463,56.681,73.066,9.041,23.361,38.968,54.132,14.817,10.27,21.271,15.813,24.7,31.437,8.52,19.698,25.948,33.839,39.667,45.277,43.754,35.185,43.032,51.777,60.664,4.94,,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0
other-long-term-assets,22.456,18.472,18.668,1.154,5.779,5.779,5.835,5.835,5.835,5.835,5.835,5.835,10.908,10.752,10.752,10.898,1.146,1.167,1.118,1.011,1.087,1.118,0.946,0.779,0.792,0.806,0.822,0.838,0.639,0.651,0.665,0.295,0.312,0.329,0.349,0.328,0.279,0.256,0.283,0.312,0.255,,,,
total-long-term-assets,27.464,23.816,24.375,6.069,9.609,9.845,10.351,7.956,7.62,7.261,7.05,7.016,12.114,12.003,11.65,11.849,1.954,1.956,1.845,1.793,1.933,2.025,1.935,1.718,1.744,1.787,1.88,1.875,1.324,1.546,1.391,1.034,1.145,1.281,2.476,1.95,1.921,1.754,1.709,1.398,1.97,,,,
total-assets,91.263,89.76,101.246,95.936,75.61,106.349,89.035,116.328,125.517,60.354,58.404,67.278,72.763,46.108,35.972,48.995,41.417,58.637,74.911,10.834,25.294,40.993,56.067,16.535,12.014,23.058,17.693,26.575,32.761,10.066,21.089,26.982,34.984,40.948,47.753,45.704,37.106,44.786,53.486,62.062,6.91,0.0,0.0,0.0,0.0
total-current-liabilities,46.753,40.673,44.505,37.356,24.587,24.442,24.63,26.307,24.69,24.753,16.973,16.071,16.057,16.065,17.521,16.253,22.273,20.096,20.068,18.315,14.397,12.17,10.232,11.873,11.9,10.9,10.585,8.359,21.811,17.249,18.742,18.985,15.815,14.339,15.023,15.374,5.321,10.114,10.122,11.09,11.94,,,,
long-term-debt,184.425,179.361,177.76,150.559,131.695,129.75,85.037,84.117,82.778,81.511,80.503,79.512,70.289,69.833,49.973,49.769,18.974,21.477,23.906,26.123,28.551,30.761,32.212,14.898,16.376,17.809,19.2,20.103,8.679,10.345,11.969,13.551,15.092,16.594,18.058,9.86,8.873,4.874,6.376,7.827,9.244,,,,
other-non-current-liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.091,3.009,3.061,,,,,,,,,,,,,,
total-long-term-liabilities,184.425,179.361,177.76,158.736,140.02,138.204,93.62,92.835,91.616,90.451,89.544,88.654,79.478,79.038,59.193,58.976,28.148,30.609,32.997,35.173,37.486,39.434,40.623,23.046,24.007,24.414,22.972,24.747,11.77,13.354,15.03,13.551,15.092,16.594,18.058,9.86,8.873,4.874,6.376,7.827,9.244,,,,
total-liabilities,231.178,220.034,222.265,196.092,164.607,162.646,118.25,119.142,116.306,115.204,106.517,104.725,95.535,95.103,76.714,75.229,50.421,50.705,53.065,53.488,51.883,51.604,50.855,34.919,35.907,35.314,33.557,33.106,33.581,30.603,33.772,32.536,30.907,30.933,33.081,25.234,14.194,14.988,16.498,18.917,21.184,0.0,0.0,,0.0
common-stock-net,0.495,0.492,0.49,0.49,0.49,0.485,0.483,0.482,0.48,0.444,0.439,0.438,0.429,0.393,0.391,0.38,0.38,0.379,0.378,0.342,0.34,0.34,0.339,0.304,0.298,0.298,0.259,0.259,0.259,0.225,0.225,0.224,0.223,0.222,0.221,0.219,0.215,0.214,0.213,0.213,0.03,0.0,0.0,,0.0
retained-earnings-accumulated-deficit,-705.386,-688.923,-674.47,-650.125,-626.591,-587.118,-553.422,-523.368,-506.817,-499.335,-484.976,-469.887,-450.255,-436.293,-423.681,-403.142,-383.316,-363.395,-346.715,-328.046,-307.333,-289.006,-271.015,-254.373,-252.528,-238.658,-225.066,-214.577,-206.843,-193.567,-185.028,-176.133,-165.932,-159.42,-154.129,-147.587,-140.356,-132.801,-124.997,-118.336,-112.754,,,,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0
total-share-holder-equity,-139.915,-130.274,-121.019,-100.156,-88.997,-56.297,-29.215,-2.814,9.211,-54.85,-48.113,-37.447,-22.772,-48.995,-40.742,-26.234,-9.004,7.932,21.846,-42.654,-26.589,-10.611,5.212,-18.384,-23.893,-12.256,-15.864,-6.531,-0.82,-20.537,-12.683,-5.554,4.077,10.015,14.672,20.47,22.912,29.798,36.988,43.145,-14.274,0.0,0.0,,0.0
total-liabilities-share-holders-equity,91.263,89.76,101.246,95.936,75.61,106.349,89.035,116.328,125.517,60.354,58.404,67.278,72.763,46.108,35.972,48.995,41.417,58.637,74.911,10.834,25.294,40.993,56.067,16.535,12.014,23.058,17.693,26.575,32.761,10.066,21.089,26.982,34.984,40.948,47.753,45.704,37.106,44.786,53.486,62.062,6.91,0.0,0.0,,0.0
