,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,467.947,503.016,513.443,567.14,635.212,691.554,620.974,533.166,489.1429,226.324,263.3553,314.5937,309.2352,335.2759,277.7739,311.6078,214.298,225.0917,235.8576,77.3633,,,,4.86
net-property-plant-equipment,72.001,66.183,62.711,95.998,87.28,68.698,62.874,61.713,25.3649,25.5301,23.0976,19.7943,19.7885,19.554,18.394,16.9994,14.1943,13.4902,13.3994,12.6744,,,,
long-term-investments,39.879,54.83,90.168,94.678,27.964,9.552,,20.035,96.1997,22.7683,31.701,21.9001,51.9207,46.8396,,,,,,,,,,
goodwill-intangible-assets-total,1.143,1.19,1.174,1.198,1.214,1.223,1.29,1.254,1.2368,1.1958,16.0701,16.6501,17.5861,17.5861,17.5827,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,122.53,125.033,88.012,55.338,55.732,2.492,2.566,0.628,0.7238,0.8143,0.8535,0.9246,1.0055,1.0789,1.178,1.1653,0.4176,0.4082,0.4082,0.4082,,,,
total-long-term-assets,235.553,247.236,242.065,247.212,172.19,81.965,66.73,83.63,123.5252,50.3084,71.7222,59.2691,90.3008,85.0586,37.1547,18.1647,14.612,13.8984,13.8076,13.0826,,,,
total-assets,703.5,750.252,755.508,814.352,807.402,773.519,687.704,616.796,612.6682,276.6324,335.0775,373.8628,399.536,420.3345,314.9286,329.7725,228.9099,238.9901,249.6652,90.4459,0.0,0.0,0.0,4.86
total-current-liabilities,100.299,90.401,86.437,62.354,59.319,37.437,54.639,53.687,30.9694,37.1541,29.7328,29.9975,24.1134,18.6079,18.1817,22.1157,18.6156,13.3942,11.1624,15.8542,,,,1.49
long-term-debt,120.749,121.735,81.464,46.09,47.671,0.752,0.832,0.912,0.991,1.0693,1.147,1.224,1.3004,,,,,,,,,,,
other-non-current-liabilities,3.724,3.793,3.86,49.395,45.537,46.59,47.563,48.573,10.3028,10.2501,11.0863,7.4984,7.4963,7.687,7.8777,8.0845,8.2575,8.4691,8.6513,8.6185,,,,
total-long-term-liabilities,257.192,258.247,218.043,255.485,198.208,152.342,153.395,49.485,11.2938,11.3194,15.7901,13.5885,15.9016,16.0947,17.5741,17.1191,18.5948,20.1092,21.5801,19.3859,,,,
total-liabilities,357.491,348.648,304.48,317.839,257.527,189.779,208.034,103.172,42.2632,48.4735,45.5228,43.5861,40.015,34.7026,35.7558,39.2347,37.2104,33.5034,32.7424,35.2401,0.0,0.0,0.0,1.49
common-stock-net,0.039,0.039,0.039,0.038,0.038,0.038,0.037,0.037,0.0369,0.0312,0.0311,0.0309,0.0308,0.0306,0.0274,0.0271,0.0246,0.0245,0.0245,0.0063,0.0,0.0,0.0,50.64
retained-earnings-accumulated-deficit,-775.185,-708.582,-644.352,-589.687,-524.429,-477.073,-557.236,-505.863,-444.0419,-379.03,-304.6703,-252.3809,-215.5436,-182.9812,-154.3051,-128.7284,-122.5735,-105.673,-91.3361,-81.6026,,,,-57.27
comprehensive-income,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,346.009,401.604,451.028,496.513,549.875,583.74,479.67,513.624,570.405,228.159,289.5547,330.2767,359.5211,385.6319,279.1729,290.5378,191.6995,205.4866,216.9228,55.2057,0.0,0.0,0.0,3.36
total-liabilities-share-holders-equity,703.5,750.252,755.508,814.352,807.402,773.519,687.704,616.796,612.6682,276.6324,335.0775,373.8628,399.536,420.3345,314.9286,329.7725,228.9099,238.9901,249.6652,90.4459,0.0,0.0,0.0,4.86
