,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,292.842,344.228,435.237,317.731,289.817,321.562,349.346,348.861,430.556,472.516,459.932,483.601,502.067,505.573,453.532,454.058,517.416,278.339,394.025,142.869,163.148,183.01,205.272,242.728,241.277,230.116,237.683,78.657,87.985,92.346,99.411,99.582,117.629,127.628,142.785,57.392,44.854,45.49,62.726,63.818,71.769,49.927,11.265,13.466,20.987,11.558,20.581,29.212,5.688,6.684,17.388,0.116,8.828,8.875,8.984,9.0,9.13,9.346,9.642
net-property-plant-equipment,128.519,137.106,139.965,144.674,147.386,150.156,148.718,146.557,142.437,133.355,126.256,122.831,125.486,128.274,133.948,131.798,126.822,23.405,15.12,16.411,17.036,17.348,16.881,17.027,17.027,16.577,16.75,16.526,12.845,5.232,5.343,5.358,3.271,3.093,2.771,2.589,2.548,2.509,2.393,0.593,0.551,0.56,0.624,0.659,0.616,0.598,0.419,0.41,0.275,0.098,0.084,,,,,-0.026,,,
long-term-investments,11.695,24.767,32.297,31.228,42.737,45.497,41.289,40.642,32.196,34.495,37.285,41.139,38.783,34.249,35.212,34.716,34.695,21.434,22.38,22.453,26.849,33.428,35.697,30.653,24.69,26.69,28.546,15.636,14.998,,10.136,6.717,5.862,4.24,4.691,5.114,3.768,3.972,4.216,4.447,4.697,2.262,,,,,,,4.874,4.965,,,,,,,,,
goodwill-intangible-assets-total,1260.108,1281.148,1295.838,1314.645,1345.063,1362.775,1387.528,1400.934,1430.125,1443.209,1452.644,1468.579,1482.416,1495.505,1372.366,1381.5,1421.521,383.854,282.651,286.941,290.322,295.06,297.983,300.906,299.673,161.861,165.063,164.688,132.324,116.823,115.413,116.545,20.486,25.398,26.027,12.64,16.23,15.612,17.14,18.13,6.215,6.621,7.027,7.433,8.039,8.594,9.789,9.931,,,,,,,,,,,
other-long-term-assets,676.354,668.979,671.964,642.794,655.991,650.96,652.013,652.962,686.676,685.119,683.951,650.469,651.275,610.42,798.148,797.116,915.399,818.459,798.073,798.99,797.887,798.236,799.859,800.202,800.315,205.836,205.893,14.323,1.87,1.244,1.267,1.287,0.824,0.06,0.033,0.111,0.431,0.432,0.428,0.442,0.371,0.335,0.23,0.206,0.166,0.162,0.036,0.015,0.022,0.006,,,,,,,0.001,0.001,0.002
total-long-term-assets,2076.676,2112.0,2140.064,2133.341,2191.177,2209.388,2229.548,2241.095,2291.434,2296.178,2300.136,2283.018,2297.96,2268.448,2339.674,2345.13,2498.437,1247.152,1118.224,1124.795,1132.094,1144.072,1150.42,1148.788,1141.705,410.964,416.252,211.173,162.037,138.125,132.159,129.907,33.372,32.791,33.522,20.454,22.977,22.525,24.177,23.612,11.834,9.778,7.881,8.298,8.821,9.354,10.244,10.356,5.171,5.069,0.084,,,,,-0.026,0.001,0.001,0.002
total-assets,2369.518,2456.228,2575.301,2451.072,2480.994,2530.95,2578.894,2589.956,2721.99,2768.694,2760.068,2766.619,2800.027,2774.021,2793.206,2799.188,3015.853,1525.491,1512.249,1267.664,1295.242,1327.082,1355.692,1391.516,1382.982,641.08,653.935,289.83,250.022,230.471,231.57,229.489,151.001,160.419,176.307,77.846,67.831,68.015,86.903,87.43,83.603,59.705,19.146,21.764,29.808,20.912,30.825,39.568,10.859,11.752,17.472,0.116,8.828,8.875,8.984,9.0,9.131,9.347,9.644
total-current-liabilities,270.138,283.374,396.058,288.321,317.83,306.861,318.077,312.029,258.948,283.052,264.951,263.296,254.511,281.237,267.232,251.902,357.59,180.481,182.838,83.111,76.841,79.402,84.5,91.85,71.377,59.469,58.224,52.382,46.441,31.71,29.705,18.778,20.241,21.527,24.683,27.599,20.344,16.882,29.837,13.023,4.344,6.301,12.824,7.712,8.994,7.272,8.603,9.723,6.409,6.198,5.924,0.095,0.382,0.262,0.304,0.277,0.022,0.16,0.192
