,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
cash-on-hand,,,,,,,,,,,,,,
inventory,4.404,4.26,5.716,7.132,7.009,4.95,3.58,2.013,0.241,,,,,
other-current-assets,,,,,,,1.398,,0.438,,,,,
total-current-assets,144.102,160.854,186.782,212.857,233.455,256.054,217.069,238.167,50.32,,,,,
net-property-plant-equipment,,,,,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,2.014,2.187,2.495,0.248,0.21,0.3,0.391,0.405,1.097,,,,,
total-long-term-assets,5.275,5.718,6.21,4.132,4.167,3.896,3.493,2.969,4.815,,,,,
total-assets,149.377,166.572,192.992,216.989,237.622,259.95,220.562,241.136,55.135,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,29.962,24.367,26.868,25.697,22.362,23.213,22.488,14.777,9.699,,,,,
long-term-debt,74.266,72.869,72.68,72.5,72.318,72.138,71.963,71.863,,,,,,
other-non-current-liabilities,0.631,0.864,1.091,0.181,0.212,0.267,,,,,,,,
total-long-term-liabilities,74.897,73.733,73.771,72.681,72.53,72.405,71.963,71.863,,,,,,
total-liabilities,104.859,98.1,100.639,98.378,94.892,95.618,94.451,86.64,9.699,0.0,0.0,,0.0,0.0
common-stock-net,0.041,0.041,0.041,0.041,0.041,0.041,0.038,0.038,0.004,0.0,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,-402.985,-374.178,-346.801,-317.927,-291.546,-266.423,-241.841,-211.269,-191.001,,,,,
comprehensive-income,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,44.518,68.472,92.353,118.611,142.73,164.332,126.111,154.496,45.436,0.0,0.0,,0.0,0.0
total-liabilities-share-holders-equity,149.377,166.572,192.992,216.989,237.622,259.95,220.562,241.136,55.135,0.0,0.0,,0.0,0.0
