,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-06-30,2011-06-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,203.873,198.322,189.878,193.099,185.794,178.17,184.478,173.613,170.928,161.233,163.831,158.819,162.644,167.691,168.293,154.422,147.294,149.786,136.368,144.858,146.382,143.184,142.804,,,,,120.12,
other-current-assets,27.302,27.245,24.002,23.605,23.324,22.381,20.351,23.407,25.193,20.502,21.273,16.839,20.102,17.745,15.847,,,23.627,,,,,,,,,,28.72,
total-current-assets,455.512,466.162,451.724,441.09,419.793,415.461,407.426,396.447,394.555,363.665,347.544,339.009,339.768,342.831,332.598,310.173,316.991,313.728,300.052,306.743,303.854,299.289,292.647,,,,,301.88,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,130.526,74.826,76.318,77.857,79.236,79.326,84.012,86.078,88.439,78.584,79.568,78.255,79.693,81.216,61.671,34.755,36.011,49.894,38.756,27.638,28.71,29.803,31.412,0.0,0.0,,0.0,15.04,0.0
other-long-term-assets,67.037,45.448,43.724,45.634,48.66,46.784,52.726,52.665,56.875,53.797,47.931,47.841,51.287,56.465,72.512,63.648,36.825,25.282,34.489,30.68,32.819,34.072,42.007,,,,,22.31,
total-long-term-assets,339.727,260.509,254.696,256.202,258.682,256.218,263.418,266.683,276.556,259.732,254.734,253.276,258.316,265.004,257.283,211.324,176.487,179.59,172.286,160.934,166.966,173.034,180.63,,,,,237.54,
total-assets,795.239,726.671,706.42,697.292,678.475,671.679,670.844,663.13,671.111,623.397,602.278,592.285,598.084,607.835,589.881,521.497,493.478,493.318,472.338,467.677,470.82,472.323,473.277,0.0,0.0,0.0,0.0,440.9,0.0
total-current-liabilities,141.973,154.227,132.536,135.829,128.731,143.221,128.544,127.236,121.107,115.796,106.297,103.329,101.336,108.777,99.78,114.531,108.327,111.333,105.484,101.378,106.787,112.438,115.337,,,,,125.86,
long-term-debt,381.04,313.635,316.667,311.699,311.75,299.802,298.356,306.91,323.959,306.891,306.565,325.632,339.698,347.265,363.606,302.307,303.507,286.709,284.41,285.113,285.713,286.422,374.394,,,,,344.77,
other-non-current-liabilities,65.532,42.794,43.498,44.54,45.937,43.702,58.399,60.659,56.57,49.553,50.005,50.711,54.774,61.313,48.794,51.351,59.042,65.648,59.365,55.143,56.71,58.314,62.271,,,,,58.5,
total-long-term-liabilities,446.572,356.429,360.165,356.239,357.687,343.504,356.755,367.569,380.529,356.444,356.57,376.343,394.472,408.578,412.4,353.658,362.549,352.357,343.775,340.256,342.423,344.736,436.665,,,,,403.27,
total-liabilities,588.545,510.656,492.701,492.068,486.418,486.725,485.299,494.805,501.636,472.24,462.867,479.672,495.808,517.355,512.18,468.189,470.876,463.69,449.259,441.634,449.21,457.174,552.002,0.0,0.0,,0.0,529.13,0.0
common-stock-net,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.007,0.0,0.0,,0.0,0.007,0.0
retained-earnings-accumulated-deficit,166.587,168.926,164.978,154.984,145.082,131.56,113.477,97.666,94.653,82.75,71.358,51.674,42.198,33.962,22.683,8.046,-18.215,-36.968,-47.372,-61.362,-76.767,-97.248,-79.606,,,,,-116.01,
comprehensive-income,-93.728,-86.181,-83.964,-81.107,-83.678,-76.483,-57.068,-56.885,-52.508,-55.437,-52.83,-57.474,-58.225,-61.785,-63.233,-71.102,-74.162,-51.6,-50.93,-37.419,-30.184,-20.06,-17.147,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,-14.95,0.0
total-share-holder-equity,206.694,216.015,213.719,205.224,192.057,184.954,185.545,168.325,169.475,151.157,139.411,112.613,102.276,90.48,77.701,53.308,22.602,29.628,23.079,26.043,21.61,15.149,-78.725,0.0,0.0,,0.0,-88.22,0.0
total-liabilities-share-holders-equity,795.239,726.671,706.42,697.292,678.475,671.679,670.844,663.13,671.111,623.397,602.278,592.285,598.084,607.835,589.881,521.497,493.478,493.318,472.338,467.677,470.82,472.323,473.277,0.0,0.0,,0.0,440.9,0.0
