,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,126.362,129.388,119.88,120.368,113.569,118.957,118.547,114.894,119.484,118.707,115.609,100.926,97.959,92.867,91.263,80.671,77.137,74.077,74.0,75.24,82.875,66.171,65.586,64.798,61.935,66.917,60.201,54.25,53.836,53.848,51.113,43.579,46.408,43.721,39.751,47.907,24.997,28.076,27.676,34.092,24.955,26.449,25.939,28.751,25.372,28.811,29.696,30.659,27.783,28.51,30.173,31.78,29.272,31.37,33.841,33.682,32.887,27.946,24.833
other-current-assets,,,,,,,,,,,,,36.4,41.745,,,,,,,,,,,,,,,0.185,,,,,,,,,,,,1.535,,,,,,,,,,,,,,,3.0,,,
total-current-assets,304.886,310.521,300.938,293.177,314.5,314.478,303.477,332.128,331.072,328.225,334.434,291.21,279.673,281.358,249.013,228.155,205.779,201.059,201.707,200.762,222.373,160.097,177.185,244.501,182.658,162.984,164.173,151.222,179.607,144.369,147.035,105.883,112.381,102.037,107.582,179.654,122.165,99.358,112.15,106.039,108.293,102.647,103.563,97.674,86.889,80.516,85.375,86.286,90.059,76.635,83.768,75.8,81.38,93.175,86.011,92.583,102.962,85.384,74.936
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,3071.013,3079.667,3085.793,3319.781,3327.514,3335.508,3401.014,3508.33,3514.528,3513.724,3518.865,2501.863,2532.79,2580.084,2682.914,2399.19,2406.73,2420.727,2425.351,2435.976,2457.94,1660.804,1585.728,1585.71,1590.918,1538.081,1540.786,1543.484,1554.427,1571.342,1574.224,932.938,935.311,938.884,941.257,866.059,661.344,668.329,665.848,676.068,686.073,689.222,683.377,948.682,951.307,952.9711,955.598,958.192,960.818,965.4771,968.104,963.712,965.197,932.955,935.132,945.294,899.047,901.009,903.344
other-long-term-assets,36.361,19.135,3.129,3.557,3.36,66.281,3.569,6.405,7.023,7.143,7.454,4.914,4.783,1.918,1.324,1.352,1.462,1.562,1.165,30.769,32.937,22.376,23.153,24.107,23.244,24.332,24.944,27.493,47.461,34.665,35.713,5.788,6.07,6.352,6.635,6.729,6.456,6.705,7.148,3.17,3.646,4.122,4.602,5.139,6.45,7.316,6.75,7.528,8.31,9.128,10.095,11.2,13.694,15.23,15.849,14.502,14.718,14.344,15.996
total-long-term-assets,3159.874,3150.189,3140.098,3374.905,3383.195,3454.242,3457.135,3565.794,3571.121,3571.336,3576.914,2519.642,2551.305,2597.082,2699.778,2412.844,2421.112,2435.443,2440.26,2479.834,2503.297,1693.853,1618.478,1620.345,1625.418,1573.11,1575.626,1580.167,1608.016,1608.286,1611.241,939.964,942.76,946.579,949.336,874.194,669.007,676.277,679.262,680.535,691.01,694.658,697.818,955.258,959.041,961.652,963.781,967.157,970.519,976.0421,979.6479,976.3651,980.418,949.915,952.634,961.249,915.412,917.3961,921.6639
total-assets,3464.76,3460.71,3441.036,3668.082,3697.695,3768.72,3760.612,3897.922,3902.193,3899.561,3911.348,2810.852,2830.978,2878.44,2948.791,2640.999,2626.891,2636.502,2641.967,2680.596,2725.67,1853.95,1795.663,1864.846,1808.076,1736.094,1739.799,1731.389,1787.623,1752.655,1758.276,1045.847,1055.141,1048.616,1056.918,1053.848,791.172,775.635,791.412,786.574,799.303,797.305,801.381,1052.932,1045.93,1042.168,1049.156,1053.443,1060.578,1052.677,1063.416,1052.165,1061.798,1043.09,1038.645,1053.832,1018.374,1002.78,996.6
total-current-liabilities,146.894,143.491,126.979,128.816,145.973,142.26,123.199,151.504,160.722,153.617,162.009,132.324,114.311,100.141,106.684,86.721,93.028,101.792,99.037,91.034,111.91,78.319,84.358,134.063,89.109,81.735,96.668,88.75,88.401,63.19,63.923,53.063,56.131,49.808,54.208,45.086,31.82,27.216,55.652,36.158,48.305,35.389,34.226,37.605,37.566,32.179,37.891,38.538,45.195,34.841,40.91,39.3,42.865,36.973,35.735,35.998,38.565,33.061,37.024
