,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,60.238,52.697,47.028,48.569,44.884,42.053,40.043,41.411,39.112,33.602,30.311,31.278,37.476,60.916,63.744,61.645,56.132,48.769,36.264,29.263,23.662,19.194,15.364,15.557,15.606,14.221,10.76,12.077,11.906,9.299,5.078,1.245,1.667,1.884,1.778,1.605,,,,1.72,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,
total-current-assets,378.847,394.609,508.673,477.969,472.049,455.054,418.734,391.11,365.835,450.991,447.964,243.089,235.444,257.989,248.625,252.582,233.1,229.626,219.75,214.257,199.24,208.906,98.478,106.751,111.685,121.49,128.989,60.922,85.129,100.076,62.264,82.649,43.4,53.604,64.026,31.055,,,,12.54,
net-property-plant-equipment,104.856,105.492,107.051,108.67,110.063,111.276,109.225,107.046,105.947,103.239,102.571,101.016,100.388,99.282,95.846,90.324,86.323,77.809,67.206,60.632,56.148,53.513,49.891,48.182,45.944,42.065,41.13,39.116,35.319,29.966,26.492,25.103,25.825,24.633,24.359,23.95,,,,,
long-term-investments,82.129,42.39,14.146,40.674,14.146,15.747,35.829,74.193,80.807,,,,,,13.47,13.462,17.921,17.941,19.938,24.431,24.527,13.474,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,205.901,208.858,62.04,62.04,62.04,59.912,57.49,55.197,52.956,50.943,48.829,46.737,44.67,42.751,32.784,30.961,29.049,27.365,25.704,24.164,22.531,13.084,11.971,11.485,11.209,11.163,11.277,11.505,11.83,12.225,4.746,5.259,7.204,7.78,8.346,8.912,0.0,0.0,0.0,11.17,0.0
other-long-term-assets,35.756,36.494,27.246,,0.747,0.692,0.759,0.825,0.545,0.572,0.598,0.624,0.651,0.677,0.481,0.406,2.595,2.252,2.432,2.588,2.948,3.103,3.353,3.402,3.557,3.712,3.845,0.511,0.548,0.586,0.762,0.479,1.18,1.075,1.138,2.645,,,,0.66,
total-long-term-assets,428.642,393.234,210.483,211.384,186.996,187.627,203.303,237.261,240.255,154.754,151.998,148.377,145.709,142.71,142.581,135.153,135.888,125.367,115.28,111.815,106.154,83.174,65.215,63.069,60.71,56.94,56.252,51.132,47.697,42.777,32.0,30.841,34.209,33.488,33.843,35.507,,,,11.83,
total-assets,807.489,787.843,719.156,689.353,659.045,642.681,622.037,628.371,606.09,605.745,599.962,391.466,381.153,400.699,391.206,387.735,368.988,354.993,335.03,326.072,305.394,292.08,163.693,169.82,172.395,178.43,185.241,112.054,132.826,142.853,94.264,113.49,77.609,87.092,97.869,66.562,0.0,0.0,0.0,43.95,0.0
total-current-liabilities,95.838,83.004,58.991,60.661,54.523,53.024,48.368,56.217,52.337,57.51,45.648,44.838,146.831,150.438,146.139,149.788,145.411,145.472,136.453,140.01,135.223,129.506,121.587,121.943,116.972,15.835,12.698,14.156,19.828,15.236,19.158,31.911,17.829,17.479,19.663,16.322,,,,14.41,
long-term-debt,340.963,337.226,323.653,290.592,286.893,283.258,279.685,276.173,272.721,269.328,265.992,108.738,,,,,,,,,,,,,,96.892,95.857,25.191,24.93,24.67,23.632,18.537,20.603,20.358,19.57,71.664,,,,22.17,
other-non-current-liabilities,24.526,25.963,8.993,16.874,16.363,15.886,15.463,16.498,16.232,17.859,10.332,18.914,12.557,14.163,11.02,11.473,6.125,5.447,5.404,5.409,5.235,4.384,3.435,3.416,3.314,3.327,3.417,3.132,3.28,3.808,6.159,6.357,7.455,6.554,7.291,8.821,,,,8.74,
total-long-term-liabilities,365.489,363.189,332.646,307.466,303.256,299.144,295.148,292.671,288.953,287.187,283.681,127.652,20.174,21.91,18.897,19.555,14.564,14.242,14.556,14.917,15.099,14.605,6.395,6.628,6.305,103.453,102.751,32.043,32.553,33.112,37.864,33.31,45.905,46.678,47.06,98.623,,,,52.47,
total-liabilities,461.327,446.193,391.637,368.127,357.779,352.168,343.516,348.888,341.29,344.697,329.329,172.49,167.005,172.348,165.036,169.343,159.975,159.714,151.009,154.927,150.322,144.111,127.982,128.571,123.277,119.288,115.449,46.199,52.381,48.348,57.022,65.221,63.734,64.157,66.723,114.945,0.0,0.0,0.0,66.9,0.0
common-stock-net,0.042,0.042,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.04,0.04,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.036,0.036,0.036,0.036,0.034,0.034,0.034,0.033,0.033,0.033,0.032,0.032,0.025,0.025,0.017,0.017,0.017,0.001,0.0,0.0,0.0,0.001,0.0
retained-earnings-accumulated-deficit,-394.51,-388.423,-391.153,-388.226,-396.511,-395.871,-398.455,-389.136,-393.731,-386.134,-366.391,-346.238,-342.266,-320.101,-312.143,-308.289,-305.791,-308.877,-308.885,-310.145,-315.947,-312.943,-307.906,-296.429,-284.473,-269.689,-255.658,-232.52,-216.174,-200.429,-192.133,-180.239,-164.956,-155.448,-146.686,-136.911,,,,-109.76,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
total-share-holder-equity,346.162,341.65,327.519,321.226,301.266,290.513,278.521,279.483,264.8,261.048,270.633,218.976,214.148,228.351,226.17,218.392,209.013,195.279,184.021,171.145,155.072,147.969,35.711,41.249,49.118,59.142,69.792,65.855,80.445,94.505,37.242,48.269,13.875,22.935,31.146,-48.383,0.0,0.0,0.0,-22.94,0.0
total-liabilities-share-holders-equity,807.489,787.843,719.156,689.353,659.045,642.681,622.037,628.371,606.09,605.745,599.962,391.466,381.153,400.699,391.206,387.735,368.988,354.993,335.03,326.072,305.394,292.08,163.693,169.82,172.395,178.43,185.241,112.054,132.826,142.853,94.264,113.49,77.609,87.092,97.869,66.562,0.0,0.0,0.0,43.95,0.0
