,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,9087.0,12912.0,11619.0,18833.0,17239.0,13431.0,11421.0,19992.0,16925.0,14333.0,14560.0,17850.0,14371.0,20942.0,19443.0,23290.0,20658.0,30256.0,27708.0,36122.0,33446.0,34054.0,33881.0,32408.0,33679.0,33711.0,35346.0,32399.0,22968.0,24306.0,23972.0,26452.0,28963.0,25484.0,24009.0,28012.0,22464.0,19268.0,17262.0,25969.0,52473.0,49647.0,34052.0,23731.0,26017.0,26179.0,28628.0,25475.0,22298.0,22253.0,22470.0,27713.0,12831.0,14750.0,15502.0,22226.0,13389.0,14569.0,21971.0
notes-loans-receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,462.0,406.0,467.0,774.0,515.0,919.0,1195.0,791.0,935.0,793.0,824.0,849.0,1041.0,777.0,617.0,526.0,540.0,462.0,514.0,460.0,511.0,445.0,510.0,611.0,513.0,587.0
inventory,8222.0,8233.0,8029.0,7508.0,8184.0,8074.0,8148.0,7578.0,7925.0,7584.0,7415.0,6783.0,7507.0,7614.0,7578.0,7513.0,7678.0,5796.0,5786.0,5663.0,6355.0,6249.0,6066.0,6166.0,6482.0,6282.0,7035.0,6076.0,7516.0,7001.0,7189.0,6610.0,8426.0,8597.0,8467.0,8275.0,8771.0,9511.0,10132.0,12403.0,5058.0,4993.0,4458.0,4381.0,4788.0,5334.0,5148.0,5302.0,5210.0,5734.0,5694.0,6111.0,6167.0,6392.0,6663.0,5478.0,6556.0,6480.0,6551.0
other-current-assets,6713.0,12412.0,12444.0,15560.0,2450.0,2343.0,2190.0,5351.0,2174.0,1880.0,2221.0,6091.0,3962.0,3023.0,2355.0,4825.0,2248.0,2449.0,2815.0,2843.0,2545.0,2727.0,3473.0,3689.0,7835.0,9819.0,9647.0,3567.0,8849.0,9215.0,9361.0,9380.0,9288.0,9271.0,8755.0,9440.0,494.0,682.0,490.0,496.0,231.0,219.0,299.0,,186.0,141.0,87.0,,115.0,,,,,,151.0,,140.0,189.0,378.0
total-current-assets,33459.0,47073.0,45290.0,49926.0,41583.0,37303.0,34835.0,41141.0,40291.0,36385.0,35878.0,38949.0,38501.0,43845.0,41298.0,43804.0,45001.0,51715.0,49443.0,55595.0,56987.0,58287.0,57793.0,56244.0,59500.0,61435.0,64763.0,64831.0,57127.0,58765.0,54863.0,60817.0,62732.0,60484.0,58244.0,61013.0,54089.0,51101.0,49916.0,61670.0,73784.0,71550.0,54253.0,43076.0,48227.0,48651.0,51011.0,46849.0,41840.0,41622.0,42337.0,47658.0,38721.0,40994.0,37415.0,46835.0,32768.0,33573.0,42353.0
net-property-plant-equipment,13701.0,13521.0,13467.0,13385.0,14036.0,13919.0,13971.0,13865.0,13505.0,13386.0,13238.0,13318.0,13284.0,13609.0,13584.0,13766.0,13695.0,11432.0,11527.0,11762.0,12032.0,12179.0,12347.0,12397.0,12359.0,12443.0,13950.0,13213.0,14606.0,14756.0,16192.0,15921.0,17721.0,18281.0,18833.0,18645.0,19450.0,20041.0,21651.0,22780.0,13173.0,13194.0,12936.0,13287.0,14332.0,14925.0,15383.0,15734.0,15714.0,16298.0,16481.0,16632.0,16417.0,16483.0,17103.0,16233.0,17519.0,17673.0,17912.0
long-term-investments,18722.0,2905.0,2859.0,2767.0,6444.0,6595.0,6945.0,7015.0,7311.0,7008.0,7346.0,7116.0,9507.0,13124.0,14146.0,15999.0,16233.0,17650.0,18289.0,17518.0,18451.0,17168.0,15822.0,16406.0,15731.0,16107.0,15392.0,14149.0,13429.0,10548.0,10632.0,9814.0,9468.0,10207.0,9811.0,9747.0,10344.0,10524.0,12081.0,13122.0,12166.0,12576.0,13536.0,11478.0,8430.0,7105.0,4511.0,4856.0,4922.0,5067.0,4817.0,3892.0,2845.0,2387.0,2543.0,2497.0,2784.0,3247.0,3619.0
goodwill-intangible-assets-total,97660.0,86376.0,87526.0,88622.0,100920.0,102420.0,104083.0,104693.0,105799.0,106362.0,107083.0,107097.0,110519.0,93656.0,88160.0,88598.0,90514.0,74995.0,76188.0,77235.0,79098.0,80021.0,80589.0,81904.0,82949.0,84207.0,87861.0,88807.0,91579.0,92967.0,98053.0,95753.0,101006.0,102166.0,103350.0,101483.0,102414.0,105373.0,107128.0,110391.0,37921.0,38405.0,38405.0,39185.0,40331.0,41579.0,41452.0,41880.0,42208.0,43887.0,44412.0,45226.0,46374.0,47191.0,51814.0,47229.0,52782.0,53409.0,54672.0
other-long-term-assets,4920.0,4388.0,4333.0,2799.0,2980.0,2896.0,2896.0,3227.0,3388.0,3466.0,3329.0,3323.0,4759.0,4618.0,4003.0,3420.0,3911.0,3635.0,3716.0,3513.0,3421.0,3574.0,3759.0,3596.0,4982.0,5143.0,5432.0,3233.0,5862.0,5806.0,5943.0,5697.0,5205.0,4761.0,4718.0,4126.0,,4032.0,4337.0,4986.0,4250.0,3614.0,3802.0,4122.0,3929.0,4255.0,6193.0,5949.0,4346.0,3529.0,2436.0,2138.0,4228.0,4495.0,4084.0,4176.0,4490.0,4425.0,4379.0
total-long-term-assets,136987.0,109125.0,110131.0,109497.0,126255.0,127678.0,129778.0,130655.0,131861.0,132174.0,132905.0,132666.0,139928.0,126812.0,121631.0,123577.0,125865.0,109162.0,111197.0,111972.0,114375.0,114325.0,114015.0,115857.0,116021.0,117900.0,122635.0,120967.0,125476.0,124077.0,130820.0,127185.0,133400.0,135415.0,136712.0,134001.0,137326.0,139970.0,145197.0,151279.0,67510.0,67789.0,68679.0,68072.0,67022.0,67864.0,67539.0,68419.0,67190.0,68781.0,68146.0,67888.0,69864.0,70556.0,75544.0,70135.0,77575.0,78754.0,80582.0
