,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
cash-on-hand,,,,,,,,,
total-current-assets,83.369,94.897,54.075,62.628,24.968,,,,
net-property-plant-equipment,,,,,,0.0,0.0,,0.0
other-long-term-assets,1.812,1.864,1.931,0.043,0.051,,,,
total-long-term-assets,2.834,2.541,2.311,0.398,2.52,,,,
total-assets,86.203,97.438,56.386,63.026,27.488,0.0,0.0,0.0,0.0
total-current-liabilities,5.962,5.746,3.797,4.577,7.688,,,,
long-term-debt,9.317,10.027,8.507,7.5,4.375,,,,
other-non-current-liabilities,0.12,0.056,,,,,,,
total-long-term-liabilities,9.437,10.083,8.507,7.522,10.365,,,,
total-liabilities,15.399,15.829,12.304,12.099,18.053,0.0,0.0,,0.0
common-stock-net,0.029,0.029,0.025,0.025,0.001,0.0,0.0,,0.0
retained-earnings-accumulated-deficit,,,,,,0.0,0.0,,0.0
total-share-holder-equity,70.804,81.609,44.082,50.927,9.435,0.0,0.0,,0.0
total-liabilities-share-holders-equity,86.203,97.438,56.386,63.026,27.488,0.0,0.0,,0.0
