,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,76.489,89.456,80.914,69.547,75.649,81.874,70.639,,70.361,42.807,40.831,,42.286,40.304,35.833,,84.948,65.389,61.449,,81.632,78.311,,,,,27.04
total-current-assets,960.915,869.217,855.725,782.355,820.424,808.283,794.875,877.024,892.668,765.107,663.032,624.737,625.01,604.679,559.046,573.776,539.321,529.215,504.65,488.723,486.618,484.112,,,,,324.23
net-property-plant-equipment,176.745,171.584,163.553,154.764,149.535,146.931,147.431,143.07,131.432,103.322,88.894,87.577,87.712,87.974,83.143,80.691,79.609,76.25,72.708,72.933,72.856,73.389,,,,,112.69
long-term-investments,,,,,,,,0.407,,,,0.284,,,,1.288,,,,1.213,2.243,2.792,,,,,
goodwill-intangible-assets-total,2133.801,2164.252,2188.937,2199.208,2226.629,2247.025,2295.005,2296.26,2246.784,1505.426,1444.76,1445.956,1477.827,1498.1,1536.999,1548.736,1576.39,1607.037,1590.276,1634.909,1689.492,1745.243,0.0,,0.0,0.0,599.04
other-long-term-assets,228.995,237.485,227.355,50.14,54.032,50.669,47.131,30.502,38.749,35.802,32.581,23.507,29.898,27.827,26.523,18.693,46.232,39.111,37.513,12.37,53.322,57.926,,,,,7.85
total-long-term-assets,2539.541,2573.321,2579.845,2404.112,2430.196,2444.625,2489.567,2481.022,2416.965,1644.55,1566.235,1565.654,1595.437,1613.901,1646.665,1654.967,1702.231,1722.398,1700.497,1725.761,1817.913,1879.35,,,,,719.9999
total-assets,3500.456,3442.538,3435.57,3186.467,3250.62,3252.908,3284.442,3358.046,3309.633,2409.657,2229.267,2190.391,2220.447,2218.58,2205.711,2228.743,2241.552,2251.613,2205.147,2214.484,2304.531,2363.462,0.0,0.0,0.0,0.0,982.52
total-current-liabilities,872.703,879.82,950.653,898.874,920.331,871.622,953.463,971.616,888.02,653.186,572.304,564.199,500.128,522.695,518.849,529.98,512.828,486.056,473.305,466.356,474.393,487.812,,,,,305.91
long-term-debt,1558.091,1290.175,1252.924,1082.384,1191.511,1271.841,1218.616,1225.397,1293.498,794.401,785.726,797.052,882.446,881.503,880.583,889.514,909.427,919.156,933.848,924.444,1240.306,1242.276,,,,,451.07
other-non-current-liabilities,49.397,31.512,26.724,53.077,51.195,50.513,60.454,112.371,63.452,113.887,96.454,26.185,99.855,100.283,97.442,24.836,126.246,150.877,149.781,40.545,172.7,171.313,,,,,22.85
total-long-term-liabilities,1681.01,1399.018,1369.753,1236.173,1349.913,1427.163,1386.103,1449.949,1485.316,908.288,882.18,896.94,982.301,981.786,978.025,996.041,1035.673,1070.033,1083.629,1071.313,1413.006,1413.589,,,,,500.64
total-liabilities,2553.713,2278.838,2320.406,2135.047,2270.244,2298.785,2339.566,2421.565,2373.336,1561.474,1454.484,1461.139,1482.429,1504.481,1496.874,1526.021,1548.501,1556.089,1556.934,1537.669,1887.399,1901.401,0.0,,0.0,0.0,806.56
common-stock-net,0.632,0.657,0.656,0.654,0.649,0.643,0.641,0.636,0.633,0.626,0.623,0.616,0.613,0.609,0.605,0.602,0.602,0.602,0.598,0.598,0.403,0.403,0.0,,0.0,0.0,0.004
retained-earnings-accumulated-deficit,168.481,338.293,297.165,254.5,183.048,181.553,139.576,161.182,177.23,129.025,99.479,74.255,60.23,28.781,-9.889,6.08,-22.424,-46.083,-58.498,-75.685,-52.865,-54.04,,,,,-156.74
comprehensive-income,-197.603,-170.98,-169.624,-170.659,-150.298,-148.579,-114.739,-136.47,-146.291,-173.062,-207.358,-224.686,-186.159,-176.692,-138.589,-132.307,-111.777,-84.032,-116.087,-69.509,-23.277,23.899,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,2.17
total-share-holder-equity,946.743,1163.7,1115.164,1051.42,980.376,954.123,944.876,936.481,936.297,848.183,774.783,729.252,738.018,714.099,708.837,702.722,693.051,695.524,648.213,676.815,417.132,462.061,0.0,,0.0,0.0,175.95
total-liabilities-share-holders-equity,3500.456,3442.538,3435.57,3186.467,3250.62,3252.908,3284.442,3358.046,3309.633,2409.657,2229.267,2190.391,2220.447,2218.58,2205.711,2228.743,2241.552,2251.613,2205.147,2214.484,2304.531,2363.462,0.0,,0.0,0.0,982.52
