,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,
total-current-assets,409.202,418.708,415.193,431.39,456.908,494.037,537.153,426.327,469.064,511.72,514.204,391.362,415.638,450.598,482.092,377.403,393.576,406.2,284.419,299.108,308.819,307.019,199.598,178.222,102.938,113.594,120.791,125.841,,,,0.12,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,,0.0,0.0,0.0,0.07,0.0
other-long-term-assets,27.988,29.554,30.806,4.869,4.558,4.558,6.896,6.899,6.84,5.681,6.486,6.249,6.218,6.419,1.998,1.121,0.007,,0.117,,,0.028,,,0.739,,,,,,,0.88,
total-long-term-assets,41.692,43.364,44.341,67.406,67.718,69.263,69.494,70.002,68.616,67.28,67.746,68.614,63.944,51.964,9.216,7.833,5.354,4.964,5.166,5.008,4.778,4.666,4.212,4.188,4.998,4.336,3.477,3.442,,,,4.05,
total-assets,450.894,462.072,459.534,498.796,524.626,563.3,606.647,496.329,537.68,579.0,581.95,459.976,479.582,502.562,491.308,385.236,398.93,411.164,289.585,304.116,313.597,311.685,203.81,182.41,107.936,117.93,124.268,129.283,0.0,0.0,0.0,3.61,0.0
total-current-liabilities,31.763,28.016,14.906,14.926,23.627,46.132,35.555,37.371,39.258,39.599,33.68,41.075,36.908,33.456,23.234,22.216,18.558,13.456,9.544,12.039,9.971,11.311,8.964,7.406,7.715,9.083,5.086,1.744,,,,8.4,
long-term-debt,19.161,20.454,21.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,0.553,0.553,0.553,50.63,51.107,50.92,51.345,51.769,52.168,52.425,52.022,53.498,41.574,38.241,2.294,2.351,2.419,2.488,2.615,2.188,2.065,1.955,1.835,1.734,1.44,1.417,1.393,1.055,,,,1.65,
total-long-term-liabilities,129.956,131.249,132.498,160.872,161.349,161.162,161.587,51.769,52.168,52.425,52.022,53.498,41.574,38.241,2.294,2.351,2.419,2.488,2.615,2.188,2.065,1.955,1.835,1.734,1.44,1.618,1.393,1.055,,,,1.65,
total-liabilities,161.719,159.265,147.404,175.798,184.976,207.294,197.142,89.14,91.426,92.024,85.702,94.573,78.482,71.697,25.528,24.567,20.977,15.944,12.159,14.227,12.036,13.266,10.799,9.14,9.155,10.701,6.479,2.799,0.0,0.0,0.0,10.05,0.0
common-stock-net,0.399,0.399,0.399,0.399,0.398,0.398,0.398,0.385,0.384,0.382,0.38,0.348,0.344,0.343,0.343,0.317,0.315,0.314,0.275,0.274,0.274,0.267,0.219,0.219,0.177,0.177,0.177,0.177,0.0,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-6.43,0.0
total-share-holder-equity,289.175,302.807,312.13,322.998,339.65,356.006,409.505,407.189,446.254,486.976,496.248,365.403,401.1,430.865,465.78,360.669,377.953,395.22,277.426,289.889,301.561,298.419,193.011,173.27,98.781,107.229,117.789,126.484,0.0,0.0,0.0,-6.43,0.0
total-liabilities-share-holders-equity,450.894,462.072,459.534,498.796,524.626,563.3,606.647,496.329,537.68,579.0,581.95,459.976,479.582,502.562,491.308,385.236,398.93,411.164,289.585,304.116,313.597,311.685,203.81,182.41,107.936,117.93,124.268,129.283,0.0,0.0,0.0,3.61,0.0
