,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,2.357,1.547,2.672,7.873,6.123,7.082,3.248,1.099,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,3.788,4.795,6.317,9.88,10.835,7.773,8.109,,1.888,3.487,5.898,7.299,15.575,5.263,10.854,16.976,,,,1.686,,,,,,,,,,,0.47,
total-current-assets,514.495,305.923,354.858,353.327,403.692,478.882,436.237,477.923,579.952,285.687,327.581,328.928,301.698,381.448,442.89,465.577,376.467,417.474,403.45,315.077,230.007,233.116,273.266,272.707,178.672,215.068,,,,,189.51,
net-property-plant-equipment,4.561,4.769,5.032,5.236,4.921,5.358,5.393,5.217,5.614,5.576,5.795,6.143,6.384,6.819,6.779,6.243,5.406,4.584,3.211,2.776,2.732,2.89,2.67,2.6,2.428,2.516,,,,,7.29,
long-term-investments,,,,,10.881,20.777,42.514,71.076,28.625,,,,,,,15.96,,6.091,64.96,83.03,36.803,58.002,44.269,50.371,44.151,27.586,,,,,,
goodwill-intangible-assets-total,3.699,3.844,7.137,7.279,7.423,7.567,7.71,7.851,7.996,8.151,3.151,3.151,3.151,3.151,3.151,3.151,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0
other-long-term-assets,21.134,20.353,33.355,10.932,20.788,0.014,4.812,9.609,9.609,6.277,4.168,5.214,6.316,16.018,11.177,11.993,12.987,13.91,14.678,15.612,10.007,0.006,0.034,0.053,0.116,0.22,,,,,,
total-long-term-assets,62.69,60.574,45.524,33.092,44.013,33.716,60.429,93.753,51.844,20.004,13.114,14.508,15.851,25.988,21.107,37.347,18.393,24.585,82.849,101.418,49.542,60.898,46.973,53.024,46.695,30.322,,,,,7.29,
total-assets,577.185,366.497,400.382,386.419,447.705,512.598,496.666,571.676,631.796,305.691,340.695,343.436,317.549,407.436,463.997,502.924,394.86,442.059,486.299,416.495,279.549,294.014,320.239,325.731,225.367,245.39,0.0,0.0,0.0,0.0,193.4,0.0
total-current-liabilities,87.491,84.307,73.828,69.005,61.081,71.579,57.508,80.524,69.769,57.773,48.136,65.664,47.43,50.19,53.227,51.146,49.158,49.127,40.793,41.131,40.188,35.31,32.798,25.555,23.27,29.37,,,,,20.38,
long-term-debt,265.843,269.363,260.625,203.554,201.749,200.236,107.397,104.816,104.893,101.744,98.288,49.815,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,6.564,7.818,10.853,18.805,12.862,15.528,16.181,18.045,10.912,11.146,10.707,10.303,2.261,2.455,2.66,2.826,2.068,2.079,1.639,0.546,1.006,1.102,1.189,0.588,0.811,1.087,,,,,2.29,
total-long-term-liabilities,276.806,281.596,275.904,226.847,219.696,220.958,128.99,141.659,133.638,134.551,128.832,85.083,28.818,33.334,37.23,21.455,22.794,24.899,26.531,27.562,30.129,16.808,18.249,3.841,4.148,1.424,,,,,61.83,
total-liabilities,364.297,365.903,349.732,295.852,280.777,292.537,186.498,222.183,203.407,192.324,176.968,150.747,76.248,83.524,90.457,72.601,71.952,74.026,67.324,68.693,70.317,52.118,51.047,29.396,27.418,30.794,0.0,,0.0,0.0,82.22,0.0
common-stock-net,0.079,0.07,0.07,0.068,0.067,0.066,0.067,0.066,0.067,0.059,0.058,0.057,0.057,0.057,0.057,0.057,0.053,0.052,0.052,0.049,0.042,0.041,0.041,0.041,0.035,0.035,0.0,,0.0,0.0,0.001,0.0
retained-earnings-accumulated-deficit,-1719.691,-1670.064,-1603.86,-1525.704,-1437.156,-1365.853,-1259.66,-1204.519,-1112.571,-1029.634,-959.98,-918.345,-864.504,-771.615,-714.276,-649.302,-583.196,-528.038,-469.71,-422.797,-383.541,-347.748,-316.398,-285.672,-260.61,-242.06,,,,,-213.68,
comprehensive-income,0.072,-0.039,-0.08,-0.283,-0.437,-0.674,-0.801,-0.409,-0.037,-0.07,-0.091,-0.012,0.044,0.093,0.066,-0.15,0.02,-0.091,-0.07,-0.239,-0.024,0.022,0.027,0.055,0.064,-0.036,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,-0.001,0.0
total-share-holder-equity,212.888,0.594,50.65,90.567,166.928,220.061,310.168,349.493,428.389,113.367,163.727,192.689,241.301,323.912,373.54,430.323,322.908,368.033,418.975,347.802,209.232,241.896,269.192,296.335,197.949,214.596,0.0,,0.0,0.0,111.17,0.0
total-liabilities-share-holders-equity,577.185,366.497,400.382,386.419,447.705,512.598,496.666,571.676,631.796,305.691,340.695,343.436,317.549,407.436,463.997,502.924,394.86,442.059,486.299,416.495,279.549,294.014,320.239,325.731,225.367,245.39,0.0,,0.0,0.0,193.4,0.0
