,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,0.33
total-current-assets,300.18,179.654,195.558,212.407,83.561,98.149,110.858,72.877,85.214,97.836,107.005,119.502,31.865,,,,,4.44
net-property-plant-equipment,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,,,,,0.33,0.347,0.363,0.38,0.396,0.412,0.429,0.445,0.461,0.0,0.0,,0.0,0.57
other-long-term-assets,4.234,4.809,4.496,1.648,1.334,1.334,1.334,1.334,1.334,1.334,1.334,1.334,2.649,,,,,0.12
total-long-term-assets,8.758,9.584,9.511,6.813,7.058,7.39,7.318,7.32,7.697,7.985,7.978,7.316,8.783,,,,,4.28
total-assets,308.938,189.238,205.069,219.22,90.619,105.539,118.176,80.197,92.911,105.821,114.983,126.818,40.648,0.0,0.0,0.0,0.0,7.31
total-current-liabilities,11.666,11.744,9.728,10.201,8.117,8.453,7.215,8.614,7.803,7.0,5.307,6.737,5.729,,,,,2.8
long-term-debt,3.494,3.784,4.066,,,,,,,,,,,,,,,
other-non-current-liabilities,,,,,,,,,,,,,,,,,,28.98
total-long-term-liabilities,3.515,3.805,4.087,1.901,2.043,2.166,2.286,2.399,2.531,2.645,2.755,2.859,89.464,,,,,30.22
total-liabilities,15.181,15.549,13.815,12.102,10.16,10.619,9.501,11.013,10.334,9.645,8.062,9.596,95.193,0.0,0.0,,0.0,33.02
common-stock-net,0.047,0.042,0.042,0.042,0.032,0.032,0.032,0.023,0.023,0.023,0.023,0.023,0.001,0.0,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,293.757,173.689,191.254,207.118,80.459,94.92,108.675,69.184,82.577,96.176,106.921,117.222,-54.545,0.0,0.0,,0.0,-25.71
total-liabilities-share-holders-equity,308.938,189.238,205.069,219.22,90.619,105.539,118.176,80.197,92.911,105.821,114.983,126.818,40.648,0.0,0.0,,0.0,7.31
