,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,16.024,13.392,13.718,,7.798,11.951,6.984,7.389,9.535,10.137,9.082,6.943,,,,21.522,4.594,10.132,3.908,5.894,2.009,4.007,2.67,1.659,1.496,0.933,,,,,
total-current-assets,190.1,194.7,217.4,196.8,159.1,149.1,219.1,202.3,185.5,175.4,205.4,204.6,227.731,242.174,305.209,126.74,256.063,203.925,213.846,230.454,286.62,289.205,358.217,375.144,,,,476.982,352.776,352.853,342.922,416.988,309.835,274.731,235.183,225.745,189.554,170.497,,,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,421.4,424.9,428.4,435.3,439.2,444.1,,,,,,,,,,,0.006,0.046,0.16,0.162,0.235,0.309,0.382,0.579,,,,0.605,1.468,1.468,1.468,0.666,1.468,1.468,1.468,1.468,1.468,1.468,0.0,,0.0,0.0,0.0
other-long-term-assets,108.2,105.4,95.0,22.7,21.8,21.6,18.4,14.9,12.9,11.5,9.6,7.8,8.192,6.402,5.504,5.507,,,,,,,,5.0,,,,5.0,15.226,15.969,16.679,5.0,0.512,1.203,1.238,2.303,1.03,1.098,,,,,
total-long-term-assets,711.2,718.6,690.4,610.7,608.5,603.9999,125.7,133.7,168.9,166.4,145.4,210.5,222.544,250.757,220.55,333.549,234.863,260.21,233.122,215.919,201.961,173.79,150.009,134.847,,,,80.395,76.214,69.744,65.493,59.292,37.67,38.46,35.818,36.874,28.722,26.006,,,,,
total-assets,901.3,913.3,907.8,807.5,767.6,753.1,344.8,336.0,354.4,341.8,350.8,415.1,450.275,492.931,525.759,460.289,490.926,464.135,446.968,446.373,488.581,462.995,508.226,509.991,0.0,0.0,0.0,557.377,428.99,422.597,408.415,476.28,347.505,313.191,271.001,262.619,218.276,196.503,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,203.1,216.1,233.0,196.2,149.9,137.5,98.3,89.9,73.2,59.4,62.5,135.1,234.062,326.15,355.436,232.627,382.719,261.578,258.652,263.149,298.348,329.602,406.395,392.804,,,,707.729,157.732,147.706,139.642,512.637,135.062,117.487,108.297,115.988,97.422,85.063,,,,,
long-term-debt,433.4,467.7,449.4,356.0,374.1,374.1,,,0.3,0.5,1.0,1.0,0.75,24.667,22.835,432.477,323.293,381.925,350.465,317.065,311.158,267.917,225.693,195.392,,,,77.443,,,,58.412,,,,,,,,,,,
