,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-10-31,2006-09-30,2006-07-31,2006-06-30,2006-04-30,2006-03-31,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,3.426,2.69,2.66,3.094,3.253,3.015,3.049,2.343,1.314,3.087,6.973,4.631,3.249,4.273,3.725,4.815,2.604,36.332,1.778,1.561,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,1.427,,,,,,,,,,,
total-current-assets,239.719,234.474,216.131,208.69,227.016,206.131,230.202,235.351,201.556,207.651,208.44,217.914,237.681,222.581,237.941,229.369,256.303,243.389,194.32,192.02,197.249,188.316,182.866,176.344,158.224,162.27,164.375,155.9,149.268,152.848,155.664,152.327,138.593,132.423,121.225,111.025,135.538,127.895,99.635,107.909,103.144,105.111,107.77,109.865,118.595,112.029,116.468,97.681,108.791,90.725,92.132,89.835,,,28.869,,25.302,,24.82,24.596,22.481,22.1,21.278
net-property-plant-equipment,352.31,352.624,343.964,345.729,285.787,286.484,285.572,244.567,245.919,253.179,257.458,247.725,249.397,250.426,254.949,256.722,232.477,225.867,222.171,223.127,225.597,225.451,226.209,218.547,217.383,219.679,217.443,216.56,208.04,219.044,220.206,215.527,191.431,197.769,195.633,194.23,190.031,187.924,178.217,182.571,182.945,184.643,189.956,193.104,201.514,203.512,194.599,164.097,160.186,155.928,158.155,158.542,,,62.836,,63.687,,64.886,68.107,71.037,74.262,75.977
long-term-investments,36.868,38.621,39.712,37.973,42.199,54.077,52.591,52.435,49.158,48.5,46.114,43.509,41.868,39.483,34.119,33.584,32.434,30.502,30.184,32.123,27.474,27.521,28.939,28.949,28.61,28.646,27.959,28.598,26.582,23.119,22.933,22.326,17.275,17.935,17.274,15.444,16.02,16.815,17.507,18.741,17.939,18.677,18.712,17.637,18.595,17.017,16.011,15.036,9.633,9.473,9.957,10.125,,,,,,,,,,,
goodwill-intangible-assets-total,483.48,478.74,465.18,458.686,313.371,315.067,308.437,297.198,294.06,285.97,282.086,282.235,283.97,284.552,285.397,284.661,246.675,242.672,247.16,247.928,248.696,245.661,246.039,246.437,246.898,247.552,249.326,245.545,226.908,217.643,211.792,212.612,208.284,205.821,204.917,200.701,177.58,177.03,164.062,160.815,160.081,160.866,161.4,162.139,162.482,160.072,153.104,143.303,142.437,124.183,120.719,122.091,,,23.099,,23.099,,23.099,23.099,23.099,23.099,23.099
other-long-term-assets,469.43,456.422,427.911,25.392,17.74,18.671,11.455,6.947,6.866,6.298,6.519,5.733,5.428,4.935,4.847,4.565,4.108,3.992,4.098,4.026,3.817,3.595,4.225,3.65,3.738,3.559,3.59,3.749,3.029,3.007,2.97,2.906,3.134,2.887,2.577,2.628,2.478,2.792,3.693,2.406,3.16,3.424,3.748,2.457,4.865,4.952,4.916,4.342,3.758,4.553,5.051,4.751,,,5.219,,9.553,,4.535,3.692,4.097,3.971,3.544
total-long-term-assets,1378.181,1362.202,1309.937,900.64,683.626,706.8531,693.426,633.628,646.363,644.1691,645.542,631.562,605.718,605.76,607.769,607.058,552.572,545.114,548.085,548.66,551.27,550.1299,554.378,546.2321,556.908,564.463,562.759,554.964,475.74,474.761,470.62,466.861,433.641,438.648,435.357,428.489,402.112,401.105,371.038,372.762,373.023,377.177,384.053,386.244,399.032,397.799,381.455,335.939,325.174,302.629,304.144,304.931,,,97.731,,97.677,,93.765,96.637,100.08,103.276,104.37
total-assets,1617.9,1596.676,1526.068,1109.33,910.642,912.984,923.628,868.979,847.919,851.82,853.982,849.476,843.399,828.341,845.71,836.427,808.875,788.503,742.405,740.68,748.519,738.446,737.244,722.576,715.132,726.733,727.134,710.864,625.008,627.609,626.284,619.188,572.234,571.071,556.582,539.514,537.65,529.0,470.673,480.671,476.167,482.288,491.823,496.109,517.627,509.828,497.923,433.62,433.965,393.354,396.276,394.766,0.0,0.0,126.6,0.0,122.979,0.0,118.585,121.233,122.561,125.376,125.648
total-current-liabilities,309.516,293.249,300.586,239.517,203.393,193.972,204.86,191.606,156.747,151.8,158.928,155.341,152.572,150.092,154.506,156.959,136.496,128.335,132.661,133.274,131.521,127.614,121.478,118.389,111.436,120.439,125.205,119.041,117.932,126.442,128.18,122.38,109.425,111.931,110.255,105.264,106.009,96.522,97.733,98.705,92.086,92.582,101.525,107.145,109.459,102.122,91.27,74.501,67.986,52.61,60.651,58.605,,,29.426,,29.649,,30.292,168.026,55.906,55.198,53.023
