,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
cash-on-hand,,,,,,,,,,,
other-current-assets,,,,,,,,,,,0.4
total-current-assets,118.012,127.738,140.981,144.946,151.867,55.224,64.703,,,,22.402
net-property-plant-equipment,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,28.686,14.227,1.186,1.186,1.186,1.856,0.078,,,,0.07
total-long-term-assets,33.426,15.803,13.345,7.241,1.949,4.069,0.448,,,,0.07
total-assets,151.438,143.541,154.326,152.187,153.816,59.293,65.151,0.0,0.0,0.0,22.819
total-current-liabilities,11.982,13.053,9.885,3.808,3.744,4.496,5.164,,,,1.985
long-term-debt,18.815,0.336,6.561,4.972,,,,,,,
other-non-current-liabilities,,,,,,7.092,1.642,,,,0.67
total-long-term-liabilities,18.815,0.336,6.585,5.14,0.036,93.496,88.055,,,,32.349
total-liabilities,30.797,13.389,16.47,8.948,3.78,97.992,93.219,0.0,0.0,0.0,34.334
common-stock-net,0.032,0.032,0.032,0.032,0.032,0.005,0.005,0.0,0.0,0.0,0.005
retained-earnings-accumulated-deficit,-80.32,-69.181,-59.766,-53.11,-45.437,-38.976,-28.932,,,,-9.23
comprehensive-income,-1.43,-1.172,-1.055,-1.38,-1.223,-1.05,-0.238,,,,
other-share-holders-equity,,,,,,,,0.0,0.0,0.0,-2.54
total-share-holder-equity,120.641,130.152,137.856,143.239,150.036,-38.699,-28.068,0.0,0.0,0.0,-11.515
total-liabilities-share-holders-equity,151.438,143.541,154.326,152.187,153.816,59.293,65.151,0.0,0.0,0.0,22.81
