,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,1161.098,1145.366,1102.696,1063.539,1088.243,1065.717,1604.406,1754.349,1657.946,1644.003,1605.361,1520.274,1474.852,1419.719,1400.094,1350.841,1532.8,1407.844,1552.77,1558.491,1534.75,1556.209,1563.902,1564.132,1557.934,1448.849,1579.875,1529.851,1450.217,1361.151,1325.851,1246.767,1142.799,1292.452,1202.658,1145.254,1068.511,985.341,1030.358,927.633,939.81,853.284,728.062,706.393,686.807,739.24,719.074,689.798,672.702,668.799,638.597,590.908,517.949,510.719,432.623,401.206,370.619,360.21,363.497
net-property-plant-equipment,382.97,387.46,382.496,381.505,381.822,386.55,397.981,401.537,400.795,394.241,387.412,375.928,390.797,384.276,386.771,375.224,368.984,387.758,384.16,408.219,419.786,434.277,429.049,414.344,416.745,411.433,444.495,439.575,438.357,434.363,443.09,441.0,432.687,462.107,447.669,441.049,423.94,387.148,405.098,403.208,397.375,377.613,334.746,328.11,329.131,357.057,335.129,337.066,328.079,310.58,292.706,282.283,265.078,245.376,222.918,217.46,205.759,174.168,170.013
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.254,4.496,4.044,4.46,4.615,5.0,,,,,,,,,,,,
goodwill-intangible-assets-total,2353.274,2378.399,2455.586,2243.971,1434.223,1284.128,1309.171,1315.342,1323.323,1326.674,1317.487,1321.726,1352.431,1359.053,572.9,466.418,305.418,311.403,302.339,320.966,323.746,334.51,336.938,336.747,332.118,324.468,327.712,337.582,332.946,311.036,327.233,322.754,331.628,283.398,280.091,269.847,272.312,229.55,251.49,264.58,256.617,248.192,236.153,247.815,252.604,281.418,284.516,268.009,263.9,253.353,251.354,250.311,240.914,244.509,236.651,233.421,230.806,230.477,131.19
other-long-term-assets,222.984,150.979,125.733,138.098,117.024,273.71,176.368,42.05,43.706,42.066,45.73,43.013,41.258,38.161,40.726,38.374,35.487,28.389,28.815,28.146,17.633,17.211,11.668,7.714,5.22,5.918,5.267,3.962,5.596,7.819,12.135,13.552,8.374,12.043,11.742,8.232,7.297,5.316,5.347,5.663,5.87,5.261,2.327,2.351,3.225,7.508,7.282,10.223,10.854,10.104,9.149,8.84,7.067,7.052,6.928,7.962,9.314,9.291,9.602
total-long-term-assets,2993.46,2962.316,2995.83,2796.277,1979.295,1998.206,1929.802,1809.651,1831.671,1824.484,1817.202,1802.296,1847.412,1836.986,1044.516,888.17,721.879,773.93,725.259,768.071,774.703,804.753,800.664,781.456,776.701,761.872,795.0811,800.524,794.442,776.718,802.992,794.7111,792.493,776.47,759.501,738.957,723.719,641.056,683.136,693.617,680.326,654.684,597.6771,600.735,605.89,666.7599,646.708,629.5811,615.141,583.243,553.209,541.434,513.059,502.202,466.497,458.843,445.879,413.936,310.805
total-assets,4154.558,4107.682,4098.526,3859.816,3067.538,3063.923,3534.208,3564.0,3489.617,3468.487,3422.563,3322.57,3322.264,3256.705,2444.61,2239.011,2254.679,2181.774,2278.029,2326.562,2309.453,2360.962,2364.566,2345.588,2334.635,2210.721,2374.956,2330.375,2244.659,2137.869,2128.843,2041.478,1935.292,2068.922,1962.159,1884.211,1792.23,1626.397,1713.494,1621.25,1620.136,1507.968,1325.739,1307.128,1292.697,1406.0,1365.782,1319.379,1287.843,1252.042,1191.806,1132.342,1031.008,1012.921,899.12,860.049,816.498,774.146,674.302
total-current-liabilities,550.457,555.991,462.969,436.443,421.108,511.249,461.46,1356.411,351.585,360.126,336.278,682.395,620.555,637.989,286.508,265.57,257.307,266.463,256.404,259.61,254.296,269.558,246.892,242.811,611.082,574.049,580.421,251.068,253.031,252.852,257.479,228.357,225.714,208.84,191.371,246.592,286.315,312.672,324.98,240.619,292.296,269.1,228.565,223.602,175.948,192.593,142.107,162.653,181.141,202.403,201.043,163.671,121.261,129.435,110.527,256.352,230.302,218.551,86.186
