,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,3.5835,3.9726,4.0016,4.0388,4.6465,4.5198,8.5449,7.6374,14.8646,13.7741,13.4208,12.1411,11.7603,11.0097,9.1639,7.8718,7.4153,6.315,5.196,3.9202,2.9815,2.7841,2.9098,2.7996,2.8142,2.9166,2.8655,2.6496,2.6721,2.7621,2.4102,2.5041,2.2347,2.3577,2.7824,2.9369,2.5346,2.8635,2.5463,3.0884,2.6746,2.8133,2.8158,3.1616,3.1666,2.7125,2.6722,2.5591,2.794,2.8212,2.657,2.6601,,,
other-current-assets,,,,,1.6624,2.4717,1.6074,,2.0321,1.9073,1.3392,2.0346,2.2646,0.9432,0.9318,1.0269,1.6012,0.9262,0.8135,0.5872,0.6885,0.5891,0.6024,0.6237,0.6874,0.8148,1.0862,1.3561,1.7612,1.8934,1.6644,1.6436,1.3731,1.9549,0.6784,1.0206,0.8441,0.4512,0.4476,0.3299,0.5206,0.4089,0.4849,0.4408,0.5354,0.4587,0.3569,0.3026,0.3177,0.294,0.3279,0.2615,,,
total-current-assets,40.5646,48.2623,40.1895,46.8252,32.0931,35.5311,44.2458,48.8283,61.1879,63.8043,74.7502,78.5092,79.7838,83.9772,85.7622,84.6263,87.9038,88.4408,94.0055,94.7072,19.8939,21.697,22.3423,31.9178,38.9417,49.2599,14.1883,13.1494,20.0044,29.3974,33.8406,25.8965,28.1019,30.2663,28.1359,32.6664,31.6725,32.1125,30.5993,29.9489,11.0493,11.3027,11.5234,14.4287,16.5403,17.2592,17.8153,18.6459,8.0302,7.7991,7.5297,9.0588,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,0.9207,0.9207,0.9207,0.9207,0.9207,0.9207,0.9247,0.9207,0.9249,0.925,0.925,0.9251,0.9633,1.0031,1.0447,1.0864,1.1282,1.1699,1.2117,1.2534,1.2952,1.3369,1.3787,1.4205,1.4622,1.504,1.5457,1.5875,1.6292,1.671,1.7128,1.7545,1.7604,1.0734,1.0804,1.0874,1.1114,1.1193,1.1272,1.1351,1.1507,1.1562,1.1561,1.1614,1.1691,1.1768,1.1835,1.1912,1.3497,1.3551,1.3669,1.3786,,,
other-long-term-assets,3.5677,3.8847,3.5611,0.5365,0.5366,0.4942,0.4907,0.4948,0.4907,0.4907,0.524,0.5012,0.6012,0.6007,0.6007,0.4628,0.5422,0.5422,0.5422,0.5422,1.0678,1.1979,1.3114,1.3749,1.4922,1.5235,0.4422,0.4297,0.6468,0.9882,1.7364,1.9981,2.2692,0.1639,2.8319,0.1636,0.1636,0.1637,0.1648,0.1636,0.1478,0.1478,0.1234,0.1209,0.1169,0.1486,0.1486,0.1257,0.1257,0.1257,0.1257,0.1276,,,
total-long-term-assets,7.5226,8.8139,8.5555,5.7326,5.9909,5.887,7.7109,9.9513,4.6185,5.6713,5.7066,4.6444,3.0706,3.1657,3.3355,3.1958,3.0122,3.0856,3.1552,3.2926,3.9783,4.1848,4.4513,4.4444,4.6597,4.7679,3.7799,3.8757,4.2166,4.6936,5.582,6.0431,6.4886,3.8356,6.7539,4.3005,4.5479,4.7144,4.8811,4.9303,4.7901,4.6302,4.5433,4.5313,4.6185,4.5049,4.2845,4.1572,4.3169,4.4044,4.3815,4.094,,,
total-assets,48.0872,57.0762,48.7451,52.5578,38.084,41.418,51.9567,58.7796,65.8064,69.4756,80.4568,83.1536,82.8545,87.1429,89.0977,87.8221,90.916,91.5264,97.1607,97.9997,23.8722,25.8818,26.7936,36.3621,43.6014,54.0278,17.9682,17.0251,24.221,34.091,39.4226,31.9396,34.5905,34.1019,34.8898,36.9669,36.2203,36.8269,35.4803,34.8792,15.8394,15.9329,16.0667,18.96,21.1588,21.7641,22.0998,22.8031,12.3471,12.2035,11.9112,13.1528,0.0,0.0,0.0
total-current-liabilities,12.3943,14.8346,15.7297,13.2045,12.6853,11.2319,8.4389,9.1432,7.6199,7.6672,10.3912,10.1456,7.3132,9.1789,8.0089,8.0915,8.4737,7.0324,10.3397,9.8044,17.2802,15.3149,14.0962,17.8497,18.0717,16.7891,28.4738,26.987,23.0494,17.4185,13.8357,13.6924,9.6247,6.3727,5.7259,6.4202,4.8696,5.9309,5.6299,5.537,7.0156,6.3413,5.423,7.0978,6.7483,5.109,4.8375,4.6373,5.9022,5.6211,4.8898,4.4527,,,
