,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
cash-on-hand,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,0.62
total-current-assets,170.877,203.501,230.169,258.689,276.538,290.771,138.414,150.671,32.036,,,,,35.49
net-property-plant-equipment,,,,,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,2.499,3.486,3.576,0.401,0.251,0.25,0.25,0.225,0.225,,,,,0.28
total-long-term-assets,6.656,7.387,6.333,1.521,1.19,0.978,1.029,1.065,2.768,,,,,1.77
total-assets,177.533,210.888,236.502,260.21,277.728,291.749,139.443,151.736,34.804,0.0,0.0,0.0,0.0,37.27
total-current-liabilities,25.207,26.09,12.567,13.582,7.803,7.247,5.579,6.72,5.46,,,,,5.27
long-term-debt,3.211,3.331,3.446,,,,,,,,,,,
other-non-current-liabilities,,,,0.372,0.288,0.185,0.206,0.228,0.25,,,,,
total-long-term-liabilities,3.211,3.331,3.446,0.372,0.288,0.185,0.206,0.228,0.25,,,,,
total-liabilities,28.418,29.421,16.013,13.954,8.091,7.432,5.785,6.948,5.71,0.0,0.0,,0.0,5.27
common-stock-net,0.035,0.034,0.034,0.034,0.034,0.034,0.027,0.027,0.002,0.0,0.0,,0.0,0.01
retained-earnings-accumulated-deficit,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,149.115,181.467,220.489,246.256,269.637,284.317,133.658,144.788,29.094,0.0,0.0,,0.0,32.0
total-liabilities-share-holders-equity,177.533,210.888,236.502,260.21,277.728,291.749,139.443,151.736,34.804,0.0,0.0,,0.0,37.27
