,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,1196.359,671.941,679.792,653.595,716.948,705.821,634.536,577.061,620.572,616.009,656.231,734.648,744.304,750.582,736.143,771.059,852.77,354.122,396.916,407.986,429.188,423.015,429.35,437.256,434.98,431.375,430.939,440.86,389.578,395.092,387.358,399.581,386.911,427.685,455.119,304.116,322.668,333.153,342.021,348.579,273.886,150.392,147.514,110.716,119.943,129.986,177.743,119.351,100.135,101.584,114.311,85.429,89.407,100.251,38.006,44.146,43.588,46.318,45.913
net-property-plant-equipment,144.743,130.9,114.604,103.82,100.966,100.726,103.489,103.756,82.769,85.17,67.98,62.87,54.715,51.052,49.882,49.598,44.679,43.637,44.922,46.129,43.958,41.256,41.047,40.787,37.229,29.684,29.469,24.752,20.348,19.339,19.406,19.652,14.638,12.125,11.739,12.311,12.834,12.893,12.562,12.325,12.465,12.644,12.144,10.996,11.013,10.674,10.368,10.294,8.241,7.984,8.087,7.794,7.864,8.018,8.094,8.532,8.915,8.911,9.306
long-term-investments,,,,49.194,22.635,9.857,,,19.967,20.572,29.98,29.988,40.094,50.541,82.191,63.06,,,,,,,,,,,,,,,,,12.791,13.144,13.256,13.031,12.736,11.928,12.852,26.925,39.539,49.309,60.806,65.529,82.568,84.348,48.638,18.223,32.301,38.713,31.692,3.986,9.99,7.471,34.817,37.341,45.954,51.327,56.755
goodwill-intangible-assets-total,274.671,274.671,274.671,274.671,251.017,251.017,251.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,481.764,490.053,523.537,422.049,476.279,513.496,484.585,197.132,129.775,35.72,29.857,10.89,10.799,11.111,11.17,11.378,9.891,10.056,4.635,4.85,5.102,5.344,5.675,5.855,5.421,5.532,5.62,5.81,5.404,5.598,5.791,5.983,6.15,0.681,0.479,0.478,0.478,0.478,0.475,0.504,0.531,0.476,0.476,0.476,0.476,0.667,0.665,0.662,0.668,0.486,0.492,0.486,,,,,,,
total-long-term-assets,901.178,895.624,912.812,849.734,850.897,875.0959,839.0909,300.888,232.511,141.462,127.817,103.748,105.608,112.704,143.243,124.036,54.57,53.693,49.557,50.979,49.06,46.6,46.722,46.642,42.65,35.216,35.089,30.562,25.752,24.937,25.197,25.635,33.579,25.95,25.474,25.82,26.048,25.299,25.889,39.754,52.535,62.429,73.426,77.001,94.057,95.689,59.671,29.179,41.21,47.183,40.271,12.266,17.854,15.489,42.911,45.873,54.869,60.238,66.061
total-assets,2097.537,1567.565,1592.604,1503.329,1567.845,1580.917,1473.627,877.949,853.083,757.471,784.048,838.396,849.912,863.286,879.386,895.095,907.34,407.815,446.473,458.965,478.248,469.615,476.072,483.898,477.63,466.591,466.028,471.422,415.33,420.029,412.555,425.216,420.49,453.635,480.593,329.936,348.716,358.452,367.91,388.333,326.421,212.821,220.94,187.717,214.0,225.675,237.414,148.53,141.345,148.767,154.582,97.695,107.261,115.74,80.917,90.019,98.457,106.556,111.974
total-current-liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
