,2019-08-31,2019-05-31,2019-02-28,2018-11-30,2018-08-31,2018-05-31,2018-02-28,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31,2014-02-28,2013-11-30,2013-08-31,2013-05-31,2013-02-28,2012-11-30,2012-08-31,2012-05-31,2012-02-29,2011-11-30,2011-08-31,2011-05-31,2011-02-28,2010-11-30,2010-08-31,2010-05-31,2010-02-28,2009-11-30,2009-08-31,2009-05-31,2009-02-28,2008-11-30,2008-08-31,2008-05-31,2008-02-29,2007-11-30,2007-08-31,2007-05-31,2007-02-28,2006-11-30,2006-08-31,2006-05-31,2006-02-28,2005-11-30,2005-08-31,2005-05-31,2005-02-28
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.5,0.52,0.55,0.4,0.33,0.37,0.32,0.37,0.39,0.33,0.34,0.26,0.28,,0.23,0.26,0.27,0.23,0.23,0.23,0.24,0.31,0.28,0.3,0.25
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.74,0.67,0.72,1.01,0.44,0.57,0.49,0.38,0.53,0.46,0.51,0.28,0.37,,0.31,0.23,0.25,0.43,0.38,0.13,0.08,0.14,0.14,0.25,0.1
total-current-assets,21.1651,21.258,18.9045,17.401,17.8239,17.3269,15.3348,13.9865,12.6679,14.9349,13.9894,13.6119,12.7002,13.5888,12.5145,12.3644,11.5328,11.8233,10.7319,10.6864,11.5334,12.3853,13.2937,13.1362,12.9718,13.442,12.7591,13.7842,14.6703,15.7774,16.1588,14.5862,13.2748,13.77,12.4,11.77,12.39,12.33,11.44,10.75,10.26,10.78,10.63,9.34,8.85,9.39,8.12,,7.19,6.49,5.32,3.98,3.89,3.04,2.38,2.2,3.27,3.29,2.87
net-property-plant-equipment,0.3411,0.3118,0.303,0.3024,0.3352,0.2791,0.2887,0.3056,0.2911,0.2576,0.2806,0.272,0.2564,0.2974,0.317,0.3645,0.4135,0.4206,0.4603,0.5184,0.0952,0.1036,0.1125,0.1159,0.118,0.0953,0.0941,0.0984,0.1074,0.1091,0.1131,0.1205,0.043,7.55,7.19,6.93,6.73,6.52,6.29,6.03,5.84,5.65,5.52,5.4,,5.62,4.88,,4.47,4.84,4.7,,,,,,,,
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.75,,,,,,,,,,,,,,
goodwill-intangible-assets-total,18.6935,19.0151,19.3368,19.6585,19.9301,20.2505,20.571,20.8914,21.2118,10.2443,10.433,10.6218,10.8105,10.9993,11.188,11.3768,11.5655,11.7543,11.943,12.1318,5.8813,6.0331,0.06,0.0619,0.0638,0.0656,0.0675,0.0694,0.0713,0.0731,0.0752,0.0009,0.0019,0.003,0.005,0.007,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.12,0.0,0.0,0.0
other-long-term-assets,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0341,0.0341,0.0341,0.0341,0.0341,0.0341,0.0341,0.0341,0.0341,0.0341,0.0341,0.0341,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,,0.01,0.01,0.01,0.05,0.04,0.3,0.36,0.3,0.01,0.01,0.01
total-long-term-assets,24.0316,24.2437,24.4566,24.5472,25.4552,25.5533,25.7309,25.7636,25.8446,14.613,14.7713,14.8916,15.1141,15.2091,15.3881,15.5937,15.8114,16.0891,16.3307,16.4212,9.4475,9.5138,3.4319,3.2688,3.0914,2.9607,2.8826,2.7456,2.6766,2.6348,2.5789,2.3735,2.5925,7.563,7.205,6.947,6.75,6.54,6.31,6.05,5.87,5.68,5.56,6.19,0.8,5.68,4.94,,4.54,5.4,5.49,1.03,1.13,1.54,1.72,1.71,1.26,1.17,1.4
total-assets,45.1967,45.5017,43.3611,41.9482,43.279,42.8801,41.0657,39.7501,38.5125,29.5479,28.7607,28.5035,27.8143,28.7979,27.9026,27.9581,27.3442,27.9125,27.0626,27.1076,20.9808,21.8991,16.7255,16.405,16.0632,16.4026,15.6417,16.5298,17.3469,18.4122,18.7377,16.9597,15.8673,16.33,14.78,14.06,14.66,14.56,13.61,12.82,12.3,12.77,12.63,12.1,11.55,11.35,9.99,0.0,8.89,8.61,7.65,6.53,6.51,6.03,5.54,5.31,5.56,5.26,5.04
total-current-liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,,1.7434,1.6607,1.6225,3.3343,3.3728,2.9046,2.6264,5.7382,,,,,,1.0,1.0033,1.0083,2.8676,3.6226,3.6276,1.7781,1.7831,0.0381,0.043,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-long-term-liabilities,2.7316,4.459,4.4752,4.5449,6.5294,6.5625,6.1089,7.4178,10.6652,3.0555,2.7556,2.9051,2.9562,3.2644,4.0541,4.1268,4.1987,6.3785,6.9117,6.858,4.154,4.3125,1.3497,1.2635,1.1944,0.9109,0.877,0.8194,0.7889,0.8733,0.739,0.7717,0.6896,0.78,0.67,0.48,0.41,0.43,0.85,0.79,0.79,0.78,0.79,0.77,0.74,0.72,0.08,,0.22,0.06,0.06,0.06,,,,0.006,0.009,0.01,0.01
total-liabilities,7.5151,9.5333,9.608,9.6253,11.3564,11.7713,11.6311,13.0718,12.7076,4.3224,4.8961,5.1488,5.0817,7.2923,7.5913,8.0236,7.812,8.0955,8.38,8.6424,5.5455,5.9338,2.2939,2.0546,1.8207,1.9413,1.7209,1.5585,2.2043,2.8085,3.3124,1.8719,1.8307,2.52,2.13,1.58,1.61,1.77,2.15,2.01,1.73,1.83,2.17,1.79,1.63,1.66,1.09,,1.23,0.93,1.04,0.77,0.84,0.63,0.54,0.64,0.69,0.51,0.48
