,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
cash-on-hand,,,,,,,,,,,
other-current-assets,3.157,3.247,2.362,2.296,2.201,1.856,,,,,0.46
total-current-assets,179.239,188.378,162.028,177.941,106.187,116.917,,,,,28.496
net-property-plant-equipment,4.311,3.471,3.644,3.19,2.626,1.856,,,,,3.31
long-term-investments,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,4.992,5.062,5.31,0.205,0.205,0.205,,,,,0.36
total-long-term-assets,9.303,8.533,8.954,3.395,2.831,2.061,,,,,5.16
total-assets,188.542,196.911,170.982,181.336,109.018,118.978,0.0,0.0,0.0,0.0,32.782
total-current-liabilities,32.522,32.049,34.075,31.123,5.761,6.685,,,,,3.006
long-term-debt,4.484,4.655,4.93,,0.028,,,,,,1.023
other-non-current-liabilities,0.013,0.017,0.02,0.895,0.886,0.681,,,,,0.72
total-long-term-liabilities,34.23,35.907,39.384,43.59,0.914,0.681,,,,,1.743
total-liabilities,66.752,67.956,73.459,74.713,6.675,7.366,0.0,,0.0,0.0,4.752
common-stock-net,0.03,0.029,0.026,0.026,0.025,0.025,0.0,,0.0,0.0,1.47
retained-earnings-accumulated-deficit,-146.275,-130.128,-117.603,-106.848,-91.886,-81.124,,,,,-32.53
comprehensive-income,0.026,0.058,0.016,-0.008,0.0,,,,,,
other-share-holders-equity,,,,,,,0.0,,0.0,0.0,-0.02
total-share-holder-equity,121.79,128.955,97.523,106.623,102.343,111.612,0.0,,0.0,0.0,28.03
total-liabilities-share-holders-equity,188.542,196.911,170.982,181.336,109.018,118.978,0.0,,0.0,0.0,32.78
