,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
cash-on-hand,,,,,,,,,,,
inventory,2.924,2.552,2.41,2.432,2.614,2.441,,,,,1.696
other-current-assets,,,,,,,,,,,0.6
total-current-assets,95.906,101.297,106.043,114.473,116.739,26.001,,,,,22.92
net-property-plant-equipment,1.007,1.105,1.21,1.378,1.343,1.493,,,,,3.292
long-term-investments,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,7.427,6.624,5.959,1.171,0.897,0.851,,,,,0.25
total-long-term-assets,9.575,8.129,7.394,2.549,2.24,2.344,,,,,3.542
total-assets,105.481,109.426,113.437,117.022,118.979,28.345,0.0,0.0,0.0,0.0,24.798
total-current-liabilities,22.002,16.607,11.861,13.559,15.298,14.845,,,,,13.338
long-term-debt,,,,,,,,,,,
total-long-term-liabilities,29.149,33.0,36.155,32.421,27.333,31.635,,,,,16.266
total-liabilities,51.151,49.607,48.016,45.98,42.631,46.48,0.0,,0.0,0.0,29.611
common-stock-net,0.186,0.184,0.182,0.177,0.176,0.003,0.0,,0.0,0.0,0.002
retained-earnings-accumulated-deficit,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,54.33,59.819,65.421,71.042,76.348,-18.135,0.0,,0.0,0.0,-4.813
total-liabilities-share-holders-equity,105.481,109.426,113.437,117.022,118.979,28.345,0.0,,0.0,0.0,24.79
