,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
cash-on-hand,,,,,,,
inventory,,,,,,,
total-current-assets,131.075,140.623,151.525,48.736,,,
net-property-plant-equipment,,,,,,0.0,0.0
other-long-term-assets,2.703,2.94,3.211,2.066,,,
total-long-term-assets,6.814,6.184,6.014,4.685,,,
total-assets,137.889,146.807,157.539,53.421,0.0,0.0,0.0
total-current-liabilities,19.391,15.4,14.616,9.371,,,
long-term-debt,10.248,11.994,13.737,13.383,,,
other-non-current-liabilities,,,,0.136,,,
total-long-term-liabilities,10.248,11.994,13.737,13.832,,,
total-liabilities,29.639,27.394,28.353,23.203,,0.0,0.0
common-stock-net,0.028,0.028,0.028,0.002,,0.0,0.0
retained-earnings-accumulated-deficit,-163.229,-150.272,-139.664,-126.865,,,
comprehensive-income,,,,,,0.0,0.0
total-share-holder-equity,108.25,119.413,129.186,30.218,,0.0,0.0
total-liabilities-share-holders-equity,137.889,146.807,157.539,53.421,,0.0,0.0
