,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,0.15
total-current-assets,111.02,124.368,77.763,101.734,115.544,126.951,123.37,73.159,83.167,93.19,72.505,85.508,94.881,52.153,,,,,60.54
net-property-plant-equipment,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,21.664,22.016,6.768,1.171,1.182,1.153,1.165,1.391,1.383,1.333,0.972,0.965,0.926,4.02,,,,,0.07
total-long-term-assets,32.811,27.459,10.665,5.032,5.09,4.428,4.73,5.329,5.51,5.841,5.518,5.815,5.529,8.793,,,,,0.07
total-assets,143.831,151.827,88.428,106.766,120.634,131.379,128.1,78.488,88.677,99.031,78.023,91.323,100.41,60.946,0.0,0.0,0.0,0.0,61.49
total-current-liabilities,22.57,15.332,14.979,19.529,21.297,17.679,21.337,12.413,9.239,7.016,6.865,9.567,8.348,6.149,,,,,1.25
long-term-debt,19.073,16.955,1.531,0.022,0.024,0.027,0.005,0.006,0.007,0.008,0.009,0.053,0.096,0.138,,,,,
other-non-current-liabilities,,,,,,,,,,,,,,0.002,,,,,0.001
total-long-term-liabilities,26.687,24.58,9.431,8.651,4.5,4.988,2.264,0.751,0.846,0.934,1.022,1.154,1.281,1.403,,,,,0.001
total-liabilities,49.257,39.912,24.41,28.18,25.797,22.667,23.601,13.164,10.085,7.95,7.887,10.721,9.629,7.552,0.0,,0.0,0.0,1.25
common-stock-net,0.043,0.043,0.034,0.034,0.034,0.034,0.032,0.026,0.026,0.026,0.023,0.023,0.023,0.003,0.0,,0.0,0.0,0.001
retained-earnings-accumulated-deficit,-273.254,-253.461,-234.006,-217.545,-199.513,-183.776,-169.729,-155.266,-139.964,-126.139,-112.771,-101.256,-90.291,-76.122,,,,,-23.69
comprehensive-income,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,94.574,111.915,64.018,78.586,94.837,108.712,104.499,65.324,78.592,91.081,70.136,80.602,90.781,53.394,0.0,,0.0,0.0,60.24
total-liabilities-share-holders-equity,143.831,151.827,88.428,106.766,120.634,131.379,128.1,78.488,88.677,99.031,78.023,91.323,100.41,60.946,0.0,,0.0,0.0,61.49
