,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30
cash-on-hand,,,,,,,,,,
total-current-assets,217.761,153.884,128.857,149.602,166.319,24.287,,,,
net-property-plant-equipment,,,,,,,,,,
goodwill-intangible-assets-total,108.054,126.989,127.339,127.804,128.201,21.359,0.0,,0.0,0.0
other-long-term-assets,13.019,10.65,10.769,,,106.842,,,,
total-long-term-assets,131.753,148.665,148.879,138.049,138.269,142.045,,,,
total-assets,349.514,302.549,277.736,287.651,304.588,166.332,0.0,0.0,0.0,0.0
total-current-liabilities,25.266,20.057,16.763,14.287,9.959,14.364,,,,
long-term-debt,,,,,,,,,,
total-long-term-liabilities,142.675,166.795,165.865,148.069,165.212,96.842,,,,
total-liabilities,167.941,186.852,182.628,162.356,175.171,111.206,0.0,,0.0,0.0
common-stock-net,0.06,0.051,0.045,0.045,0.045,0.01,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,-328.46,-307.233,-279.401,-246.203,-240.166,-197.52,,,,
comprehensive-income,,,,,,,0.0,,0.0,0.0
total-share-holder-equity,181.573,115.697,95.108,125.295,129.417,55.126,0.0,,0.0,0.0
total-liabilities-share-holders-equity,349.514,302.549,277.736,287.651,304.588,166.332,0.0,,0.0,0.0
