,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,17.923,17.906,17.217,16.83,15.258,12.126,13.215,12.22,12.48,9.81,9.406,10.005,12.141,12.553,12.337,12.546,15.129,14.756,11.014,10.406,,,,7.51,
other-current-assets,16.661,20.019,,5.422,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,355.652,426.038,467.233,532.823,332.606,386.693,446.818,378.749,367.133,384.882,421.504,528.503,274.035,303.125,238.752,237.472,238.239,260.226,275.556,275.37,306.711,382.733,15.6,14.106,,,,10.83,
net-property-plant-equipment,12.189,12.662,12.899,13.176,12.415,10.677,10.329,10.157,8.618,8.679,8.251,8.46,8.832,8.811,10.119,9.873,9.513,9.609,9.305,9.663,9.356,9.624,9.734,10.238,,,,58.57,
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,52.557,53.747,51.133,2.367,5.726,5.742,5.962,10.907,11.009,5.88,2.399,2.726,6.653,2.236,1.656,1.911,1.754,1.85,1.519,1.339,,,0.833,0.833,,,,,
total-long-term-assets,89.685,66.409,64.032,27.412,38.358,34.671,33.29,62.651,119.026,159.004,166.535,110.751,82.254,71.363,54.373,62.644,19.267,29.253,49.345,62.401,74.994,47.855,10.567,11.071,,,,58.57,
total-assets,445.337,492.447,531.265,560.235,370.964,421.364,480.108,441.4,486.159,543.886,588.039,639.254,356.289,374.488,293.125,300.116,257.506,289.479,324.901,337.771,381.705,430.588,26.167,25.177,0.0,0.0,0.0,20.96,0.0
total-current-liabilities,108.823,110.136,113.542,98.554,102.029,93.48,105.179,62.552,48.786,57.103,48.984,49.268,45.41,44.657,46.401,49.47,27.43,24.477,28.852,41.256,35.828,40.111,38.544,36.853,,,,22.67,
long-term-debt,496.25,491.634,494.981,454.353,224.55,224.282,224.014,223.746,223.478,223.21,222.942,222.676,,,,,,,,,,,,,,,,,
other-non-current-liabilities,8.9,14.457,14.261,24.762,28.323,28.325,36.085,34.82,26.49,18.996,18.493,13.113,8.847,3.878,3.738,2.983,2.785,2.433,1.89,1.578,0.986,,,0.585,,,,,
total-long-term-liabilities,519.319,519.535,530.975,513.27,282.38,293.497,311.522,263.67,253.256,245.656,245.109,239.755,13.006,8.247,8.187,7.581,7.531,7.328,6.934,6.728,6.056,5.718,5.539,5.359,,,,,
total-liabilities,628.142,629.671,644.517,611.824,384.409,386.977,416.701,326.222,302.042,302.759,294.093,289.023,58.416,52.904,54.588,57.051,34.961,31.805,35.786,47.984,41.884,45.829,44.083,42.212,0.0,0.0,0.0,27.95,0.0
common-stock-net,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-1182.994,-1124.563,-1084.725,-1012.145,-961.959,-902.526,-861.708,-797.74,-710.818,-643.941,-577.654,-512.225,-444.892,-410.931,-363.706,-321.556,-276.73,-229.415,-181.811,-139.337,-75.027,-20.532,-17.916,-17.035,,,,-6.99,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
total-share-holder-equity,-182.805,-137.224,-113.252,-51.589,-13.445,34.387,63.407,115.178,184.117,241.127,293.946,350.231,297.873,321.584,238.537,243.065,222.545,257.674,289.115,289.787,339.821,384.759,-17.916,-17.035,0.0,0.0,0.0,-6.99,0.0
total-liabilities-share-holders-equity,445.337,492.447,531.265,560.235,370.964,421.364,480.108,441.4,486.159,543.886,588.039,639.254,356.289,374.488,293.125,300.116,257.506,289.479,324.901,337.771,381.705,430.588,26.167,25.177,0.0,0.0,0.0,0.0,0.0
