,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
cash-on-hand,,,,,,,,,,,
other-current-assets,,,,,,,,,,,0.75
total-current-assets,327.088,398.5,221.986,244.347,262.619,56.856,,,,,27.203
net-property-plant-equipment,2.053,1.892,1.209,1.215,1.324,1.303,,,,,1.449
long-term-investments,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,9.694,1.843,2.052,,,,,,,,
total-long-term-assets,53.089,15.232,3.978,3.502,1.324,7.771,,,,,1.449
total-assets,380.177,413.732,225.964,247.849,263.943,64.627,0.0,0.0,0.0,0.0,27.684
total-current-liabilities,21.136,28.015,26.746,14.804,20.718,25.57,,,,,8.24
long-term-debt,46.93,38.457,38.163,38.071,23.714,23.317,,,,,
other-non-current-liabilities,0.488,0.416,0.446,0.449,0.44,0.483,,,,,0.18
total-long-term-liabilities,47.418,38.873,38.609,38.52,24.154,23.8,,,,,0.18
total-liabilities,68.554,66.888,65.355,53.324,44.872,49.37,0.0,,0.0,0.0,8.429
common-stock-net,0.05,0.049,0.043,0.042,0.042,0.002,0.0,,0.0,0.0,0.002
retained-earnings-accumulated-deficit,-310.836,-266.717,-230.091,-192.194,-164.35,-135.252,,,,,-48.096
comprehensive-income,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,311.623,346.844,160.609,194.525,219.071,15.257,0.0,,0.0,0.0,19.255
total-liabilities-share-holders-equity,380.177,413.732,225.964,247.849,263.943,64.627,0.0,,0.0,0.0,27.68
