,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,
inventory,16.882,13.165,11.321,11.189,14.919,16.437,14.656,11.04,9.784,9.631,6.933,6.554,6.248,5.945,5.228,5.781,,,,3.52
other-current-assets,,,,,,,,,,,,,,,,,,,,2.43
total-current-assets,102.728,94.079,85.77,84.961,89.202,81.24,75.169,76.872,71.709,66.787,60.523,64.233,61.152,27.485,25.783,29.36,,,,25.11
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,5.074,5.157,5.244,5.339,3.035,2.984,2.157,2.218,2.251,2.292,2.34,2.394,2.304,2.356,2.419,2.489,0.0,0.0,0.0,2.74
other-long-term-assets,16.609,4.656,4.638,1.257,0.367,0.201,0.2,0.201,0.201,0.201,0.051,0.137,0.05,2.296,1.558,1.337,,,,1.32
total-long-term-assets,41.047,27.757,27.747,22.11,12.533,11.493,11.904,11.575,11.373,11.106,10.325,9.702,5.784,8.267,7.485,7.613,,,,5.06
total-assets,143.775,121.836,113.517,107.071,101.735,92.733,87.073,88.447,83.082,77.893,70.848,73.935,66.936,35.752,33.268,36.973,0.0,0.0,0.0,31.49
total-current-liabilities,24.128,18.658,17.304,16.076,16.757,12.527,12.739,14.519,13.966,11.09,11.114,13.793,10.707,7.927,6.574,9.502,,,,6.19
long-term-debt,13.399,2.073,2.318,,,,,,,,,,,,,,,,,0.004
other-non-current-liabilities,2.281,2.097,1.896,1.725,1.56,1.437,1.172,1.141,0.643,0.61,0.563,0.503,,,,,,,,
total-long-term-liabilities,15.68,4.17,4.214,1.725,1.56,1.437,1.172,1.141,0.643,0.61,0.563,0.503,0.15,0.193,0.193,0.193,,,,0.644
total-liabilities,39.808,22.828,21.518,17.801,18.317,13.964,13.911,15.66,14.609,11.7,11.677,14.296,10.857,8.12,6.767,9.695,0.0,0.0,0.0,6.83
common-stock-net,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.003,0.003,0.003,0.0,0.0,0.0,0.003
retained-earnings-accumulated-deficit,16.393,13.962,11.177,9.705,7.35,5.604,3.032,3.082,0.852,-0.49,-4.277,-2.773,-5.152,-6.321,-6.943,-5.652,,,,-6.87
comprehensive-income,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,103.967,99.008,91.999,89.27,83.418,78.769,73.162,72.787,68.473,66.193,59.171,59.639,56.079,27.632,26.501,27.278,0.0,0.0,0.0,24.65
total-liabilities-share-holders-equity,143.775,121.836,113.517,107.071,101.735,92.733,87.073,88.447,83.082,77.893,70.848,73.935,66.936,35.752,33.268,36.973,0.0,0.0,0.0,31.49
