,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,0.75
total-current-assets,557.96,532.609,540.789,532.736,523.253,178.859,156.932,156.239,207.356,456.991,194.826,82.717,91.232,127.349,136.173,151.578,163.948,30.059,43.462,54.494,,,,6.82
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,966.485,987.417,972.7729,984.591,1000.896,1009.957,651.77,658.331,663.119,209.423,211.262,213.059,214.522,70.136,70.93,71.607,73.196,72.463,42.396,35.984,0.0,0.0,0.0,20.13
other-long-term-assets,33.963,35.596,28.222,1.401,1.316,1.059,0.827,0.858,0.822,0.308,0.424,0.415,0.39,0.305,0.293,0.293,0.284,0.265,0.285,0.296,,,,0.09
total-long-term-assets,1010.469,1032.735,1010.836,996.14,1011.929,1021.05,660.592,668.152,673.5681,217.155,219.127,220.953,222.036,76.541,77.31,78.159,79.332,76.882,43.899,37.345,,,,21.47
total-assets,1568.429,1565.344,1551.625,1528.876,1535.182,1199.909,817.524,824.391,880.924,674.146,413.953,303.67,313.268,203.89,213.483,229.737,243.28,106.941,87.361,91.839,0.0,0.0,0.0,27.38
total-current-liabilities,85.202,70.421,71.702,62.439,58.193,57.019,37.812,40.33,40.843,19.687,18.138,21.073,20.299,15.995,14.948,17.986,17.307,26.091,17.845,10.319,,,,5.14
long-term-debt,433.76,427.197,420.893,414.683,408.653,402.755,210.432,207.37,371.331,243.835,42.434,42.424,42.469,27.137,24.957,25.227,25.863,31.408,24.902,25.04,,,,3.0
other-non-current-liabilities,33.009,33.376,27.724,6.191,5.601,5.579,6.154,4.882,7.555,9.254,8.104,7.609,6.655,7.441,7.128,6.775,6.517,6.625,2.521,2.767,,,,0.08
total-long-term-liabilities,489.489,492.283,478.365,453.318,449.218,443.509,228.844,225.158,393.302,255.083,52.382,51.727,50.669,35.935,33.432,33.187,33.436,38.972,28.149,28.289,,,,3.18
total-liabilities,574.691,562.704,550.067,515.757,507.411,500.528,266.656,265.488,434.145,274.77,70.52,72.8,70.968,51.93,48.38,51.173,50.743,65.063,45.994,38.608,0.0,0.0,0.0,8.33
common-stock-net,0.072,0.072,0.071,0.07,0.07,0.064,0.062,0.061,0.057,0.055,0.054,0.046,0.046,0.039,0.039,0.038,0.038,2.855,2.854,2.854,0.0,0.0,0.0,2.85
retained-earnings-accumulated-deficit,-488.481,-468.135,-438.811,-408.661,-383.782,-360.517,-335.439,-311.577,-267.194,-235.864,-220.449,-204.726,-190.465,-160.693,-145.814,-130.51,-115.503,-102.257,-85.193,-72.49,,,,-55.45
comprehensive-income,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,993.738,1002.64,1001.558,1013.119,1027.771,699.381,550.868,558.903,446.779,399.376,343.433,230.87,242.3,151.96,165.103,178.564,192.537,41.878,41.367,53.231,0.0,0.0,0.0,19.05
total-liabilities-share-holders-equity,1568.429,1565.344,1551.625,1528.876,1535.182,1199.909,817.524,824.391,880.924,674.146,413.953,303.67,313.268,203.89,213.483,229.737,243.28,106.941,87.361,91.839,0.0,0.0,0.0,27.38
