,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,90.855,91.05,93.839,90.905,90.918,85.648,88.586,68.28,66.532,60.151,63.767,66.089,70.519,57.102,57.066,58.675,58.967,49.577,51.045,52.815,52.195,38.847,38.386,39.992,39.957,34.877,35.675,37.6,38.397,38.277,40.497,40.978,42.116,44.906,13.619,13.736,13.818,13.737,13.451,12.988,12.468,11.269,10.749,9.877,9.699,9.515,10.003,9.409,9.281,8.757,9.574,9.21,8.982,9.024,9.605,9.95,9.982,7.758,8.229
other-current-assets,19.955,18.058,16.877,19.213,13.72,10.668,,,,13.33,,,,7.561,,,,6.24,,,,2.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,391.945,412.607,423.433,379.934,383.112,398.366,393.504,346.086,307.158,348.025,306.042,294.106,310.151,253.891,236.739,258.383,240.997,248.283,294.738,273.53,268.111,469.413,319.531,279.141,280.636,409.516,390.157,359.731,350.143,346.507,306.272,227.216,219.01,230.417,276.726,253.56,233.199,201.04,219.322,300.959,281.884,255.467,222.675,193.123,249.388,258.433,259.361,237.917,231.209,212.838,192.392,167.223,162.483,149.822,143.1,131.17,134.434,134.981,110.274
net-property-plant-equipment,156.783,154.039,145.319,145.262,146.511,145.348,142.779,138.461,136.846,135.124,132.146,131.952,133.805,132.362,133.666,134.043,132.852,129.749,124.485,124.776,122.006,117.12,116.649,115.159,113.362,108.756,105.202,101.133,94.92,93.788,94.614,94.604,94.352,95.398,94.145,95.096,96.322,97.4,97.745,98.91,98.806,100.133,97.428,98.352,100.1,101.722,94.069,94.478,93.385,91.535,89.172,90.045,89.418,88.772,88.203,88.265,88.64,89.036,89.148
long-term-investments,,,,,,,,,,,,,,,,,,,,4.085,13.575,14.021,151.357,162.59,138.477,132.907,135.765,128.569,131.713,145.022,146.651,167.29,168.384,151.621,183.608,178.678,181.748,191.73,175.228,70.418,74.393,83.982,89.383,108.357,124.42,112.133,100.149,120.759,121.76,115.598,110.352,104.264,100.901,94.855,72.821,52.029,56.427,49.967,56.346
goodwill-intangible-assets-total,1293.75,1312.096,1298.75,1314.628,1337.476,1044.222,1054.461,1027.461,1038.804,1031.068,1052.431,1051.273,1069.415,741.406,750.044,739.442,752.713,683.477,683.144,714.906,612.742,260.249,240.764,242.907,244.323,124.888,126.09,132.104,133.009,132.158,134.876,133.919,135.39,138.915,26.601,26.771,26.942,27.112,27.352,27.592,27.832,28.072,28.312,28.552,28.792,29.032,29.314,29.597,29.879,30.167,30.571,31.215,31.618,32.021,32.521,33.013,33.505,14.138,14.443
other-long-term-assets,82.55,5.668,5.116,5.008,5.099,5.266,27.064,43.414,44.572,44.002,42.812,42.694,4.106,1.922,1.474,1.585,1.757,1.851,1.938,1.701,1.826,1.688,2.265,2.368,2.492,2.031,3.076,3.033,2.844,1.849,1.621,1.219,11.3,1.319,1.2,0.44,0.477,0.523,0.569,0.618,0.684,0.75,0.813,0.876,0.936,0.994,0.851,0.797,0.566,0.344,0.242,0.258,0.365,0.404,0.442,0.49,0.565,0.617,0.697
total-long-term-assets,1533.083,1471.803,1449.185,1464.898,1489.086,1194.836,1224.304,1209.336,1220.222,1210.194,1227.389,1225.919,1207.326,875.69,885.184,875.07,887.322,815.077,809.567,845.468,750.149,393.078,511.035,523.024,498.654,368.582,370.133,364.839,362.486,372.817,377.762,397.032,409.426,387.253,306.093,302.048,306.425,317.776,302.57,201.274,205.162,216.538,219.128,240.407,258.28,248.936,228.749,250.296,249.847,242.006,234.781,230.419,226.722,220.69,199.022,178.943,184.051,160.282,167.714
total-assets,1925.028,1884.41,1872.618,1844.832,1872.198,1593.202,1617.808,1555.422,1527.38,1558.219,1533.431,1520.025,1517.478,1129.581,1121.924,1133.453,1128.32,1063.36,1104.305,1118.998,1018.26,862.491,830.566,802.165,779.29,778.098,760.29,724.57,712.629,719.324,684.034,624.248,628.436,617.67,582.819,555.608,539.624,518.816,521.892,502.233,487.046,472.005,441.803,433.53,507.668,507.369,488.11,488.213,481.056,454.844,427.173,397.642,389.205,370.512,342.122,310.113,318.485,295.263,277.988
