,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,311.0,309.0,308.0,305.0,307.0,298.0,294.0,289.0,297.0,316.0,324.0,326.0,322.0,316.0,312.0,309.0,275.0,261.0,268.0,276.0,270.0,264.0,261.0,260.0,154.0,153.0,152.0,153.0,154.0,154.0,157.0,161.0,157.0,156.0,156.0,156.0,152.0,152.0,151.0,153.0,153.0,154.0,158.0,161.0,165.0,170.0,182.0,183.0,181.0,184.0,180.0,184.0,177.0,174.0,194.0,190.0,187.0,193.0,190.0
other-current-assets,1378.0,1393.0,1261.0,1304.0,1174.0,1493.0,1827.0,2052.0,2002.0,1878.0,1170.0,1314.0,1348.0,1284.0,1282.0,1795.0,2388.0,2280.0,1483.0,1095.0,746.0,700.0,839.0,737.0,583.0,600.0,455.0,458.0,502.0,550.0,388.0,380.0,359.0,386.0,425.0,303.0,435.0,290.0,301.0,315.0,361.0,333.0,342.0,600.0,644.0,651.0,284.0,306.0,293.0,281.0,302.0,365.0,397.0,542.0,282.0,233.0,313.0,395.0,352.0
total-current-assets,4789.0,4704.0,4582.0,4636.0,4492.0,4705.0,5634.0,5573.0,5309.0,5382.0,5052.0,5257.0,5116.0,4993.0,5129.0,5171.0,6296.0,6009.0,5124.0,3970.0,4201.0,4208.0,3978.0,3692.0,2560.0,2574.0,2443.0,2681.0,2484.0,2564.0,2482.0,2357.0,2176.0,2314.0,2393.0,2311.0,2444.0,2435.0,2386.0,2472.0,2539.0,2562.0,2631.0,2709.0,2836.0,2778.0,2317.0,2560.0,2593.0,2608.0,2753.0,3025.0,3138.0,3349.0,3078.0,3508.0,4026.0,4130.0,4121.0
net-property-plant-equipment,7001.0,6995.0,6996.0,6993.0,6888.0,6863.0,6906.0,7030.0,7077.0,7738.0,7976.0,8053.0,7965.0,7977.0,7961.0,7915.0,7330.0,7135.0,7528.0,7733.0,7749.0,7771.0,7723.0,7582.0,4354.0,4326.0,4296.0,4293.0,4173.0,4181.0,4324.0,4350.0,4201.0,4238.0,4262.0,4304.0,4239.0,4211.0,4249.0,4313.0,4172.0,4182.0,4236.0,4291.0,4239.0,4274.0,4622.0,4645.0,4403.0,4354.0,4275.0,4299.0,4317.0,4276.0,4601.0,4620.0,4593.0,4849.0,4817.0
long-term-investments,2380.0,2297.0,2331.0,1456.0,1462.0,1416.0,1433.0,1543.0,1253.0,1238.0,1260.0,1250.0,1324.0,1317.0,1142.0,1175.0,1029.0,1017.0,355.0,384.0,366.0,362.0,355.0,357.0,184.0,166.0,163.0,162.0,126.0,120.0,153.0,156.0,159.0,171.0,162.0,164.0,176.0,180.0,185.0,182.0,181.0,198.0,255.0,242.0,282.0,271.0,322.0,288.0,369.0,417.0,390.0,383.0,369.0,365.0,364.0,380.0,302.0,300.0,298.0
goodwill-intangible-assets-total,8935.0,8943.0,8958.0,9012.0,9075.0,9011.0,8828.0,8784.0,8786.0,8963.0,9292.0,9270.0,9229.0,9156.0,8808.0,8645.0,8436.0,8496.0,5352.0,5001.0,4896.0,4441.0,4299.0,4671.0,1843.0,1670.0,1618.0,1566.0,1349.0,1275.0,1244.0,1225.0,1224.0,1169.0,1118.0,1094.0,1040.0,1008.0,995.0,986.0,984.0,986.0,970.0,932.0,937.0,920.0,913.0,900.0,870.0,874.0,857.0,832.0,955.0,947.0,1031.0,1041.0,1046.0,980.0,979.0
other-long-term-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.0,263.0,263.0,263.0,,,
total-long-term-assets,18568.0,18503.0,18576.0,17773.0,17773.0,17638.0,17550.0,17812.0,17899.0,18959.0,19458.0,19444.0,19358.0,19247.0,18637.0,18511.0,16877.0,16737.0,13301.0,13981.0,13111.0,12699.0,12506.0,12758.0,6777.0,6582.0,6472.0,6363.0,5986.0,5921.0,6063.0,6105.0,6117.0,6121.0,6131.0,6189.0,6091.0,5399.0,5429.0,5481.0,5337.0,5366.0,5461.0,5465.0,5458.0,5465.0,5857.0,5833.0,5642.0,5645.0,5522.0,5514.0,5904.0,5851.0,6259.0,6304.0,5941.0,6129.0,6094.0
total-assets,23357.0,23207.0,23158.0,22409.0,22265.0,22343.0,23184.0,23385.0,23208.0,24341.0,24510.0,24701.0,24474.0,24240.0,23766.0,23682.0,23173.0,22746.0,18425.0,17951.0,17312.0,16907.0,16484.0,16450.0,9337.0,9156.0,8915.0,9044.0,8470.0,8485.0,8545.0,8462.0,8293.0,8435.0,8524.0,8500.0,8535.0,7834.0,7815.0,7953.0,7876.0,7928.0,8092.0,8174.0,8294.0,8243.0,8174.0,8393.0,8235.0,8253.0,8275.0,8539.0,9042.0,9200.0,9337.0,9812.0,9967.0,10259.0,10215.0
total-current-liabilities,3928.0,4150.0,3725.0,3857.0,4224.0,4354.0,4561.0,4332.0,4139.0,4337.0,3767.0,4034.0,4547.0,4430.0,4268.0,4308.0,4093.0,3774.0,3734.0,3577.0,3145.0,3384.0,3336.0,3093.0,1769.0,1658.0,1549.0,1763.0,1829.0,1872.0,1840.0,1815.0,1679.0,1662.0,1657.0,1725.0,1696.0,1558.0,1579.0,1783.0,1772.0,1705.0,1835.0,1949.0,1975.0,1973.0,1873.0,2048.0,1873.0,1843.0,1833.0,1925.0,1907.0,1783.0,1809.0,2292.0,1995.0,1989.0,1866.0
