,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
cash-on-hand,,,,,,,,,,,,
inventory,110.487,75.317,48.712,16.211,12.107,6.75,7.537,7.421,,,,4.1
other-current-assets,,,,,,,,,,,,0.07
total-current-assets,330.68,358.631,399.589,554.302,145.937,38.744,53.808,12.403,,,,12.12
net-property-plant-equipment,166.489,147.558,128.963,80.214,75.58,65.707,50.984,39.985,,,,22.87
long-term-investments,42.318,23.195,19.65,16.911,,,,,,,,
goodwill-intangible-assets-total,492.969,486.937,520.424,4.486,1.387,1.395,1.048,0.934,0.0,0.0,0.0,0.82
other-long-term-assets,7.744,7.81,7.97,0.754,0.897,0.632,0.806,0.626,,,,0.19
total-long-term-assets,709.52,665.5,677.007,102.365,77.864,67.734,52.838,41.545,,,,23.88
total-assets,1040.2,1024.131,1076.596,656.667,223.801,106.478,106.646,53.948,0.0,0.0,0.0,33.09
total-current-liabilities,130.202,175.908,170.364,25.937,26.898,62.846,55.625,50.221,,,,21.98
long-term-debt,437.149,434.432,431.529,428.653,8.789,8.398,8.376,8.579,,,,8.57
other-non-current-liabilities,,,0.563,,,,,,,,,
total-long-term-liabilities,494.249,488.056,524.312,433.077,8.789,8.398,8.376,8.579,,,,8.57
total-liabilities,624.451,663.964,694.676,459.014,35.687,71.244,64.001,58.8,0.0,0.0,0.0,30.56
common-stock-net,0.01,0.01,0.01,0.01,,0.008,0.008,,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-209.209,-173.531,-138.478,-108.177,-77.168,-58.468,-45.635,-40.454,,,,-32.64
comprehensive-income,1.694,6.858,4.696,3.763,3.328,3.778,3.865,3.866,,,,
other-share-holders-equity,,,,,,,,,0.0,0.0,0.0,3.58
total-share-holder-equity,415.749,360.167,381.92,197.653,188.114,35.234,42.645,-4.852,0.0,0.0,0.0,2.52
total-liabilities-share-holders-equity,1040.2,1024.131,1076.596,656.667,223.801,106.478,106.646,53.948,0.0,0.0,0.0,33.09
