,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,3308.0,3209.0,3124.0,3005.0,2982.0,2866.0,2891.0,2971.0,3125.5,2422.2,2327.1,2213.0,2390.9,2086.3,2154.9,1991.7,1987.2,1962.3,1898.8,1859.5,1913.7,1933.8,2060.5,1494.5,1546.8,1487.1,1474.6,1443.3,1517.0,1390.7,1422.3,1330.1,1406.1,1350.4,1264.0,1172.9,1207.7,1148.5,1154.6,1131.4,1169.6,1185.1,1161.7,1171.4,1260.4,1264.1,1246.7,1169.9,1206.2,1183.2,1180.5,1164.5,407.472,396.16,381.502,359.392,395.559,399.699,345.605
other-current-assets,1549.0,1597.0,1554.0,1381.0,1229.0,1230.0,1217.0,1236.0,768.3,746.1,684.2,595.0,948.4,872.5,889.0,534.4,728.1,589.4,571.3,559.9,524.9,507.1,797.3,420.9,687.1,659.5,566.7,594.7,566.8,558.3,499.7,549.7,415.1,412.0,382.1,381.0,292.8,247.5,279.0,258.7,227.4,223.5,212.0,246.7,224.3,248.0,239.8,210.4,238.6,233.0,230.0,201.9,78.501,61.072,64.205,59.763,87.062,59.69,61.294
total-current-assets,10514.0,11223.0,9939.0,10625.0,9566.0,9474.0,9588.0,9421.0,8844.0,7452.5,7248.1,7021.0,8204.4,6331.0,6539.0,5741.2,6025.9,6236.6,6180.5,6539.8,5719.9,5944.4,7306.1,9880.7,6210.4,5641.5,5136.1,4834.8,4947.3,4667.0,4769.5,4821.9,4734.6,5004.7,6189.3,4135.0,4171.0,4348.0,4528.6,4530.9,4797.6,4467.0,4519.4,4345.9,4443.0,4299.5,3988.8,3665.3,3908.4,4007.1,3746.2,3659.5,1278.576,1280.222,1377.138,1353.9,1261.826,1237.595,1485.618
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,39935.0,40620.0,39725.0,40325.0,40361.0,40800.0,41755.0,41974.0,42158.5,35421.1,35382.0,35297.0,36102.4,32389.0,32870.3,31585.9,31761.4,32190.6,32355.4,32952.7,33745.1,35060.9,35505.9,19574.6,19743.5,19720.4,20005.0,20279.0,20406.0,19546.3,19823.6,19789.2,20062.4,17023.4,14895.0,14909.4,15472.5,15153.1,15347.3,15319.9,14932.6,15029.1,14893.8,15100.9,15465.9,15668.5,15809.0,15871.0,15646.1,15759.6,15911.2,16036.6,2419.455,2395.832,2376.456,2416.935,2417.264,2437.959,1671.644
other-long-term-assets,1860.0,1733.0,1740.0,1117.0,1173.0,1177.0,1178.0,1227.0,1051.2,1040.4,1020.2,1012.0,1104.6,1081.8,1060.3,1058.4,967.6,940.3,937.2,933.1,819.7,836.1,833.0,640.7,609.9,578.8,583.8,604.4,554.8,545.5,564.3,611.3,565.3,536.2,957.3,944.8,527.5,482.1,436.4,440.8,416.0,387.8,370.6,367.9,422.9,408.5,402.6,403.7,379.3,276.9,258.3,309.4,219.691,216.907,203.954,200.08,178.543,164.3,159.171
total-long-term-assets,46215.0,46747.0,45657.0,45607.0,45512.0,45929.0,46992.0,47248.0,47141.3,39061.2,38965.5,38887.0,39806.3,35922.4,36413.7,35093.1,35121.2,35537.8,35676.8,36312.3,36970.9,38369.0,38827.6,21982.7,22062.1,21988.0,22274.6,22609.8,22630.7,21694.3,22053.2,22011.8,22256.9,19069.1,17241.3,17214.4,17366.0,16932.9,17096.0,17094.1,16620.9,16688.6,16513.7,16744.1,17156.5,17381.5,17509.1,17542.1,17264.0,17265.0,17425.7,17602.7,2919.662,2895.981,2863.516,2897.669,2884.019,2896.779,2068.845
total-assets,56729.0,57970.0,55596.0,56232.0,55078.0,55403.0,56580.0,56669.0,55985.3,46513.7,46213.6,45908.0,48010.7,42253.4,42952.7,40834.3,41147.1,41774.4,41857.3,42852.1,42690.8,44313.4,46133.7,31863.4,28272.5,27629.5,27410.7,27444.6,27578.0,26361.3,26822.7,26833.7,26991.5,24073.8,23430.6,21349.4,21537.0,21280.9,21624.6,21625.0,21418.5,21155.6,21033.1,21090.0,21599.5,21681.0,21497.9,21207.4,21172.4,21272.1,21171.9,21262.2,4198.238,4176.203,4240.654,4251.569,4145.845,4134.374,3554.463
total-current-liabilities,5844.0,7509.0,5898.0,6147.0,5196.0,5980.0,7072.0,7048.0,7031.3,5075.8,5302.9,4866.0,5259.9,5528.2,6322.8,4146.3,5735.1,6100.4,6861.0,5349.8,6222.1,6235.6,5391.5,3126.0,2453.0,2362.9,2302.8,2093.3,2522.5,2703.2,2845.4,3113.1,2792.5,1816.8,4146.0,1709.8,1770.6,1616.0,1775.7,1639.3,1593.8,1523.6,1499.6,1540.2,1840.0,1880.1,1909.2,1901.6,1630.9,1603.0,1796.5,2152.3,722.823,783.954,716.567,791.662,730.916,787.545,548.519
long-term-debt,16392.0,16663.0,16812.0,17719.0,17760.0,17709.0,18122.0,18873.0,21117.6,15255.7,15188.4,15372.0,16940.4,11631.9,11653.0,11420.2,10277.9,10663.7,10696.2,12351.6,11388.6,12502.0,15196.9,9499.6,6717.9,6721.1,6724.4,7031.2,7037.5,5745.9,5751.0,5755.2,6115.3,4008.8,1800.8,2031.3,2060.9,2032.8,1930.3,2065.9,1964.6,2028.2,2024.5,2027.4,2043.0,2044.5,2045.9,2045.9,2181.1,2177.7,2182.4,2180.7,469.886,467.462,469.21,468.63,472.096,472.937,223.727
other-non-current-liabilities,3137.0,3133.0,3048.0,2515.0,2682.0,2670.0,2657.0,2569.0,,1470.2,1463.7,1573.0,1436.8,1347.9,1358.5,1295.0,1252.2,1195.6,1162.4,1171.9,1096.4,1128.9,1129.1,771.8,811.7,796.9,786.4,808.2,718.2,709.7,718.6,698.0,625.4,625.7,623.1,621.2,540.5,534.5,541.0,555.1,586.9,606.2,588.2,601.7,464.2,486.4,501.0,491.7,552.0,514.2,476.5,459.9,147.905,144.313,136.806,132.95,107.544,100.815,91.458
total-long-term-liabilities,21530.0,21732.0,22005.0,22499.0,22992.0,22978.0,23385.0,24208.0,24252.2,19046.3,19115.5,19502.0,21092.2,15461.3,15705.5,15337.8,14561.8,14994.2,15081.5,16954.2,15958.1,17419.2,20311.6,11881.3,9382.2,9463.801,9508.4,9886.601,9765.0,8563.7,8688.3,8682.5,9003.1,6591.3,4029.9,4278.6,4369.8,4319.8,4368.9,4554.8,4425.3,4555.6,4541.0,4623.3,4623.9,4730.9,4802.9,4817.5,5098.6,5137.3,5142.7,5198.1,660.373,655.243,650.0391,666.595,653.717,653.775,329.251
total-liabilities,27374.0,29241.0,27903.0,28646.0,28188.0,28958.0,30457.0,31256.0,31283.5,24122.1,24418.4,24368.0,26352.1,20989.5,22028.3,19484.1,20296.9,21094.6,21942.5,22304.0,22180.2,23654.8,25703.1,15007.3,11835.2,11826.7,11811.2,11979.9,12287.5,11266.9,11533.7,11795.6,11795.6,8408.1,8175.9,5988.4,6140.4,5935.8,6144.6,6194.1,6019.1,6079.2,6040.6,6163.5,6463.9,6611.0,6712.1,6719.1,6729.5,6740.3,6939.2,7350.4,1383.196,1439.197,1366.606,1458.257,1384.633,1441.32,877.77
common-stock-net,434.0,433.0,433.0,432.0,431.0,430.0,429.0,428.0,428.0,416.9,416.4,415.0,415.0,414.0,413.3,411.9,411.4,410.6,410.2,408.5,408.0,407.2,406.8,369.6,419.0,418.1,416.5,413.5,410.6,408.7,408.5,406.4,406.3,405.9,403.4,401.8,426.0,425.8,425.1,423.9,422.8,422.6,422.3,421.8,421.5,445.3,444.5,439.3,437.8,434.2,429.6,424.2,163.361,183.155,182.867,181.817,181.509,180.671,180.433
retained-earnings-accumulated-deficit,21165.0,20482.0,19439.0,18696.0,17866.0,17226.0,16542.0,15914.0,15445.8,14972.3,14419.4,13927.0,13356.5,12942.5,12485.2,12142.3,11599.7,11183.7,10732.1,10406.9,9866.0,9454.6,9236.3,8753.3,8465.7,8202.6,7979.5,7697.3,7374.8,7131.6,6945.6,6716.3,6427.4,6162.0,5638.6,5386.4,5088.9,4820.4,4583.1,4350.8,4077.5,3856.3,3649.4,3500.5,3238.5,3017.0,2767.5,2534.5,2294.7,2076.2,1912.3,1773.4,1748.094,1699.261,1651.381,1604.475,1548.07,1490.336,1430.113
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-share-holder-equity,29355.0,28729.0,27693.0,27586.0,26890.0,26445.0,26123.0,25413.0,24701.8,22391.6,21795.2,21540.0,21658.6,21263.9,20924.4,21350.2,20850.2,20679.8,19914.8,20548.1,20510.6,20658.6,20430.6,16856.1,16437.3,15802.8,15599.5,15464.7,15290.5,15094.4,15289.0,15038.1,15195.9,15665.7,15254.7,15361.0,15396.6,15345.1,15480.0,15430.9,15399.4,15076.4,14992.5,14926.5,15135.6,15070.0,14785.8,14488.3,14442.9,14531.8,14232.7,13911.8,2815.042,2737.006,2874.048,2793.312,2761.212,2693.054,2676.693
total-liabilities-share-holders-equity,56729.0,57970.0,55596.0,56232.0,55078.0,55403.0,56580.0,56669.0,55985.3,46513.7,46213.6,45908.0,48010.7,42253.4,42952.7,40834.3,41147.1,41774.4,41857.3,42852.1,42690.8,44313.4,46133.7,31863.4,28272.5,27629.5,27410.7,27444.6,27578.0,26361.3,26822.7,26833.7,26991.5,24073.8,23430.6,21349.4,21537.0,21280.9,21624.6,21625.0,21418.5,21155.6,21033.1,21090.0,21599.5,21681.0,21497.9,21207.4,21172.4,21272.1,21171.9,21262.2,4198.238,4176.203,4240.654,4251.569,4145.845,4134.374,3554.463
