,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,13.657,20.091,15.197,10.941,10.242,11.04,11.644,10.817,11.273,9.464,8.321,7.883,2.25,4.247,3.615,6.625,3.435,,,,0.267,0.438,0.651,0.701,0.766,1.482,1.594,1.382,1.687,1.646,0.506,,,0.09,0.09,0.09,0.12,0.16,,,,,,,,,,,,,,,,
other-current-assets,8.762,10.24,10.211,9.205,9.039,7.243,8.304,9.344,8.245,7.231,5.601,5.335,8.149,7.011,7.069,3.987,5.45,0.586,0.644,0.74,0.833,0.617,0.771,0.593,1.033,,,0.235,,,,,,0.13,0.07,0.11,0.04,0.18,0.15,0.15,0.05,0.13,0.17,0.16,0.06,0.12,0.1,0.09,0.01,0.02,0.03,0.02,0.05,0.08
total-current-assets,46.899,69.305,82.422,101.583,106.419,118.34,109.52,112.994,44.273,48.114,28.846,38.016,53.548,75.963,64.286,49.143,61.862,71.707,29.074,35.64,45.482,53.719,10.176,17.755,27.06,2.648,3.605,11.972,1.942,3.148,4.644,0.507,,0.89,2.05,3.3,4.37,6.27,2.38,1.02,0.63,0.18,0.38,0.72,1.53,2.52,0.76,0.73,2.1,3.39,3.49,3.55,3.62,2.13
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,32.689,124.761,126.358,130.594,113.594,116.722,123.187,124.006,125.589,124.756,121.16,121.707,128.18,129.138,196.477,194.278,202.123,95.839,95.965,96.083,96.216,96.341,96.467,96.593,96.546,,,3.241,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,3.282,3.53,2.273,0.793,0.887,1.009,7.062,6.581,6.665,6.565,10.546,10.488,10.416,0.352,0.064,0.064,0.059,0.09,0.302,0.268,0.321,0.322,0.355,0.502,0.504,0.002,0.002,0.58,0.002,0.002,0.002,0.002,,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.03,0.05,0.05,0.05,,,,,,
total-long-term-assets,50.735,134.073,134.554,137.724,121.14,124.407,136.655,137.257,139.451,137.725,137.506,138.233,143.484,134.233,203.49,199.459,206.57,98.843,99.277,99.471,99.438,99.076,98.713,98.959,98.873,0.266,0.299,5.588,0.358,0.403,0.447,0.486,,0.022,0.022,0.582,0.072,0.102,0.122,0.252,0.382,0.512,0.632,0.852,1.09,1.32,1.53,1.75,1.91,,,,,
total-assets,97.634,203.378,216.976,239.307,227.559,242.747,246.175,250.251,183.724,185.839,166.352,176.249,197.032,210.196,267.776,248.602,268.432,170.55,128.351,135.111,144.92,152.795,108.889,116.714,125.933,2.914,3.904,17.56,2.3,3.551,5.091,0.993,0.0,1.26,2.39,3.69,4.81,6.76,2.75,1.42,1.18,0.87,1.18,1.74,2.81,4.05,2.49,2.68,4.01,3.39,3.49,3.55,3.62,2.13
total-current-liabilities,12.452,22.502,19.532,21.819,12.042,16.008,20.197,28.84,18.509,17.358,24.953,30.689,28.993,29.504,30.596,31.072,15.334,6.352,5.444,4.147,5.021,9.574,7.354,7.089,7.44,0.667,1.135,2.578,0.86,1.146,0.798,0.469,,0.35,0.25,0.27,0.24,0.54,0.24,0.14,0.2,1.2,0.27,0.27,0.15,0.32,0.36,0.25,0.4,0.17,0.21,0.1,0.09,0.11
long-term-debt,15.343,29.528,29.267,28.937,19.106,18.952,6.863,8.385,12.825,12.896,2.885,4.995,7.059,9.08,11.057,12.99,14.884,7.427,8.36,9.175,9.871,2.532,3.578,4.602,5.604,,,8.481,0.3,,,2.523,,,,,,,,,,,0.3,,0.01,0.01,1.01,0.01,,,,,,
