,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-11-30,2008-09-30,2008-08-31,2008-06-30,2008-05-31,2008-03-31,2008-02-29,2007-11-30,2007-08-31,2007-05-31,2007-02-28,2006-11-30,2006-08-31,2006-05-31,2006-02-28,2005-11-30,2005-08-31,2005-05-31,2005-02-28
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,23.72,29.775,32.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,5.421,6.13,5.658,4.658,4.64,145.992,161.922,136.259,168.597,163.069,84.733,2.25,1.028,53.719,4.314,2.508,6.386,6.684,6.627,7.662,6.599,7.694,6.527,6.857,6.648,12.503,9.237,7.227,5.346,2.432,1.007,1.412,2.492,2.802,2.694,3.064,3.564,4.282,5.388,4.945,5.618,8.77,7.093,3.81,2.795,,5.275,,4.813,,6.23,5.9,4.319,,,,,,,,,6.282,5.927
total-current-assets,142.066,150.052,193.349,78.105,77.755,286.634,271.781,223.295,230.909,229.99,156.001,58.111,62.058,112.572,119.991,134.787,151.411,145.891,160.874,162.701,142.003,142.736,149.21,119.222,122.299,121.618,127.358,141.809,132.872,132.199,136.833,127.531,125.838,111.902,119.403,125.78,153.464,153.417,161.211,149.216,175.995,180.775,219.045,168.042,164.455,,187.769,,160.73,,171.162,177.889,151.431,173.322,166.36,237.412,220.893,194.746,163.111,133.292,116.961,98.41,90.865
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,1743.446,1748.025,1756.08,363.729,363.729,363.729,363.729,363.729,363.729,363.729,363.729,363.729,363.816,363.946,397.454,366.5,403.562,405.027,406.507,407.961,410.266,412.829,415.392,417.962,420.941,423.54,425.568,428.923,430.316,431.885,427.856,428.389,615.936,587.562,589.101,590.52,592.279,594.043,595.737,597.493,579.799,581.53,583.27,585.518,590.031,,591.408,,594.146,,596.471,599.249,603.083,581.157,576.866,107.474,108.334,109.276,110.244,111.179,112.14,109.502,110.488
other-long-term-assets,69.596,68.855,73.174,23.904,25.105,26.069,27.524,13.315,13.436,8.406,6.646,55.049,80.569,7.222,17.255,13.141,26.231,42.846,75.826,75.55,61.162,63.886,61.011,53.629,69.546,21.602,21.092,21.042,20.594,11.546,10.441,10.797,11.47,12.888,13.684,14.733,15.093,15.292,15.748,11.498,7.063,8.518,8.083,18.089,15.592,,16.575,,17.995,,16.615,14.971,15.609,16.04,6.202,3.019,4.052,3.45,2.203,2.358,2.065,2.319,2.595
total-long-term-assets,1863.438,1865.455,1877.239,403.974,404.754,412.487,420.746,412.868,425.907,428.477,435.849,486.671,522.491,392.554,564.459,578.137,591.016,611.488,646.696,649.207,635.438,640.239,637.863,629.789,648.448,600.6459,601.808,606.459,605.4659,594.136,586.31,581.374,763.9359,733.481,731.863,735.909,736.052,732.7469,735.687,733.15,705.086,705.218,704.776,715.048,717.615,,719.044,,729.867,,708.137,687.82,677.414,652.0729,633.379,159.519,161.493,155.441,152.82,153.364,153.993,147.34,148.854
total-assets,2005.504,2015.507,2070.588,482.079,482.509,699.121,692.527,636.163,656.816,658.467,591.85,544.782,584.549,505.126,684.45,712.924,742.427,757.379,807.57,811.908,777.441,782.975,787.073,749.011,770.747,722.264,729.166,748.268,738.338,726.335,723.143,708.905,889.774,845.383,851.266,861.689,889.516,886.164,896.898,882.366,881.081,885.993,923.821,883.09,882.07,0.0,906.813,0.0,890.597,0.0,879.299,865.709,828.845,825.395,799.739,396.931,382.386,350.187,315.931,286.656,270.954,245.75,239.719
total-current-liabilities,151.154,158.923,226.14,81.072,79.272,371.666,386.006,358.633,383.567,378.786,309.533,132.363,138.498,175.467,164.172,162.19,162.112,160.31,156.312,170.33,153.685,157.115,150.76,124.416,113.868,130.679,133.145,128.258,122.236,118.4,113.472,118.757,116.269,124.071,120.199,125.233,180.144,166.557,166.005,193.512,201.627,188.129,229.259,174.076,166.747,,166.493,,173.001,,158.492,161.15,140.639,136.657,121.439,91.887,96.424,82.744,61.746,48.211,46.317,34.498,26.369
long-term-debt,1068.847,1089.925,1102.106,30.589,52.132,,,,4.955,39.412,60.196,164.297,197.774,182.393,206.386,208.289,228.277,229.456,241.628,231.112,237.37,234.224,246.692,237.582,246.926,253.99,257.187,278.534,281.568,283.072,290.796,266.117,272.77,223.2,239.625,243.425,231.565,256.328,278.835,254.345,263.852,297.36,310.867,304.372,304.882,,345.395,,350.905,,276.016,286.519,297.059,317.613,328.169,0.188,0.236,0.283,0.329,0.386,0.416,0.458,18.5
other-non-current-liabilities,17.891,13.563,0.139,1.098,4.525,7.595,11.946,5.577,5.606,6.263,8.149,58.824,85.705,26.818,28.192,38.238,36.661,38.343,71.667,72.993,59.771,64.775,64.779,51.003,67.287,25.302,26.277,26.602,26.37,26.371,27.936,31.351,34.365,34.166,33.942,39.14,44.798,43.716,43.961,42.615,38.181,36.877,33.631,39.533,36.795,,31.227,,33.973,,43.413,33.135,14.388,13.385,11.478,11.267,10.853,10.507,9.799,9.703,9.055,8.72,5.716
