,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,156.285,153.574,149.928,148.206,144.471,140.797,137.246,136.177,135.849,130.698,126.481,125.365,121.616,117.71,116.725,116.037,112.718,109.117,108.269,108.115,104.39,104.28,102.276,101.781,101.249,100.324,98.974,99.0,97.013,96.882,96.974,96.775,95.777,95.55,95.129,94.33,84.708,84.683,83.822,84.272,80.726,78.885,77.022,76.043,72.636,72.947,73.382,72.399,70.874,68.562,67.638,64.532,64.352,54.043,53.556,52.835,50.895,54.479,61.503
other-current-assets,171.36,148.809,145.382,174.467,169.713,105.546,104.624,86.504,101.896,109.017,94.817,82.706,88.712,85.005,89.386,103.49,81.459,71.548,80.524,77.654,143.311,117.498,97.685,76.446,90.771,86.733,114.889,113.367,200.093,183.899,91.622,148.775,188.801,202.557,194.505,248.658,52.091,55.235,58.443,48.85,56.945,52.762,53.972,47.955,36.171,27.099,31.71,35.755,30.172,28.178,25.835,19.113,20.779,28.047,25.608,27.267,33.072,33.784,37.097
total-current-assets,1930.627,1965.032,1960.441,1937.802,1941.253,1880.527,1884.726,1798.002,1755.187,1763.16,1732.074,1681.371,1587.899,1606.753,1635.438,1718.304,1696.554,1708.959,1717.237,1615.138,1622.094,1529.881,1543.113,1432.329,1503.28,1483.98,1501.351,1407.496,1488.424,1456.446,1463.145,1364.905,1371.949,1368.106,1401.184,1331.116,1078.903,822.219,837.856,796.197,794.99,787.073,832.52,789.417,777.8,843.988,836.232,774.847,806.88,801.783,807.643,728.506,712.892,779.04,658.579,608.298,774.676,762.775,776.969
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,3827.867,3843.429,3856.664,3844.628,3852.851,3815.203,3843.126,3825.157,3821.61,3803.386,3787.515,3784.106,3615.085,3585.892,3594.901,3596.114,3388.378,3316.945,3297.436,3291.213,3296.358,3089.172,3053.666,3049.016,3039.169,3041.346,3041.326,3036.765,2594.74,2610.637,2629.765,2627.602,2605.951,2607.283,2596.292,2589.914,732.34,732.754,733.626,732.685,732.685,733.887,733.882,732.937,749.839,748.305,749.839,750.395,753.846,745.769,737.868,719.991,695.246,686.561,686.728,686.211,535.848,531.959,619.404
other-long-term-assets,851.373,976.211,975.777,621.058,632.985,609.54,583.159,554.038,534.699,531.045,518.317,506.615,425.602,430.493,437.883,448.36,310.741,329.691,340.141,348.084,352.256,365.364,312.913,330.328,321.774,321.612,306.827,298.459,294.734,288.555,280.265,272.978,261.171,251.643,250.152,245.279,125.15,118.303,115.025,111.7,106.167,102.079,112.193,109.388,145.829,124.9,133.191,141.242,136.871,136.193,139.229,136.198,124.826,124.862,119.748,124.395,109.845,107.124,117.345
total-long-term-assets,9663.774,9787.618,9760.836,9327.679,9332.333,9188.89,9138.791,8963.826,8884.173,8789.326,8716.185,8636.431,8085.74,7934.177,7929.571,7897.14,7510.324,7369.6,7367.118,7359.305,7339.498,7018.191,6888.272,6879.394,6848.463,6833.273,6815.157,6793.347,6292.642,6302.202,6320.136,6300.34,6233.982,6197.647,6211.89,6196.82,3188.811,3167.538,3161.455,3168.266,3106.519,3049.803,3002.797,2953.045,2920.536,2874.605,2850.05,2833.81,2792.048,2729.897,2659.545,2548.536,2436.135,2366.581,2326.468,2250.411,1968.349,2000.65,2206.798
total-assets,11594.4,11752.65,11721.28,11265.48,11273.58,11069.42,11023.52,10761.83,10639.36,10552.49,10448.26,10317.8,9673.639,9540.93,9565.009,9615.444,9206.878,9078.559,9084.355,8974.443,8961.592,8548.072,8431.385,8311.723,8351.743,8317.253,8316.508,8200.843,7781.066,7758.648,7783.281,7665.245,7605.931,7565.753,7613.074,7527.936,4267.714,3989.757,3999.311,3964.463,3901.509,3836.876,3835.317,3742.462,3698.336,3718.593,3686.282,3608.657,3598.928,3531.68,3467.188,3277.042,3149.027,3145.621,2985.047,2858.709,2743.025,2763.425,2983.767
total-current-liabilities,1621.769,1544.269,1656.766,1448.738,1778.269,1447.544,1579.577,1848.034,1397.497,1322.229,1517.427,1317.373,1279.479,1268.034,1685.44,1100.406,1196.196,1194.311,1255.272,1182.827,1165.464,1115.873,1110.448,1059.888,1024.317,1049.15,964.069,894.058,838.348,883.612,891.99,836.933,832.894,784.535,837.182,826.299,1013.426,558.124,610.27,582.817,631.951,586.299,644.363,561.125,566.243,507.258,547.329,487.711,557.911,494.139,522.104,502.451,628.519,599.375,614.749,524.17,526.308,483.581,531.325
long-term-debt,4144.542,4332.809,4108.039,3935.187,3683.919,3864.162,3795.087,3494.39,3927.396,3988.912,3772.515,4030.23,3542.923,3499.375,2792.144,3368.634,3009.954,2961.515,3051.571,3210.215,3373.341,3070.311,3109.158,3209.762,3411.635,3473.106,3668.762,3727.431,3440.962,3458.509,3581.844,3651.428,3685.23,3750.928,3850.859,3912.102,614.923,881.344,891.615,956.429,852.27,913.148,938.844,990.661,935.461,1050.491,1041.308,1008.786,900.628,951.06,910.424,821.363,464.806,465.284,603.533,637.654,528.302,525.849,684.397
other-non-current-liabilities,338.871,369.229,364.334,361.809,319.113,311.518,311.9,306.304,298.252,282.732,272.68,275.167,296.155,306.561,295.684,278.834,292.441,279.281,277.617,268.555,280.797,276.462,282.173,284.589,320.214,310.948,379.723,395.355,408.535,393.928,403.071,401.908,428.436,402.737,376.844,380.649,353.386,346.31,367.747,375.58,396.678,389.572,403.325,407.652,362.421,353.069,349.369,344.755,353.328,342.872,353.157,340.815,347.813,335.302,300.716,289.195,259.033,254.199,251.352
total-long-term-liabilities,4508.687,4743.93,4512.2,4350.949,4056.186,4231.663,4157.918,3862.358,4311.653,4352.431,4129.511,4402.835,3931.044,3904.969,3528.267,4205.877,3816.966,3762.438,3864.693,4000.536,4138.802,3832.891,3876.782,3951.606,4164.955,4224.289,4465.784,4540.836,4279.245,4285.377,4412.488,4481.194,4504.017,4548.052,4636.789,4677.866,1266.151,1501.503,1322.487,1589.252,1301.156,1322.526,1353.436,1410.752,1565.779,1666.861,1651.741,1603.747,1506.178,1522.767,1483.889,1372.127,1024.063,1015.278,1115.752,1129.441,992.72,998.058,1177.547
total-liabilities,6130.456,6288.199,6168.966,5799.687,5834.455,5679.207,5737.495,5710.392,5709.15,5674.66,5646.938,5720.208,5210.523,5173.003,5213.707,5306.283,5013.162,4956.749,5119.965,5183.363,5304.266,4948.764,4987.23,5011.494,5189.272,5273.439,5429.853,5434.894,5117.593,5168.989,5304.478,5318.127,5336.911,5332.587,5473.971,5504.165,2279.577,2059.627,1932.757,2172.069,1933.107,1908.825,1997.799,1971.877,2132.022,2174.119,2199.07,2091.458,2064.089,2016.906,2005.993,1874.578,1652.582,1614.653,1730.501,1653.611,1519.028,1481.639,1708.872
common-stock-net,0.88,0.883,0.91,0.914,,,,0.942,,,,0.966,,,,0.983,,,,0.987,,,,0.983,,,,0.976,,,,0.966,,,,0.971,0.973,0.973,0.971,0.97,,,,0.494,,,,0.525,,,,0.538,0.559,0.587,0.541,0.539,0.545,0.556,0.58
