,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,7.098,7.102,5.238,4.353,4.908,5.247,3.05,4.786,5.444,6.932,3.827,4.428,10.8,8.22,8.298,5.803,6.058,6.509,5.291,6.186,5.076,2.703,3.04,4.098,4.482,1.878,3.862,5.975,4.956,5.328,5.248,5.737,6.232,5.179,3.466,3.736,2.944,3.356,2.124,2.959,2.26,2.103,2.334,1.857,1.752,2.098,1.509,1.333,2.173,2.031,2.067,2.251,1.954,1.606,1.692,1.428,1.132,0.968,1.477
total-current-assets,92.534,107.009,81.156,79.214,90.657,86.408,75.595,77.081,73.415,79.606,78.571,65.964,66.618,70.364,68.066,60.2,63.661,55.649,55.899,54.851,56.615,51.847,54.254,49.66,45.157,41.429,44.722,45.322,44.063,44.644,47.123,45.667,45.836,44.252,44.06,39.284,38.064,35.212,39.223,33.019,36.007,36.945,39.766,38.721,38.712,39.525,39.307,36.033,38.79,39.02,39.095,35.981,38.96,37.72,38.764,36.852,39.864,38.826,41.014
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,370.024,353.604,341.463,342.353,342.941,333.059,320.862,320.292,315.618,316.278,287.659,264.866,224.62,225.177,225.479,225.669,194.647,195.081,183.713,172.821,173.086,171.934,158.433,158.434,119.906,126.277,117.811,112.334,112.042,111.663,103.312,102.353,101.225,86.536,86.576,86.732,74.775,74.928,74.631,63.202,62.148,62.3,62.213,62.338,54.302,53.714,44.612,41.58,39.759,21.082,21.082,21.275,15.444,15.474,15.193,14.339,12.609,12.754,6.64
other-long-term-assets,81.263,76.375,79.309,1.43,1.405,1.384,1.357,1.224,1.2,1.268,1.274,1.228,1.221,1.219,1.2,1.234,1.175,1.086,1.916,1.115,1.978,1.141,1.317,1.081,1.078,0.967,0.953,1.042,1.018,1.435,1.079,2.043,3.396,3.303,2.206,0.922,0.93,0.923,0.885,0.869,0.855,0.849,0.834,1.347,1.77,2.094,1.476,1.847,2.777,1.585,1.591,0.83,1.003,0.949,0.95,1.587,1.643,1.762,1.407
total-long-term-assets,472.659,450.001,441.931,363.952,364.312,354.135,342.027,341.901,337.572,337.719,309.1,285.267,243.283,243.234,243.368,243.557,212.484,212.671,201.524,189.7,191.122,188.933,174.38,174.475,134.5,141.001,132.155,126.392,125.877,125.988,117.313,117.585,118.203,102.585,102.314,101.577,88.89,89.254,89.401,78.41,78.105,78.72,79.267,79.526,72.179,72.356,62.351,60.219,59.612,35.86,35.707,35.476,30.214,30.777,30.271,29.667,27.583,27.812,21.208
total-assets,565.193,557.01,523.087,443.166,454.969,440.543,417.622,418.982,410.987,417.325,387.671,351.231,309.901,313.598,311.434,303.757,276.145,268.32,257.423,244.551,247.737,240.78,228.634,224.135,179.657,182.43,176.877,171.714,169.94,170.632,164.436,163.252,164.039,146.837,146.374,140.861,126.954,124.466,128.624,111.429,114.112,115.665,119.033,118.247,110.891,111.881,101.658,96.252,98.402,74.88,74.802,71.457,69.174,68.497,69.035,66.519,67.447,66.638,62.222
total-current-liabilities,62.798,57.02,68.93,41.946,46.964,41.889,45.381,39.551,35.991,35.193,34.035,24.617,26.383,28.985,24.181,19.007,21.361,21.697,21.402,25.504,21.832,22.797,19.345,23.172,16.655,17.373,13.905,16.307,14.946,16.208,12.516,16.324,13.692,14.685,27.01,14.231,15.053,12.588,14.86,14.764,15.776,13.134,14.139,14.613,14.607,12.021,11.157,11.438,11.601,7.673,10.627,9.17,9.078,6.965,8.428,7.115,7.712,8.309,7.748
long-term-debt,114.213,123.027,85.35,38.402,54.659,56.607,42.782,56.728,59.952,73.351,62.802,50.596,40.546,47.047,57.121,48.335,47.679,42.059,41.983,34.734,46.95,45.45,45.95,40.65,14.55,16.15,20.725,17.575,16.275,20.275,24.534,23.784,26.834,16.134,4.95,5.75,0.1,3.7,11.0,0.4,3.68,11.137,13.612,12.412,9.606,16.014,10.686,7.959,13.084,0.516,0.656,0.797,0.28,0.347,0.415,0.483,0.292,0.333,
