,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,94.1,96.9,96.2,101.0,101.0,102.7,101.5,107.9,114.4,114.1,106.9,100.0,92.4,89.1,87.6,81.3,80.844,77.249,72.465,66.927,63.669,58.033,51.717,47.758,49.617,44.713,39.743,37.254,46.848,46.631,45.76,45.981,45.797,41.26,38.076,35.52,33.422,30.243,25.819,26.36,24.814,16.504,15.106,14.372,13.251,15.292,13.33,13.211,12.183,12.796,12.323,12.047,11.822,11.017,10.524,11.263,10.276,9.812,9.101
other-current-assets,85.7,75.7,81.4,75.4,54.9,57.2,64.2,115.5,62.3,60.5,52.9,59.5,36.4,43.5,42.1,47.4,46.202,142.443,108.608,32.836,107.25,43.093,46.288,46.424,35.641,5.013,5.838,35.385,37.39,24.825,21.844,6.188,6.277,11.037,9.358,6.84,8.285,2.985,,2.638,,,,,,,,,,,,,,,0.05,0.029,0.645,1.635,1.88
total-current-assets,1933.4,2139.8,1942.5,1768.0,1608.7,1624.2,1633.6,1447.9,1639.2,1563.7,1504.1,1424.8,1386.0,1315.4,1299.6,1275.3,1228.523,829.039,994.091,957.589,1078.485,881.608,990.268,914.382,932.742,903.583,844.567,668.47,718.185,570.607,573.919,562.455,846.133,877.509,810.844,764.487,598.484,516.292,398.745,324.507,322.151,287.878,267.361,297.447,295.923,282.641,327.86,352.461,286.876,246.835,218.921,277.374,180.196,207.263,186.67,166.757,146.891,126.631,119.306
net-property-plant-equipment,678.3,709.3,701.2,699.7,665.2,626.1,577.5,545.7,521.7,501.9,493.5,489.3,488.4,490.6,495.2,495.8,474.77,471.862,474.68,478.421,481.049,477.534,474.41,464.95,449.942,447.893,449.076,453.685,439.894,435.751,401.587,366.046,333.225,314.945,304.766,306.044,303.188,302.544,304.642,303.859,299.26,283.006,255.592,222.717,186.849,115.735,87.229,69.354,56.144,45.872,42.071,34.681,33.084,29.638,22.395,21.802,20.392,20.409,17.711
long-term-investments,730.4,420.7,411.3,442.6,595.9,578.3,414.8,502.7,338.5,216.2,144.5,2.3,2.3,3.9,10.7,38.0,91.706,121.467,116.493,122.658,205.953,280.887,389.533,448.134,327.295,203.484,211.508,311.103,254.232,314.337,342.33,349.022,255.118,162.32,146.334,137.971,204.438,175.473,200.76,188.604,169.3,176.947,179.517,146.025,156.392,174.4,114.032,53.935,77.15,87.068,86.286,80.102,65.856,66.199,69.725,73.788,75.249,72.837,65.18
goodwill-intangible-assets-total,158.4,161.9,170.8,170.8,167.7,45.6,45.6,45.6,45.7,45.8,33.6,33.8,34.0,34.1,34.3,28.4,28.533,28.805,29.135,29.465,14.499,15.336,13.737,14.115,14.614,14.939,15.657,16.408,16.662,17.064,24.915,22.087,19.402,9.751,9.992,9.861,16.667,16.083,17.354,18.418,19.416,7.762,7.8,7.838,7.985,8.132,8.279,8.427,8.625,10.294,10.45,10.605,10.686,10.767,10.847,12.952,13.072,13.192,13.312
other-long-term-assets,231.0,202.9,235.4,224.2,261.7,257.3,235.3,224.1,213.0,185.9,204.1,197.1,169.7,169.4,159.8,154.2,153.101,102.93,97.499,97.948,98.411,103.699,53.076,53.268,53.416,57.961,26.596,26.782,28.071,28.113,28.05,27.724,22.175,21.065,20.905,11.137,8.135,7.805,13.635,15.187,16.593,21.651,21.587,21.665,11.105,7.475,6.946,9.141,8.312,8.815,9.283,8.901,0.964,1.005,1.02,0.988,1.136,1.155,1.246
total-long-term-assets,2066.2,1759.1,1784.2,1633.0,1803.4,1620.7,1386.6,1431.5,1296.8,1127.8,1057.2,900.7999,883.2,886.1,892.5,909.1,930.71,907.783,900.523,926.821,993.5651,1071.264,1124.666,1173.185,994.915,874.09,852.788,958.125,929.307,985.794,987.5159,955.624,820.92,701.231,674.56,667.148,684.3,671.383,727.958,727.037,682.576,663.793,635.452,577.087,470.757,397.177,310.204,234.557,225.842,224.959,217.345,199.597,117.578,118.17,118.081,124.656,110.282,107.593,97.619
total-assets,3999.6,3898.9,3726.7,3401.0,3412.1,3244.9,3020.2,2879.4,2936.0,2691.5,2561.3,2325.6,2269.2,2201.5,2192.1,2184.4,2159.233,1736.822,1894.614,1884.41,2072.05,1952.872,2114.934,2087.567,1927.657,1777.673,1697.355,1626.595,1647.492,1556.401,1561.435,1518.079,1667.053,1578.74,1485.404,1431.635,1282.784,1187.675,1126.703,1051.544,1004.727,951.671,902.813,874.534,766.68,679.818,638.064,587.018,512.718,471.794,436.266,476.971,297.774,325.433,304.751,291.413,257.173,234.224,216.925
