,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,551.5,529.3,478.0,469.6,438.1,469.2,433.8,431.4,417.7,460.2,453.7,661.6,442.4,682.49,653.328,613.069,612.6,640.101,651.779,630.872,572.261,586.071,561.194,561.802,535.223,536.693,502.598,499.616,457.869,464.436,444.8,444.665,409.962,438.483,422.467,402.768,363.933,390.188,371.496,350.845,321.861,358.151,340.24,327.265,282.98,304.306,268.517,259.571,213.095,276.048,267.683,223.712,189.653,196.583,177.365,179.851,164.873,186.262,178.72
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.603,18.799,,,,29.798,,,,,,,,,,
total-current-assets,2395.4,2341.2,2261.2,2300.9,2188.4,2193.0,2345.4,2351.6,2296.8,2058.6,2141.5,2421.3,2615.4,2546.623,2773.217,2640.216,2393.0,2648.935,2590.351,2552.365,2494.165,2624.756,2678.304,2606.349,2704.783,2317.039,2326.354,2228.313,2170.515,2017.487,1980.27,1907.677,1854.617,1837.452,1806.094,1827.248,1681.344,1697.928,1729.6,1723.278,1672.451,1493.509,1450.154,1422.545,1394.401,1355.178,1347.338,1217.724,1160.229,1060.306,1114.354,1115.257,1156.049,1096.793,1071.022,1029.798,1016.895,932.104,944.188
net-property-plant-equipment,311.5,307.4,268.4,270.1,274.6,265.9,247.0,250.4,255.3,249.3,252.6,375.1,258.6,372.496,374.356,372.858,379.2,343.417,334.807,335.325,337.999,328.646,325.842,321.005,315.331,306.341,302.743,298.533,296.592,287.336,282.239,280.832,285.894,283.185,281.823,277.55,267.927,261.361,258.479,258.432,264.06,260.297,252.273,253.072,218.183,209.022,195.473,180.876,167.946,156.82,147.263,135.774,130.318,123.495,119.811,117.055,114.54,98.756,91.886
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.552,,,,,,,,,,,,3.659,3.679,36.349,37.377
goodwill-intangible-assets-total,912.9,840.0,400.1,408.0,394.7,319.3,318.2,289.0,294.2,295.0,294.2,391.1,304.1,282.894,283.947,281.773,356.1,241.734,232.633,237.702,240.626,236.13,226.829,226.955,225.335,222.946,222.198,223.914,222.242,224.058,214.547,213.017,212.452,216.063,214.731,206.946,208.451,203.288,207.146,210.563,210.346,207.687,203.871,206.261,209.146,214.927,215.676,208.844,205.553,170.184,153.955,121.389,121.389,121.389,121.389,121.389,121.389,122.24,122.015
other-long-term-assets,397.2,384.8,365.6,289.3,292.8,287.2,282.0,296.0,300.8,309.3,287.2,346.5,227.0,439.521,434.738,431.815,331.0,297.493,301.745,270.91,284.5,285.343,244.863,236.925,223.025,212.729,210.784,187.804,189.377,189.072,186.114,179.805,145.798,176.579,166.922,159.225,166.23,156.318,154.664,165.721,161.391,166.077,157.693,152.572,153.782,161.857,158.454,156.751,150.647,142.243,125.75,120.236,103.995,75.171,67.752,66.028,60.899,57.11,55.782
total-long-term-assets,1706.3,1626.1,1129.0,1069.9,1064.3,978.8,962.1,948.2,997.6,1000.4,977.3,1263.5,1199.4,1212.829,1093.041,1086.446,1185.7,882.644,869.185,843.937,863.125,850.119,797.5341,784.885,763.691,742.016,735.725,710.251,708.211,700.466,682.9,673.654,644.144,675.827,663.476,643.7209,642.608,620.967,620.289,634.716,635.797,634.061,613.837,615.457,581.111,585.806,569.603,546.471,524.146,469.247,426.968,377.399,355.702,320.055,308.952,308.131,300.507,314.455,307.06
total-assets,4101.7,3967.3,3390.2,3370.8,3252.7,3171.8,3307.5,3299.8,3294.4,3059.0,3118.8,3684.8,3814.8,3759.452,3866.258,3726.662,3578.7,3531.579,3459.536,3396.302,3357.29,3474.875,3475.838,3391.234,3468.474,3059.055,3062.079,2938.564,2878.726,2717.953,2663.17,2581.331,2498.761,2513.279,2469.57,2470.969,2323.952,2318.895,2349.889,2357.994,2308.248,2127.57,2063.991,2038.002,1975.512,1940.984,1916.941,1764.195,1684.375,1529.553,1541.322,1492.656,1511.751,1416.848,1379.974,1337.929,1317.402,1246.559,1251.248
total-current-liabilities,1884.0,1809.9,1318.8,1333.0,1339.7,1379.1,1530.2,1616.4,1645.1,1273.2,1405.4,1524.1,1613.4,1617.711,1694.14,1589.055,1376.7,1288.646,1270.768,1256.93,1201.654,1209.938,1234.736,1133.144,1160.579,1231.612,1288.999,1231.772,1236.531,1130.327,1101.806,1092.323,1125.912,931.845,1018.802,863.226,903.541,795.215,818.004,851.568,842.32,757.483,755.01,810.334,781.677,829.225,830.766,727.354,781.687,656.213,644.907,621.47,643.956,558.483,523.864,510.386,543.933,520.548,516.108
long-term-debt,,,,,,,,,,249.9,277.2,274.6,286.9,300.0,312.5,345.0,337.5,350.0,362.5,375.0,387.5,400.0,412.5,425.0,450.0,,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,12.5,16.094,17.869,17.939,23.259,23.327,23.394,23.459,29.774,32.337,32.399,32.46,40.27,40.329,40.386,40.443,55.916,49.303,49.356,49.409,57.21,57.261,57.318,53.18,55.707
other-non-current-liabilities,440.1,400.1,331.3,355.8,324.3,291.2,320.7,292.4,127.4,141.6,143.6,146.8,155.8,139.554,155.748,150.543,138.2,149.999,147.945,146.47,151.716,150.024,149.586,133.501,144.048,143.893,138.963,123.654,126.169,118.051,119.131,123.405,122.708,121.137,122.545,123.327,127.175,118.395,115.1,128.874,130.751,117.561,152.154,153.065,134.251,126.977,138.174,133.629,40.847,27.205,25.709,22.717,21.186,56.82,55.837,54.927,57.124,41.165,41.74
total-long-term-liabilities,440.1,400.1,331.3,355.8,324.3,291.2,320.7,292.4,127.4,391.5,420.8,431.7,457.2,449.885,478.579,505.925,475.7,499.999,510.445,521.47,539.216,550.024,562.086,558.501,594.048,143.893,145.213,129.904,132.419,124.301,125.381,129.655,128.958,127.387,135.045,139.421,145.044,136.334,138.359,152.201,154.145,141.02,181.928,185.402,166.65,159.437,178.444,173.958,81.233,67.648,81.625,72.02,70.542,106.229,113.047,112.188,114.442,94.345,97.447
total-liabilities,2324.1,2210.0,1650.1,1688.8,1664.0,1670.3,1850.9,1908.8,1772.5,1664.7,1826.2,1955.8,2070.6,2067.596,2172.719,2094.98,1852.4,1788.645,1781.213,1778.4,1740.87,1759.962,1796.822,1691.645,1754.627,1375.505,1434.212,1361.676,1368.95,1254.628,1227.187,1221.978,1254.87,1059.232,1153.847,1002.647,1048.585,931.549,956.363,1003.769,996.465,898.503,936.938,995.736,948.327,988.662,1009.21,901.312,862.92,723.861,726.532,693.49,714.498,664.712,636.911,622.574,658.375,614.893,613.555
common-stock-net,90.8,91.0,91.2,91.2,91.2,91.5,91.7,91.6,91.7,91.7,91.8,93.5,93.7,94.306,95.55,95.999,98.1,99.511,100.201,100.327,100.942,103.14,104.019,105.316,106.491,107.774,108.522,109.322,109.407,110.711,111.805,112.784,112.344,117.075,116.953,119.894,118.007,121.77,123.46,124.357,125.281,125.53,125.36,124.313,125.59,124.877,125.507,125.486,125.215,126.416,127.887,128.891,129.721,130.547,131.805,131.86,130.715,131.242,132.719
retained-earnings-accumulated-deficit,934.0,890.7,902.3,855.5,780.4,704.6,664.2,620.2,778.6,693.6,638.6,1049.9,1069.0,1018.932,1016.027,962.324,1017.8,1016.547,975.383,927.205,931.241,989.328,961.948,992.12,1010.343,995.165,945.251,909.723,893.115,834.851,798.996,767.701,677.473,768.81,701.778,783.087,686.598,772.427,773.542,735.634,696.409,620.743,535.392,467.578,451.439,440.909,414.82,400.448,395.742,381.716,394.255,394.031,406.849,382.583,377.854,393.164,383.667,359.417,357.733
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-share-holder-equity,1777.6,1757.3,1740.1,1682.0,1588.7,1501.5,1456.6,1391.0,1521.9,1394.3,1292.6,1729.0,1744.2,1691.856,1693.539,1631.682,1726.3,1742.934,1678.323,1617.902,1616.42,1714.913,1679.016,1699.589,1713.847,1683.55,1627.867,1576.888,1509.776,1463.325,1435.983,1359.353,1243.891,1454.047,1315.723,1468.322,1275.367,1387.346,1393.526,1354.225,1311.783,1229.067,1127.053,1042.266,1027.185,952.322,907.731,862.883,821.455,805.692,814.79,799.166,797.253,752.136,743.063,715.355,659.027,631.666,637.693
total-liabilities-share-holders-equity,4101.7,3967.3,3390.2,3370.8,3252.7,3171.8,3307.5,3299.8,3294.4,3059.0,3118.8,3684.8,3814.8,3759.452,3866.258,3726.662,3578.7,3531.579,3459.536,3396.302,3357.29,3474.875,3475.838,3391.234,3468.474,3059.055,3062.079,2938.564,2878.726,2717.953,2663.17,2581.331,2498.761,2513.279,2469.57,2470.969,2323.952,2318.895,2349.889,2357.994,2308.248,2127.57,2063.991,2038.002,1975.512,1940.984,1916.941,1764.195,1684.375,1529.553,1541.322,1492.656,1511.751,1416.848,1379.974,1337.929,1317.402,1246.559,1251.248
