,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,273.825,260.79,263.367,274.486,262.415,248.883,122.06,124.441,111.933,105.098,104.566,107.339,147.089,145.453,141.629,145.266,136.834,136.268,136.326,140.442,140.565,147.964,150.644,159.658,153.761,152.293,149.91,155.337,147.692,104.438,40.249,38.062,,33.545,,22.819,,,,18.39,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,55.297,56.284,57.264,58.316,59.48,60.519,61.562,62.813,63.904,65.073,66.314,67.446,11.813,11.991,12.177,12.363,12.581,12.799,12.979,13.159,13.384,10.142,10.342,7.119,7.3,7.482,7.662,7.842,8.06,8.28,8.497,8.716,,9.22,0.0,9.722,,0.0,,0.0,0.0
other-long-term-assets,6.853,7.189,6.825,1.525,1.718,1.304,1.539,1.667,1.537,1.461,1.516,1.394,1.111,0.779,1.288,1.012,0.898,1.077,0.787,0.905,0.889,0.969,1.014,0.965,0.783,0.709,0.515,0.495,0.352,1.208,0.329,0.339,,0.118,,0.085,,,,,
total-long-term-assets,80.458,80.813,81.909,77.612,77.731,78.132,78.582,80.532,71.514,73.033,73.681,74.734,19.033,18.651,17.988,16.995,17.466,18.331,18.489,19.186,19.464,15.955,16.313,13.449,13.734,13.751,12.89,11.968,11.028,12.182,11.618,11.756,,11.773,,11.114,,,,6.38,
total-assets,354.283,341.603,345.276,352.098,340.146,327.015,200.642,204.973,183.447,178.131,178.247,182.073,166.122,164.104,159.617,162.261,154.3,154.599,154.815,159.628,160.029,163.919,166.957,173.107,167.495,166.044,162.8,167.305,158.72,116.62,51.867,49.818,0.0,45.318,0.0,33.933,0.0,0.0,0.0,19.8,0.0
total-current-liabilities,62.584,58.583,57.652,61.155,58.022,54.874,55.24,58.101,60.399,57.215,55.637,62.972,48.603,49.037,45.974,47.766,41.019,40.187,38.619,41.25,38.597,37.357,36.734,39.505,35.561,35.162,32.341,37.059,33.433,31.41,42.118,39.933,,34.105,,24.05,,,,17.01,
long-term-debt,115.452,113.759,112.122,110.54,108.942,107.374,,,,,,,,,,,,,,,,,,,,,,,,,1.333,1.833,,2.833,,4.0,,,,0.88,
other-non-current-liabilities,6.281,6.479,6.502,2.957,2.907,2.93,3.998,4.455,5.084,4.625,4.57,4.505,4.26,3.554,2.116,1.967,2.028,1.946,1.6,1.692,1.782,1.636,1.736,1.641,1.672,1.64,1.269,1.239,0.814,0.164,0.167,0.165,,2.128,,1.217,,,,,
total-long-term-liabilities,133.254,130.54,130.23,128.076,124.747,123.709,17.697,18.872,22.661,22.05,20.862,15.66,12.399,11.511,9.981,10.064,8.903,8.447,8.367,8.666,8.261,8.046,8.206,8.039,7.738,7.209,6.679,7.121,5.749,5.748,6.077,6.271,,8.265,,7.489,,,,0.88,
total-liabilities,195.838,189.123,187.882,189.231,182.769,178.583,72.937,76.973,83.06,79.265,76.499,78.632,61.002,60.548,55.955,57.83,49.922,48.634,46.986,49.916,46.858,45.403,44.94,47.544,43.299,42.371,39.02,44.18,39.182,37.158,48.195,46.204,,42.37,0.0,31.539,,0.0,,20.41,0.0
common-stock-net,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.008,0.007,0.007,0.007,0.007,0.007,0.001,0.001,,0.007,0.0,0.001,,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,-148.64,-148.938,-144.081,-132.346,-131.245,-130.996,-127.442,-122.672,-144.356,-141.472,-134.121,-127.103,-117.323,-116.126,-113.42,-109.836,-106.852,-102.388,-97.22,-92.73,-85.721,-77.83,-70.823,-64.433,-62.591,-59.489,-57.467,-53.968,-54.779,-56.516,-57.697,-56.861,,-55.724,,-54.382,,,,-55.59,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0
total-share-holder-equity,158.445,152.48,157.394,162.867,157.377,148.432,127.705,128.0,100.387,98.866,101.748,103.441,105.12,103.556,103.662,104.431,104.378,105.965,107.829,109.712,113.171,118.516,122.017,125.563,124.196,123.673,123.78,123.125,119.538,79.462,3.672,3.614,,2.948,0.0,2.394,,0.0,,-0.61,0.0
total-liabilities-share-holders-equity,354.283,341.603,345.276,352.098,340.146,327.015,200.642,204.973,183.447,178.131,178.247,182.073,166.122,164.104,159.617,162.261,154.3,154.599,154.815,159.628,160.029,163.919,166.957,173.107,167.495,166.044,162.8,167.305,158.72,116.62,51.867,49.818,,45.318,0.0,33.933,,0.0,,0.0,0.0
