,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,280.01,315.802,306.498,299.132,278.807,269.102,282.435,169.857,169.719,174.609,168.562,174.175,170.408,160.376,162.449,166.547,173.877,174.373,162.167,141.73,64.838,71.22,105.517,135.614,147.07,108.355,116.112,125.968,139.853,149.989,161.349,153.501,164.719,191.525,197.251,200.573,206.0099,211.0865,213.6623,212.951,25.074,31.4243,43.7631,47.7455,54.6063,65.0988,72.2199,86.9554,108.8681,122.9677,128.7581,33.8203,44.824,62.2577,22.5899,33.372,,,
net-property-plant-equipment,4.156,4.24,4.294,4.417,4.579,4.8,5.105,5.306,5.448,5.709,5.461,5.015,4.731,4.246,4.351,4.57,4.159,3.869,3.08,2.437,2.233,2.312,2.208,2.198,2.106,2.208,2.264,2.348,2.446,2.533,2.478,0.964,0.851,0.963,0.86,0.937,1.0154,1.0946,1.1792,1.316,1.4113,1.5184,1.6353,1.7581,1.8858,2.0214,1.602,1.3458,1.4449,1.7706,1.8299,1.8597,1.8483,1.9003,1.3283,1.1106,,,
long-term-investments,61.827,12.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.012,19.011,,,,,,,,,,,,,2.5574,5.9942,7.9793,3.9923,,3.0002,,,,,,,,
goodwill-intangible-assets-total,23.407,23.783,24.162,24.542,24.922,25.319,25.717,26.069,26.501,26.933,27.365,27.819,29.924,32.867,35.809,38.752,41.695,44.638,47.58,26.724,11.319,11.855,12.472,5.037,5.414,5.791,6.163,6.532,6.909,7.286,7.658,8.027,8.404,8.781,9.153,9.522,9.899,10.2758,10.6485,11.017,11.3939,11.7707,,,,,,,,,,,,,,,,,
other-long-term-assets,11.436,11.718,11.994,,,,,,,,,,,,,,0.813,0.813,0.813,,0.785,0.785,0.785,0.5,0.5,0.6,0.6,0.6,0.6,1.03,1.114,1.114,1.114,0.53,0.43,0.43,0.4302,0.4302,0.4302,0.43,0.4302,0.4302,0.4302,0.4302,0.5802,0.5802,0.5802,0.5802,0.5802,0.5802,0.5802,0.5802,0.6102,0.6102,1.2702,1.2702,,,
total-long-term-assets,194.439,56.681,44.668,32.998,33.13,33.824,34.88,35.568,35.987,36.062,36.158,36.199,38.035,41.662,44.291,46.503,46.667,49.32,51.473,29.974,14.337,14.952,15.465,7.735,8.02,8.599,9.027,9.48,9.955,10.849,11.25,29.117,31.019,11.913,12.082,12.528,11.3446,11.8006,12.2579,12.763,13.2354,13.7193,2.0655,2.1883,2.466,5.159,8.1765,9.9054,6.0175,2.3508,5.4103,2.4399,2.4585,2.5106,2.5985,2.3808,,,
total-assets,474.449,372.483,351.166,332.13,311.937,302.926,317.315,205.425,205.706,210.671,204.72,210.374,208.443,202.038,206.74,213.05,220.544,223.693,213.64,171.704,79.175,86.172,120.982,143.349,155.09,116.954,125.139,135.448,149.808,160.838,172.599,182.618,195.738,203.438,209.333,213.101,217.3544,222.887,225.9202,225.714,38.3094,45.1436,45.8286,49.9338,57.0723,70.2578,80.3963,96.8608,114.8856,125.3185,134.1684,36.2603,47.2825,64.7683,25.1884,35.7528,0.0,0.0,0.0
total-current-liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
