,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-05-31,2015-03-31,2015-02-28,2014-12-31,2014-09-30,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,
inventory,59.622,57.963,65.14,49.462,40.547,28.57,30.441,19.375,18.453,15.358,10.216,8.082,10.398,11.193,11.916,8.073,9.649,,,,,,7.996,5.55
other-current-assets,9.555,10.945,16.702,14.187,11.739,12.801,14.375,11.905,11.206,10.633,9.171,5.545,7.122,4.66,4.923,5.265,6.311,,,,,,4.319,2.59
total-current-assets,196.29,232.027,259.413,277.684,287.415,136.76,154.013,122.691,75.504,92.901,78.21,35.934,42.647,34.537,26.463,43.617,52.328,,,,,,16.286,34.93
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,0.057,,,,,0.068,0.073,0.078,0.082,0.087,0.092,0.097,0.102,0.12,0.154,0.2,0.139,0.0,,0.0,,,0.306,0.43
other-long-term-assets,15.951,15.939,14.933,3.328,2.566,2.098,1.584,1.378,1.229,1.175,1.173,1.173,1.174,0.974,1.035,1.034,0.614,,,,,,0.625,0.51
total-long-term-assets,39.445,37.914,30.212,17.286,16.018,15.753,14.612,13.02,12.629,12.65,12.618,12.83,13.184,13.332,12.602,8.54,6.049,,,,,,3.593,11.68
total-assets,235.735,269.941,289.625,294.97,303.433,152.513,168.625,135.711,88.133,105.551,90.828,48.764,55.831,47.869,39.065,52.157,58.377,0.0,0.0,0.0,0.0,0.0,19.879,37.66
total-current-liabilities,53.012,57.921,60.574,53.889,44.402,41.044,40.63,56.192,47.632,53.659,43.574,37.229,33.603,31.705,27.043,28.15,23.3,,,,,,16.056,9.91
long-term-debt,66.556,67.084,66.893,55.364,44.649,44.599,44.551,44.504,44.458,44.412,44.368,44.29,44.213,44.135,29.091,29.016,27.543,,,,,,14.359,14.38
other-non-current-liabilities,0.562,0.431,0.303,0.82,9.854,9.1,8.199,7.37,6.568,5.757,4.973,4.257,3.496,2.812,2.263,1.603,0.65,,,,,,0.404,0.19
total-long-term-liabilities,74.828,89.103,87.575,73.772,81.671,73.503,70.331,77.532,67.076,68.879,74.291,55.188,55.737,47.249,31.783,30.964,28.567,,,,,,14.87,14.84
total-liabilities,127.84,147.024,148.149,127.661,126.073,114.547,110.961,133.724,114.708,122.538,117.865,92.417,89.34,78.954,58.826,59.114,51.867,0.0,,0.0,,,30.926,24.77
common-stock-net,0.984,0.973,0.959,0.952,0.941,0.741,0.71,0.666,0.581,0.579,0.551,0.426,0.424,0.374,0.372,0.372,0.372,0.0,,0.0,,,0.022,0.003
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0
total-share-holder-equity,107.895,122.917,141.476,167.309,177.36,37.966,57.664,1.987,-26.575,-16.987,-27.037,-43.653,-33.509,-31.085,-19.761,-6.957,6.51,0.0,,0.0,,,-11.047,12.88
total-liabilities-share-holders-equity,235.735,269.941,289.625,294.97,303.433,152.513,168.625,135.711,88.133,105.551,90.828,48.764,55.831,47.869,39.065,52.157,58.377,0.0,,0.0,,,19.879,37.66
