,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-09-30
cash-on-hand,,,,,,,,,,,,,,,,,,
inventory,250.3,263.4,261.2,256.7,235.1,244.0,245.3,245.3,234.5,256.3,212.1,204.0,197.4,,,,174.9,
other-current-assets,,,,,,,,,,,,,,,,,2.8,
total-current-assets,440.3,441.4,437.3,465.7,458.1,444.0,445.7,483.9,495.3,506.3,424.5,375.6,359.9,,,,316.1,
net-property-plant-equipment,142.3,138.6,137.1,138.3,144.9,146.1,146.3,144.1,148.3,138.7,119.1,122.1,108.9,,,,,
long-term-investments,53.6,54.1,52.0,52.6,51.0,52.6,51.7,50.3,52.3,52.0,50.1,49.6,49.3,,,,49.6,
goodwill-intangible-assets-total,377.1,380.8,309.4,313.7,317.4,318.1,325.1,329.0,333.2,338.8,92.7,74.7,95.4,0.0,0.0,,74.7,0.0
other-long-term-assets,27.5,28.8,29.8,30.6,16.5,16.0,17.1,12.8,11.0,10.7,6.4,22.7,3.4,,,,36.5,
total-long-term-assets,600.5,602.3,528.3,535.2,529.8,532.8,540.2,536.2,544.8,540.2,268.3,269.5,262.5,,,,171.3,
total-assets,1040.8,1043.7,965.6,1000.9,987.9,976.8,985.9,1020.1,1040.1,1046.5,692.8,645.1,622.4,0.0,0.0,0.0,583.6,0.0
total-current-liabilities,175.1,171.2,156.3,165.5,152.0,140.7,137.0,148.8,151.8,153.3,145.8,76.1,77.8,,,,78.6,
long-term-debt,364.4,379.4,316.7,347.9,364.8,377.1,397.1,434.5,463.9,478.7,187.3,,,,,,,
other-non-current-liabilities,32.5,28.8,27.6,28.0,8.5,7.8,7.9,7.8,4.7,8.4,2.2,5.0,5.3,,,,9.4,
total-long-term-liabilities,416.4,434.8,374.1,406.2,407.6,412.9,436.3,473.8,509.3,534.1,203.5,15.3,18.6,,,,9.4,
total-liabilities,591.5,606.0,530.4,571.7,559.6,553.6,573.3,622.6,661.1,687.4,349.3,91.4,96.4,0.0,0.0,,88.0,0.0
common-stock-net,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,553.7,526.0,0.0,0.0,,484.7,0.0
retained-earnings-accumulated-deficit,75.5,66.3,67.7,61.3,62.4,62.6,58.7,46.4,35.1,20.1,9.6,,,,,,,
comprehensive-income,-1.7,-0.4,2.1,3.5,5.8,5.5,4.7,2.6,0.8,0.4,,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,0.0,0.0,,10.9,0.0
total-share-holder-equity,449.3,437.7,435.2,429.2,428.3,423.2,412.6,397.5,379.0,359.1,343.5,553.7,526.0,0.0,0.0,,495.6,0.0
total-liabilities-share-holders-equity,1040.8,1043.7,965.6,1000.9,987.9,976.8,985.9,1020.1,1040.1,1046.5,692.8,645.1,622.4,0.0,0.0,,583.6,0.0
