,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,4777.094,4710.968,4183.039,3843.109,3686.611,3407.423,3041.116,2648.963,2327.974,2180.572,1871.814,1831.54,1501.901,1454.15,1402.835,1407.153,1359.452,1294.689,1358.203,1546.511,1650.096,1347.384,1430.33,1588.576,1648.631,1716.59,1565.783,1589.585,1634.523,1593.305,1436.114,1331.254,1245.825,827.124,872.974,1057.039,1226.439,1004.555,1126.768,1307.026,914.066,782.756,902.173,867.581,953.018,857.628,783.938,496.851,543.279,637.657,706.54,771.406,742.7,452.589,370.048,385.055,424.334,465.31,350.029
net-property-plant-equipment,733.509,731.131,742.559,812.005,808.352,815.928,800.67,789.437,759.978,740.103,708.395,698.362,687.613,690.607,690.521,697.715,706.67,713.378,708.616,715.812,720.878,730.0,726.204,696.911,648.924,581.738,504.232,433.609,124.148,272.561,170.331,133.176,101.268,84.203,70.877,72.333,65.439,60.438,58.109,62.279,62.444,64.358,66.601,68.331,69.713,66.63,64.712,66.509,68.9,67.771,61.423,61.535,61.135,59.971,55.869,54.533,56.127,58.496,60.7
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.925,11.902,24.264,35.326,57.126,57.593,68.372,54.163,65.216,18.863,18.863,18.863
goodwill-intangible-assets-total,447.525,50.384,50.384,50.384,79.384,79.384,79.384,79.384,79.384,334.724,334.724,334.724,334.724,334.724,334.724,334.724,334.724,334.724,68.915,68.915,30.992,30.992,30.992,30.992,281.592,281.592,281.592,694.492,694.492,694.492,694.492,694.492,697.001,802.801,544.802,544.802,544.802,544.802,544.802,544.802,552.002,552.783,552.783,,,,,,,,,,,,,,,,
other-long-term-assets,140.914,115.797,99.614,40.728,46.493,32.651,31.804,27.396,30.989,30.195,31.77,32.161,85.403,69.501,59.826,28.995,33.147,31.282,30.093,3.441,4.12,9.444,9.582,2.562,3.601,4.409,40.627,41.602,42.559,44.498,44.906,45.358,47.904,48.972,49.834,51.272,52.149,44.407,40.623,41.381,44.979,39.979,44.326,44.567,44.823,46.547,40.855,31.192,31.067,31.378,31.806,31.512,40.683,44.546,44.578,44.194,51.251,54.234,54.637
total-long-term-assets,2737.459,2322.503,2360.075,2402.789,934.2289,927.963,911.858,897.051,870.3511,1105.022,1074.889,1065.247,1107.74,1094.832,1085.071,1091.434,1074.541,1079.384,807.624,788.168,755.99,770.436,766.778,730.465,934.117,867.739,826.451,1169.703,1084.3,1011.551,909.729,873.0259,846.173,935.976,665.513,668.407,662.39,649.647,643.534,648.462,659.425,657.12,663.71,112.898,114.536,113.177,105.567,104.626,111.869,123.413,128.555,150.173,159.411,172.889,154.61,163.943,126.241,131.593,134.2
total-assets,7514.553,7033.471,6543.114,6245.898,4620.84,4335.386,3952.974,3546.014,3198.325,3285.594,2946.703,2896.787,2609.641,2548.982,2487.906,2498.587,2433.993,2374.073,2165.827,2334.679,2406.086,2117.82,2197.108,2319.041,2582.748,2584.329,2392.234,2759.288,2718.823,2604.856,2345.843,2204.28,2091.998,1763.1,1538.487,1725.446,1888.829,1654.202,1770.302,1955.488,1573.491,1439.876,1565.883,980.479,1067.554,970.805,889.505,601.477,655.148,761.07,835.095,921.579,902.111,625.478,524.658,548.998,550.575,596.903,484.229
total-current-liabilities,1388.894,1259.22,1106.468,1120.292,992.508,927.3,827.312,807.26,710.739,625.406,489.796,792.537,722.841,622.855,552.041,506.167,374.959,373.823,302.438,368.254,372.178,362.973,373.5,397.829,409.499,381.652,407.639,432.624,406.731,379.71,356.815,392.348,548.949,478.968,416.195,474.783,311.567,292.376,211.54,284.883,231.366,183.68,179.299,216.564,180.463,182.894,173.323,199.279,185.708,202.902,174.588,251.014,161.455,108.735,82.243,100.243,121.81,137.986,148.167
