,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,368.79,351.552,333.308,291.569,313.614,299.595,299.614,270.294,297.854,287.139,279.976,262.682,303.183,286.447,287.048,263.415,281.786,272.932,257.53,246.43,269.095,272.764,266.629,242.8,256.98,242.641,235.883,229.565,246.994,236.763,233.362,212.864,246.258,243.18,223.882,204.3,208.339,191.782,189.221,178.666,197.088,196.316,190.927,173.051,206.231,206.873,196.831,175.888,191.121,178.491,177.684,168.437,177.291,161.843,146.378,131.554,140.965,140.481,148.14
other-current-assets,65.602,74.556,68.935,68.054,83.702,83.086,84.123,72.314,69.38,71.339,70.23,70.391,76.404,73.75,78.825,82.54,85.016,118.549,115.028,81.61,90.789,88.363,86.479,78.8,99.151,86.693,84.532,84.58,79.692,81.248,82.818,80.804,68.439,69.82,71.006,77.685,55.328,51.429,53.865,49.206,56.961,61.324,61.443,62.966,45.94,47.957,49.33,50.368,42.347,41.597,48.774,44.92,32.923,35.02,33.471,31.041,18.548,25.903,22.749
total-current-assets,1343.906,1620.401,2077.791,2663.163,2970.769,3124.0,3438.578,4270.134,4078.525,3947.235,3778.424,3635.445,3534.37,3405.936,3310.619,3213.533,3093.847,3006.957,2875.973,2817.044,2699.41,2680.606,2607.709,2556.255,2429.082,2344.278,2287.681,2257.726,2137.498,2065.292,2023.479,1942.104,1863.359,1800.008,1683.334,1586.641,1438.327,1311.858,1249.217,1172.376,1121.847,1058.257,962.987,956.302,1434.042,1390.301,1321.698,1237.062,1129.513,1034.407,1008.78,999.68,947.716,924.771,908.424,912.992,870.273,1009.863,997.435
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,591.548,599.984,600.047,602.516,610.703,575.682,594.064,588.214,583.432,576.214,564.845,559.135,578.065,570.38,580.244,574.886,574.957,576.5,563.129,584.66,600.118,591.143,591.727,589.462,571.167,534.668,530.138,536.979,529.139,505.783,514.443,489.063,494.602,489.094,484.949,472.973,475.606,462.132,471.291,475.242,474.886,469.719,461.376,418.016,420.793,427.705,418.349,414.385,411.155,400.428,398.237,396.86,316.934,311.353,307.929,294.934,308.267,308.728,311.395
other-long-term-assets,244.315,233.659,215.925,118.664,123.114,122.353,107.496,116.728,158.196,134.436,133.052,130.361,134.626,141.522,140.734,146.903,126.886,120.491,116.81,151.403,129.224,127.183,120.419,111.98,111.403,110.842,106.782,100.166,69.388,61.124,62.539,54.972,60.595,64.117,61.89,52.996,76.94,51.76,51.777,49.387,79.656,71.348,66.349,76.992,82.378,80.423,70.429,68.752,83.689,79.939,71.379,71.511,91.567,89.324,82.461,79.975,36.28,34.56,36.167
total-long-term-assets,1217.359,1202.521,1171.937,1064.263,1072.289,1033.744,1050.879,1054.22,1084.46,1049.51,1032.279,1026.614,1042.412,1042.137,1057.776,1055.144,1027.397,1021.887,996.753,1057.646,1052.266,1046.924,1042.026,1026.374,996.237,941.2509,919.636,910.424,859.642,818.264,815.937,781.13,776.256,771.848,763.828,741.029,767.319,724.541,732.025,735.555,763.714,744.36,711.548,666.596,669.74,674.057,652.65,643.993,652.7451,632.334,619.524,617.6329,554.192,544.779,531.463,515.939,484.49,482.531,484.926
total-assets,2561.265,2822.922,3249.728,3727.426,4043.058,4157.744,4489.457,5324.354,5162.985,4996.745,4810.703,4662.059,4576.782,4448.073,4368.395,4268.677,4121.244,4028.844,3872.726,3874.69,3751.676,3727.53,3649.735,3582.629,3425.319,3285.529,3207.317,3168.15,2997.14,2883.556,2839.416,2723.234,2639.615,2571.856,2447.162,2327.67,2205.646,2036.399,1981.242,1907.931,1885.561,1802.617,1674.535,1622.898,2103.782,2064.358,1974.348,1881.055,1782.258,1666.741,1628.304,1617.313,1501.908,1469.55,1439.887,1428.931,1354.763,1492.394,1482.361
total-current-liabilities,597.153,611.696,603.279,448.931,448.125,474.917,534.348,606.157,662.149,653.289,632.211,520.321,519.501,522.604,524.03,564.076,535.954,546.694,538.471,580.486,574.479,594.59,584.448,487.532,492.904,474.953,476.866,504.242,767.562,721.657,648.283,601.863,605.579,467.297,716.229,385.85,417.41,362.571,305.204,394.568,432.214,400.096,343.535,289.506,666.198,620.869,563.68,658.434,688.322,643.851,613.771,685.834,694.509,673.65,636.849,603.891,709.73,682.581,613.859
