,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04
total-current-assets,443.534,445.715,448.273,306.013,318.323,299.116,300.29,285.243,343.438,148.413,149.033,146.786,144.99,127.039,170.687,110.933,122.383,121.013,107.768,182.307,196.431,210.161,218.453,119.022,122.761,,,,,67.74
net-property-plant-equipment,6.852,6.775,7.027,7.106,6.27,6.868,7.019,6.966,7.211,7.21,7.107,5.201,4.215,4.19,3.724,3.106,2.945,2.902,2.949,3.087,3.379,3.581,3.674,3.705,3.564,,,,,
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,27.063,28.222,29.521,1.702,1.689,1.229,1.237,1.245,1.256,1.223,1.152,0.968,0.952,1.004,1.003,1.164,0.839,0.962,0.971,0.902,0.902,0.902,0.913,1.005,0.935,,,,,1.13
total-long-term-assets,76.133,105.153,112.057,8.808,19.794,52.425,69.744,103.934,37.839,60.05,80.096,100.861,117.895,147.191,118.915,35.404,36.037,46.505,67.805,3.989,4.281,4.483,4.587,4.71,4.499,,,,,1.13
total-assets,519.667,550.868,560.33,314.821,338.117,351.541,370.034,389.177,381.277,208.463,229.129,247.647,262.885,274.23,289.602,146.337,158.42,167.518,175.573,186.296,200.712,214.644,223.04,123.732,127.26,0.0,0.0,0.0,0.0,73.78
total-current-liabilities,31.64,26.056,23.27,18.912,14.681,14.572,12.942,16.745,15.884,14.299,15.193,16.149,16.192,13.693,15.179,14.491,12.872,11.438,9.782,9.253,11.112,16.093,9.188,27.21,16.523,,,,,23.85
long-term-debt,21.852,23.407,24.918,,,,,,,,,,,,,,,,,,,,,,10.979,,,,,
other-non-current-liabilities,0.048,1.508,,,2.031,1.689,1.32,2.236,1.927,1.516,1.289,1.244,12.161,11.368,8.504,17.187,8.064,10.68,13.702,14.124,15.028,21.512,25.942,30.753,16.526,,,,,245.94
total-long-term-liabilities,23.226,24.915,26.525,3.872,4.324,3.86,3.312,7.215,6.852,5.632,5.616,5.901,17.146,16.681,14.146,22.583,13.76,16.677,19.997,20.758,21.979,28.724,33.395,38.71,36.173,,,,,282.62
total-liabilities,54.866,50.971,49.795,22.784,19.005,18.432,16.254,23.96,22.736,19.931,20.809,22.05,33.338,30.374,29.325,37.074,26.632,28.115,29.779,30.011,33.091,44.817,42.583,65.92,52.696,0.0,0.0,,0.0,306.48
common-stock-net,0.054,0.053,0.053,0.047,0.047,0.047,0.046,0.046,0.045,0.039,0.039,0.039,0.038,0.038,0.038,0.034,0.034,0.034,0.033,0.033,0.033,0.032,0.032,0.029,0.035,0.0,0.0,,0.0,0.003
retained-earnings-accumulated-deficit,-687.833,-642.464,-624.602,-586.549,-551.815,-524.477,-495.539,-473.024,-445.097,-419.646,-389.977,-364.491,-345.203,-324.433,-302.417,-307.477,-280.395,-268.537,-258.156,-243.583,-225.966,-217.995,-201.444,-192.324,-174.221,,,,,-232.69
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,464.801,499.897,510.535,292.037,319.112,333.109,353.78,365.217,358.541,188.532,208.32,225.597,229.547,243.856,260.277,109.263,131.788,139.403,145.794,156.285,167.621,169.827,180.457,57.812,74.564,0.0,0.0,,0.0,-232.69
total-liabilities-share-holders-equity,519.667,550.868,560.33,314.821,338.117,351.541,370.034,389.177,381.277,208.463,229.129,247.647,262.885,274.23,289.602,146.337,158.42,167.518,175.573,186.296,200.712,214.644,223.04,123.732,127.26,0.0,0.0,,0.0,73.78
