,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
cash-on-hand,89.713,125.803,181.634,229.443,253.566,85.809,127.192,81.371,115.705,164.151,212.216,244.196,243.533,270.748,260.392,238.31,216.297,166.33,181.476,115.961,123.084,175.551,222.807,177.489,197.894,129.915,,,,,19.87
notes-loans-receivable,,,,,,,,,,,,1.5,1.505,,,0.601,,1.521,1.517,1.501,10.0,,,,,,,,,,
inventory,17.295,18.192,19.896,21.447,18.294,20.073,20.271,20.493,17.73,19.146,19.083,21.139,21.88,24.492,25.078,26.563,22.338,27.001,26.171,25.789,16.674,,,,,,,,,,
other-current-assets,16.32,,0.187,0.384,0.714,2.307,3.298,5.285,,,,,,,,,,,,,,,,,,,,,,,1.75
total-current-assets,157.332,183.164,232.175,285.483,310.47,147.814,187.545,154.047,179.74,234.117,281.67,315.181,316.223,345.657,336.539,323.801,302.431,359.538,238.799,174.773,181.304,188.303,232.932,187.556,206.235,134.318,,,,,22.97
net-property-plant-equipment,122.706,120.401,136.357,128.874,122.707,119.405,119.244,112.674,102.876,92.88,68.328,64.672,54.429,46.659,44.673,42.739,42.201,40.863,38.015,38.0,35.596,17.389,18.116,16.629,17.02,18.41,,,,,
long-term-investments,24.002,39.596,19.229,20.657,180.348,183.831,198.22,189.91,198.083,190.547,180.088,182.715,233.077,232.197,158.291,199.077,216.679,104.856,306.995,195.222,153.34,213.437,214.631,208.39,193.676,65.213,,,,,39.09
goodwill-intangible-assets-total,255.09,262.442,276.623,278.876,364.52,370.504,386.631,386.166,407.718,405.291,380.899,382.79,398.374,405.571,420.035,412.704,423.15,281.199,233.353,167.006,166.994,80.271,80.958,55.779,56.109,56.818,0.0,,0.0,0.0,32.53
other-long-term-assets,45.775,49.585,45.48,2.287,2.37,3.597,4.026,4.054,9.844,11.151,4.943,3.71,3.485,1.028,2.89,3.725,5.426,6.483,2.825,1.271,1.266,1.137,1.171,1.118,1.158,8.692,,,,,1.73
total-long-term-assets,447.573,472.024,477.689,430.694,669.945,677.337,708.121,692.804,718.521,699.869,634.258,633.887,689.365,685.455,625.889,658.245,687.4561,433.401,581.188,401.499,357.196,312.234,314.876,281.916,267.963,149.133,,,,,73.35
total-assets,604.905,655.188,709.864,716.177,980.415,825.151,895.666,846.851,898.261,933.986,915.928,949.068,1005.588,1031.112,962.428,982.046,989.887,792.939,819.987,576.272,538.5,500.537,547.808,469.472,474.198,283.451,0.0,0.0,0.0,0.0,114.82
total-current-liabilities,81.955,51.633,59.422,61.562,92.33,83.245,76.584,80.173,87.796,95.686,90.65,94.605,100.521,95.499,77.937,75.904,77.093,122.807,48.703,47.482,39.263,20.692,22.212,19.829,19.717,17.511,,,,,17.59
long-term-debt,222.216,251.236,254.195,211.235,183.133,7.273,7.425,7.535,7.673,7.684,7.608,7.562,7.95,7.53,7.613,7.598,7.796,8.04,8.3,8.694,9.428,2.001,1.784,1.653,2.321,2.099,,,,,0.09
other-non-current-liabilities,0.221,0.222,0.662,3.235,3.204,3.172,3.586,3.451,5.747,5.144,4.047,3.868,3.177,9.846,9.726,9.493,9.577,14.283,14.262,14.12,14.065,0.731,0.873,0.869,0.958,1.098,,,,,1.19
total-long-term-liabilities,294.529,324.332,315.619,275.893,332.642,174.765,184.96,220.133,257.286,266.75,275.117,285.215,296.647,307.432,209.659,201.256,183.171,183.205,117.939,119.501,119.395,91.479,93.698,68.3,63.273,59.606,,,,,16.79
total-liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-1483.654,-1430.02,-1391.254,-1330.545,-990.08,-932.756,-867.374,-847.82,-820.554,-780.865,-762.201,-729.341,-685.204,-656.222,-607.158,-542.729,-510.015,-471.802,-431.139,-458.236,-477.067,-424.342,-372.299,-376.414,-364.21,-376.163,,,,,-221.25
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,228.421,279.223,334.823,378.722,555.443,567.141,634.122,546.545,553.179,571.55,550.161,569.248,608.42,628.181,674.832,704.886,729.623,486.927,653.345,409.289,379.842,388.366,431.898,381.343,391.208,206.334,0.0,,0.0,0.0,80.42
total-liabilities-share-holders-equity,604.905,655.188,709.864,716.177,980.415,825.151,895.666,846.851,898.261,933.986,915.928,949.068,1005.588,1031.112,962.428,982.046,989.887,792.939,819.987,576.272,538.5,500.537,547.808,469.472,474.198,283.451,0.0,,0.0,0.0,114.82
