,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,115.599,65.859,74.093,84.285,47.161,52.993,72.115,90.783,114.888,125.13,92.75,104.884,115.677,126.709,140.389,152.521,172.48,123.08,130.603,44.087,47.814,54.024,62.001,70.297,27.275,43.03,60.561,80.276,102.581,119.442,138.811,106.105,120.417,131.298,129.971,60.816,66.823,73.941,45.356,49.193,7.45,4.696,7.006,11.706,15.769,21.3252,27.8232,35.528,41.6256,47.5077,53.2752,28.8734,34.8134,37.3486,5.8753,9.0926,10.9505,0.0011,0.0001
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,1.522,6.437,8.443,9.669,18.296,22.058,14.102,13.612,0.624,0.621,0.62,0.621,0.62,0.621,0.626,0.622,0.619,0.637,0.619,0.619,0.641,0.641,0.645,0.656,0.867,0.86,0.876,1.134,0.951,0.956,0.885,0.862,0.973,0.974,0.448,0.451,0.397,0.299,0.288,0.288,0.329,0.329,0.378,0.378,0.4564,0.4585,0.4539,0.453,0.4563,0.3523,0.3087,0.1874,0.1866,0.1318,0.1309,0.13,0.1288,,
total-long-term-assets,2.35,7.314,9.41,10.766,19.64,23.39,15.346,14.823,1.671,1.683,1.744,1.464,1.445,1.303,1.293,1.203,0.881,0.958,1.045,1.15,1.295,1.324,1.324,1.457,2.203,2.573,2.785,3.128,3.059,2.938,2.062,2.003,1.859,1.523,0.891,0.704,0.627,0.515,0.484,0.543,0.653,0.735,0.867,0.867,1.0456,1.1333,1.181,1.199,1.1755,1.0134,0.9102,0.6387,0.4816,0.4269,0.4327,0.3997,0.3617,,
total-assets,117.949,73.173,83.503,95.051,66.801,76.383,87.461,105.606,116.559,126.813,94.494,106.348,117.122,128.012,141.682,153.724,173.361,124.038,131.648,45.237,49.109,55.348,63.325,71.754,29.478,45.603,63.346,83.404,105.64,122.38,140.873,108.108,122.276,132.821,130.862,61.52,67.45,74.456,45.84,49.736,8.103,5.431,7.873,12.573,16.8145,22.4584,29.0042,36.727,42.8011,48.521,54.1853,29.5121,35.2949,37.7755,6.308,9.4923,11.3122,0.0011,0.0001
total-current-liabilities,11.176,10.4,8.339,9.483,60.183,9.314,10.062,20.856,18.189,15.988,17.464,15.809,15.744,16.035,17.274,18.123,29.627,13.11,10.492,10.826,11.7,10.788,7.354,7.791,13.362,20.997,20.362,18.864,21.736,17.776,14.33,13.363,11.77,8.691,6.544,3.612,4.106,2.305,2.833,3.095,3.514,3.375,3.956,5.776,5.7006,6.1815,6.7309,6.306,5.0697,3.8236,3.3575,2.938,3.2807,2.6399,1.988,2.2548,1.748,0.0099,0.0176
long-term-debt,0.647,0.778,0.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,,,,,2.597,51.871,51.506,2.424,2.35,2.48,2.471,0.862,0.694,,,,,0.017,,,0.267,6.114,11.714,11.796,10.003,2.576,2.174,12.962,21.528,25.472,25.194,19.425,22.584,36.011,38.183,27.311,21.085,17.373,31.564,18.471,0.592,0.288,0.08,,,,,,,,,,,,,,,,
total-long-term-liabilities,0.647,0.778,0.948,0.004,163.032,206.304,200.548,181.556,178.165,175.099,171.933,167.837,165.794,163.967,46.595,48.23,49.893,0.487,0.553,0.57,0.932,6.844,14.239,14.58,12.485,5.274,5.091,16.095,24.876,28.968,28.843,23.138,26.394,40.002,42.366,27.355,21.14,17.433,31.621,18.537,0.666,0.378,0.18,0.058,0.0609,0.0604,0.059,0.051,0.0363,0.0436,0.0409,0.0411,0.04,0.0373,0.0364,0.0356,,,
