,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,33.682,-223.359,-35.603,11.058,17.672,16.441,154.958,30.605,-11.769,-83.94,-74.3406,-37.9745,-24.0194,-35.5303
total-depreciation-amortization-cash-flow,25.884,35.387,31.766,26.94,16.362,9.575,9.112,11.479,8.52,7.786,0.4459,-0.655,1.6298,1.9603
other-non-cash-items,43.619,310.163,23.955,25.962,44.791,34.386,-111.661,32.98,17.531,12.563,12.366,7.8852,3.3877,4.3017
total-non-cash-items,69.503,345.55,55.721,52.902,61.153,43.961,-102.549,44.459,26.051,20.349,12.8119,7.2302,5.0175,6.262
change-in-accounts-receivable,57.972,-29.112,-19.965,0.744,-1.427,-4.457,-3.499,-0.556,-16.533,-1.116,-0.3569,0.0505,-3.7268,1.3202
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-15.316,0.651,-1.468,-15.4,-15.264,-5.751,-15.961,-18.208,-10.144,101.858,2.2752,0.4044,3.2706,4.1926
total-change-in-assets-liabilities,47.608,-25.055,9.532,-25.479,-4.176,-21.117,-0.29,-8.728,-33.497,102.225,12.3734,5.0675,-4.458,9.1215
cash-flow-from-operating-activities,150.793,97.136,29.649,38.481,74.649,39.285,52.119,66.336,-19.215,38.634,-49.1553,-25.6767,-23.4599,-20.1468
net-change-in-property-plant-equipment,-33.328,-13.688,-6.192,-5.921,-5.084,-4.043,-10.384,-2.192,-2.446,-1.148,-1.2487,-1.3361,-0.5275,-0.1997
net-change-in-intangible-assets,7.297,-0.688,-0.893,-1.145,-2.699,-3.121,-3.194,-3.595,-6.998,-1.279,-5.5578,-10.0,,-3.0
net-acquisitions-divestitures,,3.663,-266.454,,-476.151,-7.499,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,-176.865,-10.713,-73.786,-85.236,-293.825,-45.092,-71.283,-45.023,5.351,-16.405,-141.2906,-50.735,-33.8348,4.0145
net-long-term-debt,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,-0.657,-2.409,,,345.0,,,,,,-0.1876,-1.0439,-1.0311,1.6205
net-common-equity-issued-repurchased,13.454,10.419,75.52,18.096,16.015,12.786,4.339,3.962,8.041,2.542,205.0574,74.6595,61.9104,0.2352
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,,53.509,-29.589,-0.307,-7.707,-0.818,-1.253,-1.962,-6.85,-7.07,-1.6214,1.5057,2.755,14.3087
cash-flow-from-financial-activities,12.797,61.519,45.931,17.789,353.308,11.968,3.086,2.0,1.191,-4.528,203.2484,75.1212,63.6343,16.1644
net-cash-flow,-13.687,149.167,-0.364,-28.966,134.133,6.161,-16.078,23.313,-12.673,17.701,12.8025,-1.2905,6.3396,0.0322
stock-based-compensation,,,,,,,,,,,,,,
