,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
net-income-loss,-210.752,-131.325,-80.824,-35.816,-11.12,-4.825
total-depreciation-amortization-cash-flow,0.712,1.477,1.453,0.439,0.029,0.009
other-non-cash-items,32.732,16.719,12.641,6.157,0.077,0.171
total-non-cash-items,,,,,,
change-in-accounts-payable,2.688,2.315,-0.994,1.072,0.206,0.208
change-in-assets-liabilities,-1.92,-0.348,4.307,-9.401,0.01,-0.133
total-change-in-assets-liabilities,8.18,13.524,10.116,-6.47,1.237,0.283
cash-flow-from-operating-activities,-169.128,-99.605,-56.614,-35.69,-9.777,-4.362
net-change-in-property-plant-equipment,,,,,,
net-change-in-long-term-investments,-86.59,48.987,-36.231,-123.561,,
net-change-in-investments-total,,,,0.04,-0.04,
cash-flow-from-investing-activities,,,,,,
net-common-equity-issued-repurchased,288.435,6.52,145.0,168.119,,
net-total-equity-issued-repurchased,,,,,,
financial-activities-other,10.727,,2.843,0.303,0.191,
cash-flow-from-financial-activities,299.162,6.52,147.843,235.327,0.191,16.164
net-cash-flow,34.024,-50.523,47.333,74.408,-9.682,11.733
stock-based-compensation,,,,,,
