,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-401.909,-24.55,184.243,150.798,13.884,52.362,35.378,43.013,21.824,-25.306,-7.939,-19.168,-5.963,-8.609
total-depreciation-amortization-cash-flow,88.021,90.389,98.723,96.026,88.684,13.413,11.602,7.194,7.871,7.466,4.551,4.512,4.431,6.55
other-non-cash-items,221.749,30.756,22.781,-44.718,-42.247,5.761,9.047,-11.693,-11.75,5.676,2.11,3.184,1.948,-1.055
total-non-cash-items,309.77,121.145,121.504,51.308,46.437,19.174,20.649,-4.499,-3.879,13.142,6.661,7.696,6.379,5.495
change-in-accounts-receivable,-11.627,141.979,-132.617,40.287,-72.796,-14.277,-23.856,-13.581,-2.045,-2.696,-2.417,0.669,-1.559,3.36
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,10.417,23.248,-8.547,17.574,30.372,-0.648,-5.689,-0.183,-1.267,1.155,0.889,-2.644,2.906,-0.198
total-change-in-assets-liabilities,23.245,151.038,-139.057,95.542,-19.879,-14.21,-29.783,-18.857,-5.663,11.126,-4.142,-13.419,2.093,2.966
cash-flow-from-operating-activities,-68.894,247.633,166.69,297.648,40.442,57.326,26.244,19.657,12.282,-1.038,-5.42,-24.891,2.509,-0.148
net-change-in-property-plant-equipment,-69.081,-90.355,-68.972,-25.475,29.462,-11.642,-20.454,-11.503,-4.71,-1.147,-3.28,-1.784,-4.377,-1.782
net-change-in-intangible-assets,-0.05,-0.2,-3.95,-3.835,-8.908,,0.0,,,,,-0.4,,-0.075
net-acquisitions-divestitures,,,,,,,,,,,,,,
investing-activities-other,,,,,,0.25,,3.881,36.265,,-0.507,,,
cash-flow-from-investing-activities,-69.131,-90.555,-72.922,-53.718,-966.874,-66.874,-75.501,-95.034,31.555,-1.397,-3.787,-2.184,-4.377,-1.857
net-long-term-debt,,,,,,,,,-3.0,3.0,-4.521,4.521,,
debt-issuance-retirement-net-total,-0.014,,-200.0,-10.45,959.951,,,120.0,-9.439,3.0,0.271,4.127,-3.103,-2.87
net-common-equity-issued-repurchased,0.546,9.32,-33.709,11.916,17.013,3.222,1.878,2.814,5.608,1.359,1.073,10.328,25.998,1.556
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-5.57,-1.726,-6.624,30.442,-13.848,-0.104,4.488,-5.098,,-1.37,0.978,-1.25,,
cash-flow-from-financial-activities,-5.038,7.594,-240.333,31.908,963.116,3.118,6.366,117.716,-3.831,2.989,2.322,13.205,22.895,-1.314
net-cash-flow,-144.095,165.855,-146.563,275.587,36.501,-6.603,-43.181,42.339,40.006,0.554,-6.885,-13.87,21.027,-3.319
stock-based-compensation,,,,,,,,,,,,,,
