,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-43.538,-23.552,-17.1
total-depreciation-amortization-cash-flow,-1.068,1.094,0.148
other-non-cash-items,4.488,0.599,0.211
total-non-cash-items,,,
change-in-accounts-payable,0.076,0.51,-1.141
change-in-assets-liabilities,1.592,-1.219,0.304
total-change-in-assets-liabilities,1.668,-0.709,-0.837
cash-flow-from-operating-activities,-38.45,-22.568,-17.578
net-change-in-property-plant-equipment,,,
net-change-in-short-term-investments,,,
net-change-in-investments-total,,,
cash-flow-from-investing-activities,-151.047,-0.264,-0.234
net-long-term-debt,0.05,-5.25,4.985
net-current-debt,,7.414,
debt-issuance-retirement-net-total,0.05,2.164,4.985
net-common-equity-issued-repurchased,138.702,0.228,0.036
net-total-equity-issued-repurchased,,,
financial-activities-other,,-0.1,
cash-flow-from-financial-activities,138.752,94.623,24.012
net-cash-flow,-50.745,71.791,6.2
stock-based-compensation,,,
