,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31
net-income-loss,-201.303,169.325,209.426,38.997,57.353,101.259,55.873,65.495,250.418,50.061,15.987,125.41,-12.044
total-depreciation-amortization-cash-flow,143.262,50.521,36.071,68.637,34.026,36.006,89.603,18.821,121.322,36.145,49.768,67.923,33.734
other-non-cash-items,301.261,15.389,21.715,3.887,9.705,23.72,-76.894,8.268,-204.176,2.894,-0.122,-93.164,-3.357
total-non-cash-items,444.523,65.91,57.786,72.524,43.731,59.726,12.709,27.089,-82.854,39.039,49.646,-25.241,30.377
change-in-accounts-receivable,100.012,29.77,-122.175,-121.11,-33.497,-20.744,61.524,-71.882,103.523,-142.777,7.629,9.868,-31.393
change-in-inventories,,,,,,,,,,,,,
change-in-assets-liabilities,5.085,-17.097,6.345,8.674,-9.452,-2.094,-19.047,-13.77,-8.011,5.286,-3.447,-5.135,3.774
total-change-in-assets-liabilities,7.01,-1.048,-152.152,-19.069,-68.267,-11.045,37.247,-86.457,82.197,-97.257,-1.072,18.845,-24.093
cash-flow-from-operating-activities,250.23,234.187,115.06,92.452,32.817,149.94,105.829,6.127,249.761,-8.157,64.564,119.014,-5.76
net-change-in-property-plant-equipment,-57.744,-94.771,-122.756,-25.199,-29.913,-32.785,-66.9,-30.524,-16.267,-13.667,-25.863,-18.836,-21.475
net-change-in-intangible-assets,,,,59.546,-13.0,-12.0,-104.76,,,-0.75,,,
net-acquisitions-divestitures,-338.634,-3.783,-1.85,-691.348,,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,
net-change-in-investments-total,,,,195.314,26.312,-71.106,85.878,15.48,-197.368,-7.37,58.191,-79.452,-22.228
investing-activities-other,,,,-5.85,,,,,,,,,
cash-flow-from-investing-activities,-396.378,-98.554,-124.606,-467.537,-16.601,-115.891,-85.782,-15.044,-213.635,-21.787,32.328,-98.288,-43.703
net-long-term-debt,708.0891,236.101,213.604,600.0,,,,,,-12.887,-65.234,-0.253,-0.108
net-current-debt,-167.042,50.0,-25.0,,,,,,,,,,
debt-issuance-retirement-net-total,541.0471,286.101,188.604,600.0,,,,,,-12.887,-65.234,-0.253,-0.108
net-common-equity-issued-repurchased,3.797,,,99.792,11.097,8.213,12.614,14.774,17.728,5.113,0.155,0.113,0.093
net-total-equity-issued-repurchased,,,,,,,,,,,,,
financial-activities-other,-257.169,-381.116,-208.099,-198.931,3.317,0.749,4.702,6.535,6.172,0.213,,10.477,
cash-flow-from-financial-activities,287.675,-95.015,-19.495,500.861,14.414,8.962,17.316,21.309,23.9,-7.561,-65.079,10.337,-0.015
net-cash-flow,140.857,40.376,-27.56,125.478,30.261,42.45,37.743,12.623,60.026,-37.505,31.813,31.063,-49.478
stock-based-compensation,,,,,,,,,,,,,
