,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,15.494,-1.076,3.934,15.375,28.747,0.301,-1.506,-51.6085,-46.1962,-47.5278,-17.4252,-7.5844,2.7913,-9.651
total-depreciation-amortization-cash-flow,33.742,27.928,22.343,6.9,3.878,1.11,0.567,0.1482,0.168,0.1373,0.0431,0.0898,0.1178,0.1009
other-non-cash-items,11.87,18.219,11.122,8.81,-10.477,4.476,0.929,1.7736,3.154,30.5384,1.2067,0.6259,1.0768,0.3515
total-non-cash-items,45.612,46.147,33.465,15.71,-6.599,5.586,1.496,1.9218,3.322,30.6757,1.2499,0.7157,1.1946,0.4524
change-in-accounts-receivable,-4.743,-12.893,-23.963,-4.635,-4.784,-7.081,-0.327,,,,-0.2152,10.496,-10.5105,
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,3.136,2.501,2.461,0.889,0.151,-0.188,-0.088,1.6825,-0.3653,-0.0303,-1.3396,-3.3371,2.2732,1.0029
total-change-in-assets-liabilities,5.968,-5.652,-9.927,-13.821,-0.115,-11.371,-0.127,1.8166,2.7767,-1.5788,0.6394,7.6087,-8.9826,0.9011
cash-flow-from-operating-activities,67.074,39.419,27.472,17.264,22.033,-5.484,-0.137,-47.8701,-40.0975,-18.4309,-15.5359,0.74,-4.9967,-8.2975
net-change-in-property-plant-equipment,-5.743,-10.369,-4.566,-2.183,-1.12,-0.191,-0.292,-0.7199,-0.0604,-0.1657,-0.6511,-0.0294,-0.0393,-0.0674
net-change-in-intangible-assets,-5.169,-97.624,-144.494,-30.5,-34.634,,,,,,,,,
net-acquisitions-divestitures,-16.467,,,,,,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,3.0263,11.9796,-11.21,4.9949,7.3078
investing-activities-other,,,,,,20.458,,,,,,,,
cash-flow-from-investing-activities,-27.379,-107.993,-149.06,-32.683,-35.754,20.267,-0.292,-0.7199,-0.0604,2.8606,11.3285,-11.2394,4.9557,7.2404
net-long-term-debt,-2.813,75.0,,,138.243,,,,,,,,,
net-current-debt,-26.125,,,,,-4.065,1.001,-1.234,,,,,,
debt-issuance-retirement-net-total,-28.938,75.0,,,138.243,-4.065,1.001,-1.234,,,,,,
net-common-equity-issued-repurchased,2.319,0.094,-1.052,0.706,48.249,0.376,,68.894,48.4547,11.3528,0.3797,18.4945,7.3843,0.1978
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-1.197,-2.737,0.323,0.36,-14.839,,-0.561,,,22.3151,-0.0603,,,
cash-flow-from-financial-activities,-27.816,72.357,-0.729,1.066,171.653,-3.689,0.44,67.66,48.4547,33.6679,0.3194,18.4945,7.3843,0.1978
net-cash-flow,11.879,3.783,-122.317,-14.353,157.932,11.094,0.011,19.07,8.2968,18.0976,-3.888,7.9951,7.3432,-0.8594
stock-based-compensation,,,,,,,,,,,,,,
