,2018-12-31,2017-12-31,2016-12-31,2015-12-31
net-income-loss,-128.711,-131.396,-87.906,-50.655
total-depreciation-amortization-cash-flow,3.783,7.022,2.915,0.888
other-non-cash-items,42.689,46.62,21.289,15.779
total-non-cash-items,46.472,53.642,24.204,16.667
change-in-accounts-receivable,-4.483,-5.691,1.055,1.081
change-in-inventories,,,,
change-in-assets-liabilities,-13.966,-4.537,-0.359,-1.394
total-change-in-assets-liabilities,-27.148,-3.758,15.832,0.232
cash-flow-from-operating-activities,-109.387,-81.512,-47.87,-33.756
net-change-in-property-plant-equipment,-3.321,-5.44,-1.152,-3.31
net-change-in-intangible-assets,-0.11,-1.55,-2.7,-0.05
net-acquisitions-divestitures,,,,-9.377
net-change-in-short-term-investments,,,,
net-change-in-investments-total,-45.532,-3.138,5.511,-3.172
investing-activities-other,,0.11,1.0,-1.0
cash-flow-from-investing-activities,-48.963,-10.018,2.659,-16.909
net-long-term-debt,,,,
debt-issuance-retirement-net-total,49.456,28.837,33.551,-0.724
net-common-equity-issued-repurchased,127.09,78.178,2.689,77.5
net-total-equity-issued-repurchased,,,,
financial-activities-other,-7.511,-10.119,-0.968,-0.474
cash-flow-from-financial-activities,169.035,96.896,35.272,76.302
net-cash-flow,10.51,6.159,-10.37,25.974
stock-based-compensation,,,,
