,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
net-income-loss,-8.0523,-4.0496,0.0556,-0.031,0.0
total-depreciation-amortization-cash-flow,0.5228,0.1816,0.0,,0.0
other-non-cash-items,3.146,2.3143,0.0526,,
total-non-cash-items,3.6688,2.496,0.0526,,
change-in-accounts-receivable,-0.0041,0.0239,-0.0734,,
change-in-inventories,-0.0106,-0.0015,,,
change-in-accounts-payable,0.0003,0.0,,,
change-in-assets-liabilities,-0.5987,-0.0242,-0.0506,,
total-change-in-assets-liabilities,-0.0125,0.214,-0.0942,0.0009,0.0
cash-flow-from-operating-activities,-4.396,-1.3397,0.014,-0.0301,0.0
net-change-in-property-plant-equipment,-0.5047,-0.0538,-0.0003,,0.0
net-change-in-intangible-assets,,-0.8761,,,
net-acquisitions-divestitures,,,,,
net-change-in-long-term-investments,-0.4532,-0.148,-0.23,,
net-change-in-investments-total,,,,,
cash-flow-from-investing-activities,-1.3078,-8.0144,-0.9303,,0.0
net-long-term-debt,-0.5,1.71,0.15,,
net-current-debt,,-0.3072,,0.0018,0.0
debt-issuance-retirement-net-total,-0.5,1.4029,0.15,0.0018,0.0
net-common-equity-issued-repurchased,-0.5225,,3.635,0.04,
net-total-equity-issued-repurchased,,,,,0.0
financial-activities-other,6.0647,8.0994,,-0.0115,
cash-flow-from-financial-activities,5.0422,9.5022,3.785,0.0303,0.0
net-cash-flow,-0.7747,0.1408,2.7766,0.0002,0.0
stock-based-compensation,,,,,
