,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-46.361,-18.648,-4.664
total-depreciation-amortization-cash-flow,0.417,0.069,
other-non-cash-items,4.117,0.611,0.64
total-non-cash-items,,,
change-in-accounts-payable,2.018,0.176,0.177
change-in-assets-liabilities,-3.152,-0.044,-0.018
total-change-in-assets-liabilities,4.179,1.586,0.71
cash-flow-from-operating-activities,-37.648,-16.382,-3.314
net-change-in-property-plant-equipment,,,
investing-activities-other,,,-0.024
cash-flow-from-investing-activities,,,
net-current-debt,-2.0,,
debt-issuance-retirement-net-total,-2.0,,
net-common-equity-issued-repurchased,0.017,,
net-total-equity-issued-repurchased,,,
financial-activities-other,162.27,17.371,8.695
cash-flow-from-financial-activities,160.287,17.371,8.695
net-cash-flow,120.807,0.606,5.357
stock-based-compensation,,,
