,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-22.397,-10.445,-14.411,-13.3564,-17.7105,-14.5569,-9.418,-9.2192,-5.4232,15.0463,-1.0407,-0.749,-0.3672,-0.5306
total-depreciation-amortization-cash-flow,0.932,0.813,0.562,0.3769,0.3982,0.3172,0.829,1.5874,1.7841,0.023,0.0231,0.0223,0.0255,0.02
other-non-cash-items,11.267,5.27,4.932,1.9035,6.9753,4.5234,1.7292,0.2583,-1.0099,-0.082,0.4551,0.3329,0.0317,0.2216
total-non-cash-items,12.199,6.083,5.494,2.2804,7.3735,4.8406,2.5582,1.8457,0.7742,-0.059,0.4782,0.3552,0.0571,0.2416
change-in-accounts-receivable,-5.108,-3.236,-3.349,-2.0361,-1.0141,-0.9022,-0.2524,-0.369,-0.1142,,,,,
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-0.258,-0.272,-0.069,-0.3371,0.2168,-0.0095,-0.0538,0.0201,0.0377,-0.5973,0.0796,-0.0721,0.2773,-0.2914
total-change-in-assets-liabilities,-7.664,-4.876,-2.32,-1.9758,-0.1141,-0.7284,-1.8021,0.2942,0.7055,0.4546,0.0923,-0.0732,0.2813,-0.2858
cash-flow-from-operating-activities,-17.862,-9.238,-11.237,-13.0518,-10.4511,-10.4448,-8.6619,-7.0793,-3.9435,15.4419,-0.4702,-0.4669,-0.0288,-0.5748
net-change-in-property-plant-equipment,-6.282,-1.105,-0.931,-0.4088,-0.542,-0.1788,-0.0485,-0.0206,,-0.002,-0.0066,,,
net-change-in-intangible-assets,-0.321,-0.187,-0.226,-0.1467,-0.052,-0.0652,-0.0788,-0.0689,-0.072,-0.0067,-0.0233,,,-0.06
net-acquisitions-divestitures,,,,,,,,7.2016,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,-98.193,-1.292,-1.157,-0.5555,-0.594,-0.244,-0.1273,7.1122,-0.072,-0.0087,-0.0299,,,-0.06
net-long-term-debt,-22.513,-0.021,-2.446,,-1.75,,15.8,5.7671,3.6975,,,,,-0.0025
net-current-debt,-4.236,-0.025,,,,,,,,,,,,
debt-issuance-retirement-net-total,-26.749,-0.046,-2.446,,-1.75,,15.8,5.7671,3.6975,,,,,-0.0025
net-common-equity-issued-repurchased,136.848,17.325,19.845,31.4812,1.7616,16.8511,0.0157,1.0265,0.0039,,,0.0181,,0.0064
net-total-equity-issued-repurchased,136.848,17.325,19.845,31.4812,1.7616,16.8511,0.0157,1.0265,1.9843,,,0.0181,,0.0064
total-common-preferred-stock-dividends-paid,,,,,,,,,,,,,,-0.2468
financial-activities-other,-0.257,-0.257,-0.9,-0.1801,-0.8204,,-1.3099,-0.4348,-0.1501,,,,,
cash-flow-from-financial-activities,109.842,17.022,16.499,31.3011,-0.8089,16.8511,14.5058,6.3589,5.5318,,,0.0181,,-0.2429
net-cash-flow,-6.213,6.492,4.105,17.6937,-11.854,6.1623,5.7166,6.3917,1.5162,15.4333,-0.5001,-0.4489,-0.0288,-0.9287
stock-based-compensation,7.606,3.609,1.39,1.3165,1.0166,0.6719,0.5015,0.265,0.1875,,0.4551,0.3329,,0.0175
common-stock-dividends-paid,,,,,,,,,,,,,,-0.2468
