,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
net-income-loss,-128.821,-90.238,-59.668,-26.458,-10.819
total-depreciation-amortization-cash-flow,3.784,3.082,1.787,0.962,0.035
other-non-cash-items,14.752,5.234,2.177,1.422,0.506
total-non-cash-items,,,,,
change-in-accounts-payable,4.081,0.686,-0.671,0.628,0.857
change-in-assets-liabilities,-1.774,-3.329,7.449,-4.069,1.352
total-change-in-assets-liabilities,2.307,-2.643,6.778,-3.441,2.209
cash-flow-from-operating-activities,-107.978,-84.565,-48.926,-27.515,-8.069
net-change-in-property-plant-equipment,,,,,
net-acquisitions-divestitures,,,,,
net-change-in-long-term-investments,-173.439,-25.885,-45.413,-7.332,-16.539
net-change-in-investments-total,,,,,
cash-flow-from-investing-activities,,,,,
net-common-equity-issued-repurchased,398.462,120.553,75.365,0.07,
net-total-equity-issued-repurchased,,,,,
cash-flow-from-financial-activities,398.462,120.553,75.365,62.85,57.386
net-cash-flow,105.436,2.552,-35.609,26.459,32.653
stock-based-compensation,,,,,
