,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,181.0,80.3,154.5,104.9,59.6,81.8,78.2,94.0,96.8,81.0,65.2,99.2,74.4,9.747
total-depreciation-amortization-cash-flow,64.9,63.9,54.3,53.3,59.7,61.3,59.1,52.9,36.1,30.4,29.9,27.9,26.0,10.506
other-non-cash-items,36.0,50.8,10.8,24.7,34.3,47.9,54.1,34.3,29.6,28.8,27.4,1.3,6.2,1.178
total-non-cash-items,100.9,114.7,65.1,78.0,94.0,109.2,113.2,87.2,65.7,59.2,57.3,29.2,32.2,11.684
change-in-accounts-receivable,-30.5,-55.5,-8.4,45.0,-14.5,-19.3,1.6,-52.8,-27.3,-9.4,33.0,-30.0,0.1,-2.253
change-in-inventories,-35.5,-6.6,-43.2,-5.4,4.6,5.7,-49.5,-103.3,-68.0,-4.4,-16.5,-3.5,-5.9,-0.835
change-in-accounts-payable,5.0,33.7,-19.6,12.6,9.0,7.0,4.6,23.4,29.6,5.7,-39.3,2.3,-7.0,0.573
change-in-assets-liabilities,14.8,-17.4,9.2,-28.6,-44.0,-10.7,-2.0,40.0,38.7,17.7,7.2,10.4,-7.9,19.804
total-change-in-assets-liabilities,-42.2,-40.6,-88.8,46.3,-39.3,-46.0,-58.3,-93.5,-6.4,9.6,-15.6,-20.8,-20.7,28.291
cash-flow-from-operating-activities,239.7,154.4,130.8,229.2,114.3,145.0,133.1,87.7,156.1,149.8,106.9,107.6,85.9,49.722
net-change-in-property-plant-equipment,-48.8,-32.2,-36.0,-33.3,-30.7,-48.9,-69.5,-54.4,-29.2,-16.3,-47.4,-26.2,-25.2,-4.791
net-change-in-intangible-assets,,,,0.2,25.3,0.5,3.3,,,,,,,
net-acquisitions-divestitures,-191.6,-66.3,-24.3,-28.6,-3.9,-11.6,-27.0,-14.3,-269.8,-1.9,-4.6,-3.5,-19.6,-5.605
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,117.0,68.3,38.5,-40.7,-192.6,,,,,,9.7,2.5,43.0,-1.276
investing-activities-other,,,,,,,,,,,-6.8,-4.8,-3.3,-0.357
cash-flow-from-investing-activities,-123.4,-30.2,-21.8,-102.4,-201.9,-60.0,-93.2,-68.7,-299.0,-18.2,-49.1,-32.0,-5.1,-12.029
net-long-term-debt,-4.8,-0.9,-0.1,-0.6,-0.8,-1.6,-83.2,-29.3,-21.6,-22.3,139.9,-7.0,-14.4,-5.986
net-current-debt,-88.7,4.0,146.0,-87.5,,19.5,116.5,30.7,185.0,-62.4,33.1,-10.5,11.1,-5.366
debt-issuance-retirement-net-total,-93.5,3.1,145.9,-88.1,-0.8,17.9,33.3,1.4,163.4,-84.7,173.0,-17.5,-3.3,-11.352
net-common-equity-issued-repurchased,9.4,-132.2,-148.5,-79.2,7.9,8.2,4.5,3.3,6.0,1.5,3.7,19.6,1.7,0.377
net-total-equity-issued-repurchased,9.4,-132.2,-148.5,-79.2,7.9,8.2,4.5,3.3,6.0,1.5,3.7,19.6,1.7,0.377
total-common-preferred-stock-dividends-paid,-0.9,-1.0,-0.7,-1.3,,,,,,,-386.0,-85.4,-103.5,
financial-activities-other,-27.4,-28.9,-24.6,-0.8,-0.4,0.4,-3.4,-1.4,-1.1,-0.9,-24.4,0.9,,
cash-flow-from-financial-activities,-112.4,-159.0,-27.9,-169.4,6.7,26.5,34.4,3.3,168.3,-84.1,-233.7,-82.4,-105.1,-10.975
net-cash-flow,-2.6,-17.0,74.7,-53.6,-119.2,128.1,64.6,15.6,23.3,40.9,-166.2,21.2,-0.3,21.212
stock-based-compensation,11.3,11.0,9.4,8.0,9.4,6.6,7.8,7.9,6.9,6.3,4.5,2.2,1.5,0.028
common-stock-dividends-paid,-0.9,-1.0,-0.7,-1.3,,,,,,,-386.0,-85.4,-103.5,
